Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
BernoulliNB;0.9041;0.918;0.9041;0.893;0.9875;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.9005;0.9156;0.9005;0.8886;0.9871;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.9001;0.9158;0.9001;0.8889;0.9854;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.9001;0.9164;0.9001;0.8892;0.9865;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8984;0.9134;0.8984;0.8871;0.9857;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8982;0.9141;0.8982;0.8854;0.987;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8975;0.9151;0.8975;0.8872;0.9873;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8973;0.9137;0.8973;0.887;0.9866;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8971;0.9127;0.8971;0.8852;0.9859;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8969;0.9128;0.8969;0.8862;0.9856;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8962;0.9116;0.8962;0.8849;0.9844;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.896;0.9131;0.896;0.8859;0.9863;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8958;0.9123;0.8958;0.8885;0.9849;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8956;0.9123;0.8956;0.8848;0.9859;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8952;0.9104;0.8952;0.8827;0.9861;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8947;0.9108;0.8947;0.8863;0.9856;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8943;0.9114;0.8943;0.8882;0.9856;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8941;0.9123;0.8941;0.8822;0.9864;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8937;0.911;0.8937;0.8856;0.9853;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8935;0.9095;0.8935;0.8868;0.9848;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8935;0.9112;0.8935;0.8827;0.9867;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.893;0.9099;0.893;0.8821;0.9834;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.893;0.9092;0.893;0.88;0.9848;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8928;0.9092;0.8928;0.8817;0.9839;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8922;0.9095;0.8922;0.884;0.9841;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
BernoulliNB;0.8922;0.9097;0.8922;0.8855;0.987;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};BernoulliNB(alpha=0.1)
