Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
ComplementNB;0.7796;0.7845;0.7796;0.7912;0.9406;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7794;0.7839;0.7794;0.7911;0.9412;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.779;0.7831;0.779;0.7908;0.9402;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7764;0.7823;0.7764;0.7855;0.9396;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7762;0.783;0.7762;0.7866;0.9425;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7756;0.78;0.7756;0.7822;0.9358;(1, 2);TF-IDF;under;10;5;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7756;0.7801;0.7756;0.788;0.9392;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7751;0.7793;0.7751;0.7893;0.9374;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7739;0.7782;0.7739;0.7858;0.9381;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7738;0.7799;0.7738;0.7886;0.9375;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7732;0.78;0.7732;0.7866;0.9408;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.773;0.7766;0.773;0.7841;0.9362;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.773;0.7804;0.773;0.7857;0.9378;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.773;0.7768;0.773;0.7864;0.9374;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7728;0.7778;0.7728;0.7846;0.9372;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7728;0.7784;0.7728;0.7861;0.93;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.5};ComplementNB(alpha=0.5)
ComplementNB;0.7724;0.7784;0.7724;0.7847;0.9395;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7724;0.7771;0.7724;0.7848;0.9379;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7723;0.7764;0.7723;0.7834;0.9347;(1, 2);TF-IDF;mixed;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.771;0.7757;0.771;0.782;0.936;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7709;0.7749;0.7709;0.7804;0.9337;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7709;0.7751;0.7709;0.7842;0.935;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7708;0.7782;0.7708;0.7828;0.9323;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.5};ComplementNB(alpha=0.5)
ComplementNB;0.7706;0.775;0.7706;0.7781;0.9342;(1, 2);TF-IDF;smote;10;5;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7704;0.7772;0.7704;0.7834;0.9376;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7702;0.777;0.7702;0.7844;0.9321;(1, 2);TF-IDF;smote;10;10;kbest;{'alpha': 0.5};ComplementNB(alpha=0.5)
ComplementNB;0.7695;0.776;0.7695;0.7838;0.929;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.5};ComplementNB(alpha=0.5)
ComplementNB;0.7695;0.7751;0.7695;0.781;0.9368;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
ComplementNB;0.7691;0.7759;0.7691;0.7819;0.9305;(1, 2);TF-IDF;over;10;10;kbest;{'alpha': 0.5};ComplementNB(alpha=0.5)
ComplementNB;0.7689;0.7744;0.7689;0.7809;0.9351;(1, 2);TF-IDF;under;10;10;kbest;{'alpha': 0.1};ComplementNB(alpha=0.1)
