Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
DecisionTreeClassifier;0.755;0.7588;0.755;0.7218;0.8641;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7541;0.7596;0.7541;0.7256;0.8606;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.754;0.7594;0.754;0.7223;0.8632;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7539;0.7586;0.7539;0.7246;0.8602;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7522;0.7563;0.7522;0.7184;0.8608;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.751;0.7563;0.751;0.72;0.8658;(1, 2);TF-IDF;mixed;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7505;0.7553;0.7505;0.7213;0.8608;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7503;0.7542;0.7503;0.719;0.8643;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7495;0.7544;0.7495;0.723;0.8657;(1, 2);TF-IDF;mixed;5;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7486;0.7536;0.7486;0.7164;0.8603;(1, 2);TF-IDF;smote;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7486;0.7537;0.7486;0.7164;0.8668;(1, 2);TF-IDF;under;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
DecisionTreeClassifier;0.7478;0.7497;0.7478;0.7154;0.8619;(1, 2);TF-IDF;over;10;10;kbest;{'max_depth': 100, 'min_samples_leaf': 5, 'random_state': 42};DecisionTreeClassifier(max_depth=100, min_samples_leaf=5, random_state=42)
