Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
GaussianNB;0.8259;0.8518;0.8259;0.8285;0.8685;(1, 2);TF-IDF;smote;10;5;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8158;0.8448;0.8158;0.8258;0.8672;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8139;0.847;0.8139;0.8236;0.8637;(1, 2);TF-IDF;mixed;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8137;0.8449;0.8137;0.8165;0.8613;(1, 2);TF-IDF;mixed;10;5;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8137;0.8443;0.8137;0.816;0.8571;(1, 2);TF-IDF;mixed;10;5;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.813;0.8482;0.813;0.8239;0.8625;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8128;0.8447;0.8128;0.8227;0.8667;(1, 2);TF-IDF;over;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8111;0.8408;0.8111;0.8229;0.8662;(1, 2);TF-IDF;over;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8109;0.8439;0.8109;0.8187;0.8599;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.0015199110829529332};GaussianNB(var_smoothing=0.0015199110829529332)
GaussianNB;0.8108;0.8472;0.8108;0.8214;0.8627;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.8105;0.8439;0.8105;0.8222;0.8645;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.8104;0.8427;0.8104;0.8204;0.8657;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8096;0.8427;0.8096;0.8202;0.8625;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8094;0.845;0.8094;0.8193;0.8642;(1, 2);TF-IDF;mixed;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.8092;0.8396;0.8092;0.8198;0.8623;(1, 2);TF-IDF;mixed;10;10;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8089;0.8421;0.8089;0.8129;0.8592;(1, 2);TF-IDF;under;10;5;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8089;0.8502;0.8089;0.8188;0.859;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8087;0.8416;0.8087;0.8181;0.8616;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8085;0.8468;0.8085;0.8189;0.8646;(1, 2);TF-IDF;mixed;10;10;kbest;{'var_smoothing': 0.003511191734215131};GaussianNB(var_smoothing=0.003511191734215131)
GaussianNB;0.8085;0.844;0.8085;0.8198;0.8639;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.8083;0.8433;0.8083;0.8199;0.865;(1, 2);TF-IDF;under;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.808;0.8439;0.808;0.8193;0.8615;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.0023101297000831605};GaussianNB(var_smoothing=0.0023101297000831605)
GaussianNB;0.8075;0.8442;0.8075;0.8098;0.851;(1, 2);TF-IDF;over;10;5;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
GaussianNB;0.8075;0.847;0.8075;0.8191;0.864;(1, 2);TF-IDF;smote;10;10;kbest;{'var_smoothing': 0.002848035868435802};GaussianNB(var_smoothing=0.002848035868435802)
GaussianNB;0.8074;0.8422;0.8074;0.8164;0.8583;(1, 2);TF-IDF;mixed;10;10;kbest;{'var_smoothing': 0.001873817422860383};GaussianNB(var_smoothing=0.001873817422860383)
