Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
LogisticRegression;0.9476;0.9499;0.9476;0.9346;0.9836;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9474;0.9498;0.9474;0.9345;0.983;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9471;0.9497;0.9471;0.9354;0.9838;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9467;0.9493;0.9467;0.9336;0.9829;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9465;0.9491;0.9465;0.9341;0.9835;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9454;0.9482;0.9454;0.9314;0.9808;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9448;0.9477;0.9448;0.9307;0.9832;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9439;0.9468;0.9439;0.9298;0.9833;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9437;0.947;0.9437;0.9292;0.9824;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9435;0.9467;0.9435;0.9309;0.9822;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9431;0.9466;0.9431;0.9291;0.982;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9431;0.9463;0.9431;0.9297;0.9816;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9429;0.9458;0.9429;0.9283;0.982;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9426;0.9459;0.9426;0.9271;0.9806;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9425;0.9455;0.9425;0.9314;0.9824;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9424;0.9456;0.9424;0.9285;0.981;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.942;0.9455;0.942;0.9287;0.9818;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.942;0.9453;0.942;0.9287;0.9818;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9418;0.9453;0.9418;0.9283;0.9814;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9418;0.9455;0.9418;0.9253;0.9803;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9418;0.9447;0.9418;0.9263;0.982;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9412;0.9444;0.9412;0.9281;0.9794;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9405;0.944;0.9405;0.9264;0.9793;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9386;0.9425;0.9386;0.9241;0.9795;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9375;0.941;0.9375;0.9253;0.981;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9375;0.9409;0.9375;0.9283;0.9816;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9373;0.9411;0.9373;0.9256;0.9807;(1, 2);TF-IDF;under;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9362;0.9397;0.9362;0.9227;0.9801;(1, 2);TF-IDF;smote;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9362;0.9399;0.9362;0.9251;0.9802;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9354;0.9386;0.9354;0.9233;0.9814;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9352;0.939;0.9352;0.9236;0.9819;(1, 2);TF-IDF;over;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
LogisticRegression;0.9345;0.9385;0.9345;0.9219;0.9808;(1, 2);TF-IDF;mixed;30;10;kbest;{'C': 10, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=42)"
