Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
MultinomialNB;0.9195;0.9245;0.9195;0.9085;0.9691;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9189;0.9236;0.9189;0.9087;0.9715;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9163;0.9216;0.9163;0.9051;0.9667;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9134;0.9179;0.9134;0.9013;0.9675;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9101;0.9153;0.9101;0.8978;0.9692;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9091;0.9136;0.9091;0.9004;0.9714;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9072;0.9121;0.9072;0.8964;0.9698;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9037;0.9081;0.9037;0.8937;0.9689;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9031;0.909;0.9031;0.8924;0.9676;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9031;0.9072;0.9031;0.8962;0.9685;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.902;0.9071;0.902;0.8921;0.9687;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9014;0.9066;0.9014;0.89;0.9716;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9007;0.9057;0.9007;0.8932;0.9715;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9007;0.9045;0.9007;0.8923;0.9697;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.9005;0.9056;0.9005;0.8894;0.9665;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8996;0.905;0.8996;0.8901;0.9658;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8988;0.9028;0.8988;0.8911;0.9749;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8984;0.9034;0.8984;0.8898;0.9692;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8982;0.9028;0.8982;0.8898;0.9738;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8977;0.9047;0.8977;0.8857;0.9633;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8973;0.9026;0.8973;0.8872;0.9681;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8972;0.9054;0.8972;0.8767;0.9592;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8971;0.9032;0.8971;0.8882;0.9648;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8962;0.9034;0.8962;0.8846;0.9639;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8956;0.9;0.8956;0.8876;0.9741;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8955;0.9045;0.8955;0.8843;0.9608;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8926;0.8975;0.8926;0.886;0.9742;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8921;0.8965;0.8921;0.8873;0.9765;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8913;0.8961;0.8913;0.881;0.9698;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8892;0.8943;0.8892;0.8815;0.967;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8872;0.8916;0.8872;0.882;0.9725;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8871;0.8954;0.8871;0.8675;0.9569;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8869;0.8939;0.8869;0.8703;0.9636;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8852;0.8922;0.8852;0.8748;0.9611;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.884;0.888;0.884;0.8778;0.9778;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.884;0.8885;0.884;0.8799;0.9755;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8828;0.8866;0.8828;0.8783;0.9773;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8811;0.8888;0.8811;0.8644;0.9576;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8806;0.8842;0.8806;0.8774;0.9763;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8802;0.8856;0.8802;0.8733;0.9729;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8798;0.8845;0.8798;0.8746;0.9722;(1, 2);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8791;0.8828;0.8791;0.8769;0.9758;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8789;0.8852;0.8789;0.8672;0.9643;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8774;0.8826;0.8774;0.8725;0.9725;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8774;0.8822;0.8774;0.8729;0.9736;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8767;0.8842;0.8767;0.8656;0.9559;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.874;0.8784;0.874;0.8707;0.9752;(1, 2);TF-IDF;over;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.874;0.8783;0.874;0.8704;0.9738;(1, 2);TF-IDF;smote;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8716;0.8762;0.8716;0.8662;0.9728;(1, 2);TF-IDF;under;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8715;0.8794;0.8715;0.8633;0.9578;(1, 2);TF-IDF;over;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8686;0.8756;0.8686;0.858;0.9543;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8679;0.8728;0.8679;0.8603;0.9637;(1, 2);TF-IDF;smote;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8678;0.8758;0.8678;0.8541;0.9619;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8673;0.8767;0.8673;0.8518;0.9531;(1, 2);TF-IDF;mixed;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8647;0.8741;0.8647;0.853;0.9473;(1, 2);TF-IDF;under;30;5;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.863;0.8813;0.863;0.859;0.9437;(1, 2);TF-IDF;over;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8614;0.8804;0.8614;0.8551;0.9425;(1, 2);TF-IDF;smote;20;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
MultinomialNB;0.8603;0.8661;0.8603;0.8442;0.9527;(1, 1);TF-IDF;mixed;30;10;kbest;{'alpha': 0.1};MultinomialNB(alpha=0.1)
