Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
RandomForestClassifier;0.8922;0.8942;0.8922;0.8892;0.9641;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.892;0.8929;0.892;0.8878;0.9621;(1, 2);TF-IDF;over;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8917;0.8934;0.8917;0.8867;0.961;(1, 2);TF-IDF;smote;10;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8911;0.8929;0.8911;0.8883;0.9632;(1, 2);TF-IDF;smote;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.889;0.891;0.889;0.8843;0.9607;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8885;0.89;0.8885;0.8852;0.9621;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8883;0.8896;0.8883;0.8853;0.9613;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8866;0.888;0.8866;0.8832;0.9613;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8862;0.8876;0.8862;0.8809;0.9605;(1, 2);TF-IDF;mixed;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8859;0.8877;0.8859;0.8792;0.9592;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 50, 'random_state': 42};RandomForestClassifier(n_estimators=50, random_state=42)
RandomForestClassifier;0.8858;0.887;0.8858;0.8831;0.9593;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
RandomForestClassifier;0.8855;0.8873;0.8855;0.8815;0.9597;(1, 2);TF-IDF;under;10;10;kbest;{'n_estimators': 100, 'random_state': 42};RandomForestClassifier(random_state=42)
