Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Ngram;Vect. Strategy;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Hyper Params.;Model
SVC;0.9048;0.9064;0.9048;0.9041;0.9591;(1, 2);TF-IDF;under;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9041;0.9054;0.9041;0.9017;0.9557;(1, 2);TF-IDF;over;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9033;0.9047;0.9033;0.9036;0.9554;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9033;0.9051;0.9033;0.9027;0.9577;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9022;0.9041;0.9022;0.9008;0.956;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9022;0.9036;0.9022;0.9013;0.956;(1, 2);TF-IDF;under;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9016;0.9039;0.9016;0.901;0.9564;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9016;0.9036;0.9016;0.9016;0.9557;(1, 2);TF-IDF;under;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9014;0.903;0.9014;0.9004;0.9584;(1, 2);TF-IDF;mixed;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9014;0.9026;0.9014;0.9023;0.9565;(1, 2);TF-IDF;mixed;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9007;0.9021;0.9007;0.8987;0.9551;(1, 2);TF-IDF;under;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9007;0.9018;0.9007;0.901;0.9566;(1, 2);TF-IDF;over;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9005;0.9027;0.9005;0.9013;0.9541;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9005;0.9024;0.9005;0.9003;0.9556;(1, 2);TF-IDF;smote;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.9001;0.9018;0.9001;0.9016;0.9557;(1, 2);TF-IDF;mixed;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.8999;0.9016;0.8999;0.8995;0.9537;(1, 2);TF-IDF;over;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.8998;0.9012;0.8998;0.899;0.9561;(1, 2);TF-IDF;over;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.8994;0.9015;0.8994;0.9021;0.9563;(1, 2);TF-IDF;over;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
SVC;0.8994;0.9013;0.8994;0.8997;0.9559;(1, 2);TF-IDF;under;10;10;kbest;{'C': 10, 'kernel': 'rbf', 'probability': True, 'random_state': 42};SVC(C=10, probability=True, random_state=42)
