Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
DecisionTreeClassifier;0.9291;0.9479;0.9291;0.8013;0.9313;0.9524;0.9313;0.9252;0.7395;0.7844;0.7395;0.7219;0.9725;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0034, 'anger': 0.001, 'surprise': 0.0019, 'sadness': 0.0028, 'disgust': 0.0012, 'c_score': 0.3515};DecisionTreeClassifier()
DecisionTreeClassifier;0.9302;0.9501;0.9302;0.8038;0.9262;0.9477;0.9262;0.92;0.7395;0.7847;0.7395;0.722;0.973;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0034, 'anger': 0.0008, 'surprise': 0.0021, 'sadness': 0.0024, 'disgust': 0.0014, 'c_score': 0.3516};DecisionTreeClassifier()
DecisionTreeClassifier;0.9298;0.9488;0.9298;0.8039;0.9273;0.9481;0.9273;0.9211;0.7395;0.7846;0.7395;0.7219;0.9735;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.003, 'anger': 0.0008, 'surprise': 0.0019, 'sadness': 0.003, 'disgust': 0.0012, 'c_score': 0.3493};DecisionTreeClassifier()
DecisionTreeClassifier;0.9287;0.9486;0.9287;0.8012;0.9342;0.9524;0.9342;0.9289;0.7395;0.7846;0.7395;0.722;0.9726;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0019, 'anger': 0.0011, 'surprise': 0.0019, 'sadness': 0.0031, 'disgust': 0.0012, 'c_score': 0.3522};DecisionTreeClassifier()
DecisionTreeClassifier;0.9295;0.949;0.9295;0.803;0.9299;0.9509;0.9299;0.9243;0.7395;0.7846;0.7395;0.722;0.9719;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0038, 'anger': 0.0009, 'surprise': 0.0022, 'sadness': 0.0032, 'disgust': 0.0014, 'c_score': 0.3528};DecisionTreeClassifier()
DecisionTreeClassifier;0.9291;0.9483;0.9291;0.8026;0.9331;0.9556;0.9331;0.9276;0.7394;0.7843;0.7394;0.7219;0.9725;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0035, 'anger': 0.0009, 'surprise': 0.0019, 'sadness': 0.0029, 'disgust': 0.0016, 'c_score': 0.3526};DecisionTreeClassifier()
DecisionTreeClassifier;0.9299;0.9502;0.9299;0.8041;0.9295;0.9488;0.9295;0.9231;0.7393;0.7844;0.7393;0.7217;0.9736;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0027, 'anger': 0.0007, 'surprise': 0.002, 'sadness': 0.0016, 'disgust': 0.001, 'c_score': 0.3509};DecisionTreeClassifier()
DecisionTreeClassifier;0.929;0.9487;0.929;0.8018;0.9335;0.9489;0.9335;0.9285;0.7393;0.7846;0.7393;0.7217;0.9736;not-balanced;80;10;kbest;['fear', 'trust', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0028, 'trust': 0.0018, 'surprise': 0.0021, 'sadness': 0.0021, 'disgust': 0.0013, 'c_score': 0.3514};DecisionTreeClassifier()
DecisionTreeClassifier;0.9293;0.9484;0.9293;0.8018;0.9277;0.9458;0.9277;0.9224;0.7389;0.7837;0.7389;0.7213;0.9728;not-balanced;80;10;kbest;['fear', 'trust', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0029, 'trust': 0.0016, 'surprise': 0.0023, 'sadness': 0.0029, 'disgust': 0.0014, 'c_score': 0.3519};DecisionTreeClassifier()
RandomForestClassifier;0.9293;0.9505;0.9293;0.8015;0.9353;0.9549;0.9353;0.9299;0.7389;0.7846;0.7389;0.7212;0.9751;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0026, 'anger': 0.0009, 'surprise': 0.0019, 'sadness': 0.0021, 'disgust': 0.001, 'c_score': 0.3501};RandomForestClassifier()
RandomForestClassifier;0.9291;0.9493;0.9291;0.8016;0.9331;0.9529;0.9331;0.9266;0.7387;0.7847;0.7387;0.7209;0.975;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0018, 'anger': 0.0008, 'surprise': 0.0016, 'sadness': 0.001, 'disgust': 0.0008, 'c_score': 0.3501};RandomForestClassifier()
DecisionTreeClassifier;0.9297;0.948;0.9297;0.8035;0.9205;0.9366;0.9205;0.9141;0.7385;0.7817;0.7385;0.7213;0.9734;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0079, 'anger': 0.0016, 'surprise': 0.0032, 'sadness': 0.0063, 'disgust': 0.0028, 'c_score': 0.351};DecisionTreeClassifier()
RandomForestClassifier;0.9305;0.9502;0.9305;0.8045;0.9226;0.9484;0.9226;0.9149;0.7385;0.7844;0.7385;0.7206;0.9754;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0016, 'anger': 0.0008, 'surprise': 0.0019, 'sadness': 0.0015, 'disgust': 0.0011, 'c_score': 0.3515};RandomForestClassifier()
RandomForestClassifier;0.9294;0.951;0.9294;0.8016;0.9349;0.9522;0.9349;0.9297;0.7384;0.784;0.7384;0.7205;0.9749;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0034, 'anger': 0.0007, 'surprise': 0.0017, 'sadness': 0.0025, 'disgust': 0.0013, 'c_score': 0.3499};RandomForestClassifier()
RandomForestClassifier;0.9304;0.9508;0.9304;0.8044;0.927;0.9498;0.927;0.9208;0.7384;0.7843;0.7384;0.7205;0.9755;not-balanced;80;10;kbest;['fear', 'trust', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0024, 'trust': 0.0008, 'surprise': 0.0016, 'sadness': 0.0019, 'disgust': 0.0011, 'c_score': 0.3523};RandomForestClassifier()
RandomForestClassifier;0.9301;0.951;0.9301;0.8052;0.9288;0.9508;0.9288;0.9224;0.7383;0.784;0.7383;0.7204;0.9744;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0032, 'anger': 0.0009, 'surprise': 0.0021, 'sadness': 0.002, 'disgust': 0.001, 'c_score': 0.3533};RandomForestClassifier()
RandomForestClassifier;0.9301;0.9507;0.9301;0.8035;0.9284;0.9513;0.9284;0.9228;0.7381;0.7843;0.7381;0.7201;0.9751;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'c_score'];{'fear': 0.0016, 'anger': 0.0009, 'surprise': 0.0017, 'sadness': 0.0011, 'disgust': 0.0008, 'c_score': 0.3516};RandomForestClassifier()
