Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4186};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4221};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4186};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4211};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4218};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4204};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4208};DecisionTreeClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4182};DecisionTreeClassifier()
RandomForestClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4205};RandomForestClassifier()
DecisionTreeClassifier;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9594;0.9627;0.9594;0.9593;1.0;not-balanced;80;10;kbest;['fear', 'anger', 'surprise', 'sadness', 'disgust', 'o_score'];{'fear': 0.0, 'anger': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'o_score': 0.4213};DecisionTreeClassifier()
