Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,50,10,kbest,"['fear', 'e_score', 'a_score']","{'fear': 0.0, 'e_score': 0.4934, 'a_score': 0.4703}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,70,10,kbest,"['fear', 'anger', 'sadness', 'disgust', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'e_score': 0.4694, 'a_score': 0.4341}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.4673, 'a_score': 0.4377}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.4795, 'a_score': 0.4449}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.4736, 'a_score': 0.4389}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,50,10,kbest,"['sadness', 'e_score', 'a_score']","{'sadness': 0.0, 'e_score': 0.4943, 'a_score': 0.4743}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,60,10,kbest,"['sadness', 'joy', 'e_score', 'a_score']","{'sadness': 0.0, 'joy': 0.0, 'e_score': 0.4965, 'a_score': 0.4757}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.4949, 'a_score': 0.4719}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,80,10,kbest,"['fear', 'anger', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.496, 'a_score': 0.4735}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.4992, 'a_score': 0.471}",DecisionTreeClassifier()
