Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,50,10,kbest,"['sadness', 'e_score', 'a_score']","{'sadness': 0.0, 'e_score': 0.3466, 'a_score': 0.3205}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,60,10,kbest,"['fear', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'joy': 0.0, 'e_score': 0.3369, 'a_score': 0.3293}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,60,10,kbest,"['fear', 'sadness', 'e_score', 'a_score']","{'fear': 0.0, 'sadness': 0.0, 'e_score': 0.3409, 'a_score': 0.3352}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,60,10,kbest,"['fear', 'anticipation', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'e_score': 0.3709, 'a_score': 0.311}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.3339, 'a_score': 0.3297}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,80,10,kbest,"['fear', 'anticipation', 'sadness', 'disgust', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.3246, 'a_score': 0.3376}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.3467, 'a_score': 0.3322}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,60,10,kbest,"['fear', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'joy': 0.0, 'e_score': 0.3723, 'a_score': 0.3312}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,70,10,kbest,"['fear', 'anticipation', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.3316, 'a_score': 0.3481}",RandomForestClassifier()
RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,80,10,kbest,"['fear', 'anticipation', 'trust', 'sadness', 'joy', 'e_score', 'a_score']","{'fear': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.3195, 'a_score': 0.3525}",RandomForestClassifier()
