Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
BernoulliNB;0.5919;0.3504;0.5919;0.2479;0.516;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5911;0.3495;0.5911;0.2477;0.5163;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.591;0.3494;0.591;0.2476;0.5171;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5909;0.3492;0.5909;0.2476;0.5177;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5908;0.3491;0.5908;0.2476;0.5161;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5908;0.3491;0.5908;0.2476;0.5167;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5907;0.3489;0.5907;0.2476;0.5173;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5906;0.3489;0.5906;0.2475;0.5169;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5906;0.3489;0.5906;0.2475;0.5168;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5905;0.3488;0.5905;0.2475;0.5164;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5905;0.3487;0.5905;0.2475;0.5184;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5904;0.3486;0.5904;0.2475;0.5175;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5903;0.3485;0.5903;0.2475;0.5166;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5903;0.3485;0.5903;0.2475;0.5161;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5902;0.3484;0.5902;0.2474;0.5171;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5901;0.3483;0.5901;0.2474;0.5177;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5901;0.3483;0.5901;0.2474;0.5167;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5899;0.348;0.5899;0.2473;0.5157;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5899;0.348;0.5899;0.2473;0.5155;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5898;0.3479;0.5898;0.2473;0.5187;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5898;0.3479;0.5898;0.2473;0.5179;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5896;0.3477;0.5896;0.2473;0.5176;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5896;0.3477;0.5896;0.2473;0.5168;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5896;0.3476;0.5896;0.2473;0.5149;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5894;0.3475;0.5894;0.2472;0.5166;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5894;0.3474;0.5894;0.2472;0.5179;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5891;0.3471;0.5891;0.2471;0.5172;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.589;0.3469;0.589;0.2471;0.5164;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5887;0.3466;0.5887;0.247;0.5164;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.5882;0.346;0.5882;0.2469;0.5176;not-balanced;10;none;BernoulliNB()
