Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
MultinomialNB;0.9974;0.9974;0.9974;0.9942;0.9994;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9972;0.9973;0.9972;0.9939;0.9994;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9971;0.9972;0.9971;0.9936;0.9994;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9971;0.9972;0.9971;0.9937;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9971;0.9972;0.9971;0.9937;0.9994;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9971;0.997;0.9933;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9971;0.997;0.9934;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9972;0.997;0.9935;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9971;0.997;0.9934;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9972;0.997;0.9935;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.997;0.9971;0.997;0.9934;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9932;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9931;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.9971;0.9969;0.9933;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9932;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9931;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9932;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9969;0.997;0.9969;0.9932;0.9994;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9968;0.9969;0.9968;0.9929;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9968;0.9969;0.9968;0.993;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9968;0.9969;0.9968;0.993;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9968;0.9969;0.9968;0.993;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9967;0.9969;0.9967;0.9928;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9967;0.9968;0.9967;0.9926;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9967;0.9969;0.9967;0.9929;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9967;0.9969;0.9967;0.9929;0.9993;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9967;0.9968;0.9967;0.9927;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9966;0.9967;0.9966;0.9925;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9966;0.9968;0.9966;0.9927;0.9992;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9964;0.9966;0.9964;0.9923;0.9991;not-balanced;10;none;MultinomialNB()
