Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9993,0.9993,0.9993,0.999,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.3144, 'a_score': 0.2789}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.2615, 'a_score': 0.2478}",RandomForestClassifier()
RandomForestClassifier,0.9997,0.9997,0.9997,0.9996,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.3221, 'a_score': 0.2618}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.2414, 'a_score': 0.3244}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.999,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.3447, 'a_score': 0.2589}",RandomForestClassifier()
RandomForestClassifier,0.9997,0.9997,0.9997,0.9995,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.2592, 'a_score': 0.3102}",RandomForestClassifier()
RandomForestClassifier,0.9997,0.9997,0.9997,0.9995,1.0,1.0,1.0,1.0,0.9308,0.8711,0.9308,0.8989,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.3748, 'a_score': 0.3108}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9304,0.8708,0.9304,0.8985,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.3472, 'a_score': 0.2676}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9304,0.8708,0.9304,0.8985,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.2718, 'a_score': 0.2456}",RandomForestClassifier()
RandomForestClassifier,0.9993,0.9993,0.9993,0.9991,1.0,1.0,1.0,1.0,0.9304,0.8708,0.9304,0.8985,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.329, 'a_score': 0.2669}",RandomForestClassifier()
