Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
ComplementNB;0.8213;0.7551;0.8213;0.5742;0.9223;not-balanced;10;none;ComplementNB()
ComplementNB;0.8208;0.7553;0.8208;0.5736;0.9218;not-balanced;10;none;ComplementNB()
ComplementNB;0.8205;0.7549;0.8205;0.5734;0.9213;not-balanced;10;none;ComplementNB()
ComplementNB;0.8201;0.7544;0.8201;0.5732;0.9216;not-balanced;10;none;ComplementNB()
ComplementNB;0.8194;0.7536;0.8194;0.5728;0.9217;not-balanced;10;none;ComplementNB()
ComplementNB;0.8182;0.7544;0.8182;0.5715;0.9216;not-balanced;10;none;ComplementNB()
ComplementNB;0.8167;0.7518;0.8167;0.5708;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.8147;0.7506;0.8147;0.5693;0.9219;not-balanced;10;none;ComplementNB()
ComplementNB;0.813;0.749;0.813;0.5682;0.9217;not-balanced;10;none;ComplementNB()
ComplementNB;0.8106;0.7474;0.8106;0.5666;0.9218;not-balanced;10;none;ComplementNB()
ComplementNB;0.8106;0.7483;0.8106;0.5663;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.8102;0.7477;0.8102;0.5661;0.9216;not-balanced;10;none;ComplementNB()
ComplementNB;0.8095;0.7467;0.8095;0.5657;0.9217;not-balanced;10;none;ComplementNB()
ComplementNB;0.8088;0.7468;0.8088;0.5649;0.9219;not-balanced;10;none;ComplementNB()
ComplementNB;0.8085;0.7466;0.8085;0.5648;0.9218;not-balanced;10;none;ComplementNB()
ComplementNB;0.8079;0.746;0.8079;0.5644;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.8073;0.7449;0.8073;0.5643;0.9222;not-balanced;10;none;ComplementNB()
ComplementNB;0.8062;0.7438;0.8062;0.5636;0.9221;not-balanced;10;none;ComplementNB()
ComplementNB;0.8053;0.7442;0.8053;0.5626;0.9217;not-balanced;10;none;ComplementNB()
ComplementNB;0.8043;0.7431;0.8043;0.5619;0.922;not-balanced;10;none;ComplementNB()
ComplementNB;0.8043;0.743;0.8043;0.562;0.9218;not-balanced;10;none;ComplementNB()
ComplementNB;0.8011;0.741;0.8011;0.5596;0.9213;not-balanced;10;none;ComplementNB()
ComplementNB;0.7998;0.7396;0.7998;0.5588;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.7986;0.7394;0.7986;0.5578;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.7983;0.7391;0.7983;0.5576;0.9215;not-balanced;10;none;ComplementNB()
ComplementNB;0.7981;0.7388;0.7981;0.5575;0.9219;not-balanced;10;none;ComplementNB()
ComplementNB;0.7953;0.7365;0.7953;0.5556;0.922;not-balanced;10;none;ComplementNB()
ComplementNB;0.7952;0.7364;0.7952;0.5555;0.9222;not-balanced;10;none;ComplementNB()
ComplementNB;0.7937;0.7352;0.7937;0.5545;0.9218;not-balanced;10;none;ComplementNB()
ComplementNB;0.7886;0.7311;0.7886;0.5509;0.922;not-balanced;10;none;ComplementNB()
