Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
GaussianNB;0.9471;0.9545;0.9471;0.9592;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.947;0.9544;0.947;0.9591;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.947;0.9545;0.947;0.9591;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9469;0.9544;0.9469;0.9591;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9469;0.9543;0.9469;0.9591;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9469;0.9544;0.9469;0.959;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9469;0.9544;0.9469;0.9591;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9468;0.9543;0.9468;0.9589;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9468;0.9543;0.9468;0.959;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9467;0.9542;0.9467;0.9588;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9467;0.9542;0.9467;0.9589;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9467;0.9542;0.9467;0.9589;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9466;0.9541;0.9466;0.9589;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9465;0.9541;0.9465;0.9588;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9465;0.9541;0.9465;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9465;0.9541;0.9465;0.9588;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9465;0.9541;0.9465;0.9588;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9465;0.9541;0.9465;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9464;0.954;0.9464;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9464;0.954;0.9464;0.9586;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9464;0.954;0.9464;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9464;0.954;0.9464;0.9586;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9463;0.9538;0.9463;0.9586;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9463;0.954;0.9463;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9463;0.9539;0.9463;0.9586;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9463;0.9539;0.9463;0.9587;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9462;0.9539;0.9462;0.9585;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9461;0.9538;0.9461;0.9584;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9461;0.9538;0.9461;0.9584;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.946;0.9537;0.946;0.9584;1.0;not-balanced;10;none;GaussianNB()
