;Algorithm;Accuracy;F1 Score
0;SVC;1.0;1.0
22;DecisionTreeClassifier;1.0;1.0
24;DecisionTreeClassifier;1.0;1.0
25;DecisionTreeClassifier;1.0;1.0
26;DecisionTreeClassifier;1.0;1.0
27;DecisionTreeClassifier;1.0;1.0
28;DecisionTreeClassifier;1.0;1.0
29;DecisionTreeClassifier;1.0;1.0
0;LogisticRegression;1.0;1.0
1;LogisticRegression;1.0;1.0
2;LogisticRegression;1.0;1.0
3;LogisticRegression;1.0;1.0
4;LogisticRegression;1.0;1.0
5;LogisticRegression;1.0;1.0
6;LogisticRegression;1.0;1.0
7;LogisticRegression;1.0;1.0
8;LogisticRegression;1.0;1.0
9;LogisticRegression;1.0;1.0
10;LogisticRegression;1.0;1.0
11;LogisticRegression;1.0;1.0
12;LogisticRegression;1.0;1.0
23;DecisionTreeClassifier;1.0;1.0
21;DecisionTreeClassifier;1.0;1.0
14;LogisticRegression;1.0;1.0
20;DecisionTreeClassifier;1.0;1.0
1;DecisionTreeClassifier;1.0;1.0
2;DecisionTreeClassifier;1.0;1.0
3;DecisionTreeClassifier;1.0;1.0
4;DecisionTreeClassifier;1.0;1.0
5;DecisionTreeClassifier;1.0;1.0
6;DecisionTreeClassifier;1.0;1.0
7;DecisionTreeClassifier;1.0;1.0
8;DecisionTreeClassifier;1.0;1.0
9;DecisionTreeClassifier;1.0;1.0
10;DecisionTreeClassifier;1.0;1.0
11;DecisionTreeClassifier;1.0;1.0
12;DecisionTreeClassifier;1.0;1.0
13;DecisionTreeClassifier;1.0;1.0
14;DecisionTreeClassifier;1.0;1.0
15;DecisionTreeClassifier;1.0;1.0
16;DecisionTreeClassifier;1.0;1.0
17;DecisionTreeClassifier;1.0;1.0
18;DecisionTreeClassifier;1.0;1.0
19;DecisionTreeClassifier;1.0;1.0
13;LogisticRegression;1.0;1.0
15;LogisticRegression;1.0;1.0
1;SVC;1.0;1.0
8;MLPClassifier;1.0;1.0
10;MLPClassifier;1.0;1.0
11;MLPClassifier;1.0;1.0
12;MLPClassifier;1.0;1.0
13;MLPClassifier;1.0;1.0
14;MLPClassifier;1.0;1.0
15;MLPClassifier;1.0;1.0
16;MLPClassifier;1.0;1.0
17;MLPClassifier;1.0;1.0
18;MLPClassifier;1.0;1.0
19;MLPClassifier;1.0;1.0
20;MLPClassifier;1.0;1.0
21;MLPClassifier;1.0;1.0
22;MLPClassifier;1.0;1.0
23;MLPClassifier;1.0;1.0
24;MLPClassifier;1.0;1.0
25;MLPClassifier;1.0;1.0
26;MLPClassifier;1.0;1.0
27;MLPClassifier;1.0;1.0
28;MLPClassifier;1.0;1.0
9;MLPClassifier;1.0;1.0
7;MLPClassifier;1.0;1.0
16;LogisticRegression;1.0;1.0
6;MLPClassifier;1.0;1.0
17;LogisticRegression;1.0;1.0
18;LogisticRegression;1.0;1.0
19;LogisticRegression;1.0;1.0
20;LogisticRegression;1.0;1.0
21;LogisticRegression;1.0;1.0
22;LogisticRegression;1.0;1.0
23;LogisticRegression;1.0;1.0
24;LogisticRegression;1.0;1.0
25;LogisticRegression;1.0;1.0
26;LogisticRegression;1.0;1.0
27;LogisticRegression;1.0;1.0
28;LogisticRegression;1.0;1.0
29;LogisticRegression;1.0;1.0
0;MLPClassifier;1.0;1.0
1;MLPClassifier;1.0;1.0
2;MLPClassifier;1.0;1.0
3;MLPClassifier;1.0;1.0
4;MLPClassifier;1.0;1.0
5;MLPClassifier;1.0;1.0
0;DecisionTreeClassifier;1.0;1.0
29;MLPClassifier;1.0;1.0
29;RandomForestClassifier;1.0;1.0
11;RandomForestClassifier;1.0;1.0
23;RandomForestClassifier;1.0;1.0
22;RandomForestClassifier;1.0;1.0
21;RandomForestClassifier;1.0;1.0
20;RandomForestClassifier;1.0;1.0
19;RandomForestClassifier;1.0;1.0
18;RandomForestClassifier;1.0;1.0
17;RandomForestClassifier;1.0;1.0
16;RandomForestClassifier;1.0;1.0
15;RandomForestClassifier;1.0;1.0
14;RandomForestClassifier;1.0;1.0
13;RandomForestClassifier;1.0;1.0
12;RandomForestClassifier;1.0;1.0
10;RandomForestClassifier;1.0;1.0
26;RandomForestClassifier;1.0;1.0
9;RandomForestClassifier;1.0;1.0
8;RandomForestClassifier;1.0;1.0
7;RandomForestClassifier;1.0;1.0
6;RandomForestClassifier;1.0;1.0
5;RandomForestClassifier;1.0;1.0
4;RandomForestClassifier;1.0;1.0
3;RandomForestClassifier;1.0;1.0
2;RandomForestClassifier;1.0;1.0
1;RandomForestClassifier;1.0;1.0
0;RandomForestClassifier;1.0;1.0
29;SVC;1.0;1.0
28;SVC;1.0;1.0
24;RandomForestClassifier;1.0;1.0
25;RandomForestClassifier;1.0;1.0
14;SVC;1.0;1.0
27;RandomForestClassifier;1.0;1.0
2;SVC;1.0;1.0
3;SVC;1.0;1.0
4;SVC;1.0;1.0
5;SVC;1.0;1.0
6;SVC;1.0;1.0
7;SVC;1.0;1.0
8;SVC;1.0;1.0
9;SVC;1.0;1.0
10;SVC;1.0;1.0
11;SVC;1.0;1.0
12;SVC;1.0;1.0
13;SVC;1.0;1.0
28;RandomForestClassifier;1.0;1.0
15;SVC;1.0;1.0
16;SVC;1.0;1.0
17;SVC;1.0;1.0
18;SVC;1.0;1.0
19;SVC;1.0;1.0
20;SVC;1.0;1.0
21;SVC;1.0;1.0
22;SVC;1.0;1.0
23;SVC;1.0;1.0
24;SVC;1.0;1.0
25;SVC;1.0;1.0
26;SVC;1.0;1.0
27;SVC;1.0;1.0
0;MultinomialNB;0.9974;0.9942
1;MultinomialNB;0.9972;0.9939
4;MultinomialNB;0.9971;0.9937
2;MultinomialNB;0.9971;0.9936
3;MultinomialNB;0.9971;0.9937
6;MultinomialNB;0.997;0.9934
7;MultinomialNB;0.997;0.9935
8;MultinomialNB;0.997;0.9934
9;MultinomialNB;0.997;0.9935
10;MultinomialNB;0.997;0.9934
5;MultinomialNB;0.997;0.9933
15;MultinomialNB;0.9969;0.9931
17;MultinomialNB;0.9969;0.9932
16;MultinomialNB;0.9969;0.9932
14;MultinomialNB;0.9969;0.9932
13;MultinomialNB;0.9969;0.9933
12;MultinomialNB;0.9969;0.9931
11;MultinomialNB;0.9969;0.9932
18;MultinomialNB;0.9968;0.9929
19;MultinomialNB;0.9968;0.993
20;MultinomialNB;0.9968;0.993
21;MultinomialNB;0.9968;0.993
25;MultinomialNB;0.9967;0.9929
26;MultinomialNB;0.9967;0.9927
24;MultinomialNB;0.9967;0.9929
22;MultinomialNB;0.9967;0.9928
23;MultinomialNB;0.9967;0.9926
27;MultinomialNB;0.9966;0.9925
28;MultinomialNB;0.9966;0.9927
29;MultinomialNB;0.9964;0.9923
0;GaussianNB;0.9471;0.9592
1;GaussianNB;0.947;0.9591
2;GaussianNB;0.947;0.9591
4;GaussianNB;0.9469;0.9591
5;GaussianNB;0.9469;0.959
6;GaussianNB;0.9469;0.9591
3;GaussianNB;0.9469;0.9591
7;GaussianNB;0.9468;0.9589
8;GaussianNB;0.9468;0.959
9;GaussianNB;0.9467;0.9588
10;GaussianNB;0.9467;0.9589
11;GaussianNB;0.9467;0.9589
12;GaussianNB;0.9466;0.9589
14;GaussianNB;0.9465;0.9587
13;GaussianNB;0.9465;0.9588
15;GaussianNB;0.9465;0.9588
16;GaussianNB;0.9465;0.9588
17;GaussianNB;0.9465;0.9587
18;GaussianNB;0.9464;0.9587
19;GaussianNB;0.9464;0.9586
20;GaussianNB;0.9464;0.9587
21;GaussianNB;0.9464;0.9586
22;GaussianNB;0.9463;0.9586
23;GaussianNB;0.9463;0.9587
24;GaussianNB;0.9463;0.9586
25;GaussianNB;0.9463;0.9587
26;GaussianNB;0.9462;0.9585
28;GaussianNB;0.9461;0.9584
27;GaussianNB;0.9461;0.9584
29;GaussianNB;0.946;0.9584
0;ComplementNB;0.8213;0.5742
1;ComplementNB;0.8208;0.5736
2;ComplementNB;0.8205;0.5734
3;ComplementNB;0.8201;0.5732
4;ComplementNB;0.8194;0.5728
5;ComplementNB;0.8182;0.5715
6;ComplementNB;0.8167;0.5708
7;ComplementNB;0.8147;0.5693
8;ComplementNB;0.813;0.5682
9;ComplementNB;0.8106;0.5666
10;ComplementNB;0.8106;0.5663
11;ComplementNB;0.8102;0.5661
12;ComplementNB;0.8095;0.5657
13;ComplementNB;0.8088;0.5649
14;ComplementNB;0.8085;0.5648
15;ComplementNB;0.8079;0.5644
16;ComplementNB;0.8073;0.5643
17;ComplementNB;0.8062;0.5636
18;ComplementNB;0.8053;0.5626
20;ComplementNB;0.8043;0.562
19;ComplementNB;0.8043;0.5619
21;ComplementNB;0.8011;0.5596
22;ComplementNB;0.7998;0.5588
23;ComplementNB;0.7986;0.5578
24;ComplementNB;0.7983;0.5576
25;ComplementNB;0.7981;0.5575
26;ComplementNB;0.7953;0.5556
27;ComplementNB;0.7952;0.5555
28;ComplementNB;0.7937;0.5545
29;ComplementNB;0.7886;0.5509
0;BernoulliNB;0.5919;0.2479
1;BernoulliNB;0.5911;0.2477
2;BernoulliNB;0.591;0.2476
3;BernoulliNB;0.5909;0.2476
4;BernoulliNB;0.5908;0.2476
5;BernoulliNB;0.5908;0.2476
6;BernoulliNB;0.5907;0.2476
7;BernoulliNB;0.5906;0.2475
8;BernoulliNB;0.5906;0.2475
9;BernoulliNB;0.5905;0.2475
10;BernoulliNB;0.5905;0.2475
11;BernoulliNB;0.5904;0.2475
13;BernoulliNB;0.5903;0.2475
12;BernoulliNB;0.5903;0.2475
14;BernoulliNB;0.5902;0.2474
15;BernoulliNB;0.5901;0.2474
16;BernoulliNB;0.5901;0.2474
17;BernoulliNB;0.5899;0.2473
18;BernoulliNB;0.5899;0.2473
19;BernoulliNB;0.5898;0.2473
20;BernoulliNB;0.5898;0.2473
21;BernoulliNB;0.5896;0.2473
22;BernoulliNB;0.5896;0.2473
23;BernoulliNB;0.5896;0.2473
24;BernoulliNB;0.5894;0.2472
25;BernoulliNB;0.5894;0.2472
26;BernoulliNB;0.5891;0.2471
27;BernoulliNB;0.589;0.2471
28;BernoulliNB;0.5887;0.247
29;BernoulliNB;0.5882;0.2469
