Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
BernoulliNB;0.623;0.3882;0.623;0.3839;0.5127;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.623;0.3882;0.623;0.3839;0.5115;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6229;0.388;0.6229;0.3838;0.5113;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6228;0.3879;0.6228;0.3838;0.512;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6228;0.3879;0.6228;0.3838;0.5107;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6227;0.3879;0.6227;0.3837;0.5117;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6227;0.3877;0.6227;0.3837;0.5135;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6225;0.3876;0.6225;0.3837;0.5121;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6224;0.3875;0.6224;0.3836;0.513;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6224;0.3874;0.6224;0.3836;0.5126;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6224;0.3874;0.6224;0.3836;0.5122;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6223;0.3874;0.6223;0.3836;0.5135;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6223;0.3872;0.6223;0.3836;0.5109;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6223;0.3873;0.6223;0.3836;0.5129;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6222;0.3872;0.6222;0.3836;0.512;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6221;0.387;0.6221;0.3835;0.5121;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.622;0.387;0.622;0.3835;0.5118;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.622;0.387;0.622;0.3835;0.5114;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6219;0.3869;0.6219;0.3834;0.5126;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6219;0.3868;0.6219;0.3834;0.512;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6218;0.3866;0.6218;0.3834;0.5117;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6218;0.3867;0.6218;0.3834;0.5121;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6217;0.3865;0.6217;0.3833;0.512;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6217;0.3866;0.6217;0.3834;0.5134;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6215;0.3863;0.6215;0.3833;0.5136;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6214;0.3861;0.6214;0.3832;0.5126;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6213;0.3861;0.6213;0.3832;0.5127;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6213;0.3861;0.6213;0.3832;0.5136;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6212;0.3859;0.6212;0.3832;0.5124;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.6209;0.3856;0.6209;0.3831;0.5145;not-balanced;10;none;BernoulliNB()
