Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
GaussianNB;0.9981;0.9981;0.9981;0.998;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.998;0.998;0.998;0.9978;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.998;0.998;0.998;0.9979;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.9979;0.9979;0.9979;0.9978;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.9979;0.998;0.9979;0.9978;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.9979;0.9979;0.9979;0.9978;0.9994;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9977;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9977;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9976;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9976;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9976;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9976;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9978;0.9978;0.9978;0.9976;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9977;0.9977;0.9977;0.9976;0.9991;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9977;0.9976;0.9975;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9975;0.9991;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9974;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9975;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9974;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9975;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9974;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9975;0.9992;not-balanced;10;none;GaussianNB()
GaussianNB;0.9976;0.9976;0.9976;0.9975;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9975;0.9975;0.9975;0.9974;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9975;0.9976;0.9975;0.9974;0.9991;not-balanced;10;none;GaussianNB()
GaussianNB;0.9975;0.9975;0.9975;0.9973;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9975;0.9975;0.9975;0.9974;0.9993;not-balanced;10;none;GaussianNB()
GaussianNB;0.9974;0.9974;0.9974;0.9973;0.999;not-balanced;10;none;GaussianNB()
GaussianNB;0.9973;0.9973;0.9973;0.9971;0.999;not-balanced;10;none;GaussianNB()
GaussianNB;0.9973;0.9973;0.9973;0.9971;0.9991;not-balanced;10;none;GaussianNB()
