Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
MLPClassifier;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MLPClassifier()
