Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
MultinomialNB;1.0;1.0;1.0;1.0;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;MultinomialNB()
