;Algorithm;Accuracy;F1 Score
0;SVC;1.0;1.0
1;LogisticRegression;1.0;1.0
22;DecisionTreeClassifier;1.0;1.0
23;DecisionTreeClassifier;1.0;1.0
24;DecisionTreeClassifier;1.0;1.0
25;DecisionTreeClassifier;1.0;1.0
26;DecisionTreeClassifier;1.0;1.0
27;DecisionTreeClassifier;1.0;1.0
28;DecisionTreeClassifier;1.0;1.0
29;DecisionTreeClassifier;1.0;1.0
0;LogisticRegression;1.0;1.0
2;LogisticRegression;1.0;1.0
13;LogisticRegression;1.0;1.0
3;LogisticRegression;1.0;1.0
4;LogisticRegression;1.0;1.0
5;LogisticRegression;1.0;1.0
6;LogisticRegression;1.0;1.0
7;LogisticRegression;1.0;1.0
8;LogisticRegression;1.0;1.0
9;LogisticRegression;1.0;1.0
10;LogisticRegression;1.0;1.0
11;LogisticRegression;1.0;1.0
21;DecisionTreeClassifier;1.0;1.0
20;DecisionTreeClassifier;1.0;1.0
19;DecisionTreeClassifier;1.0;1.0
18;DecisionTreeClassifier;1.0;1.0
0;MultinomialNB;1.0;1.0
0;DecisionTreeClassifier;1.0;1.0
1;DecisionTreeClassifier;1.0;1.0
2;DecisionTreeClassifier;1.0;1.0
3;DecisionTreeClassifier;1.0;1.0
4;DecisionTreeClassifier;1.0;1.0
5;DecisionTreeClassifier;1.0;1.0
6;DecisionTreeClassifier;1.0;1.0
7;DecisionTreeClassifier;1.0;1.0
8;DecisionTreeClassifier;1.0;1.0
9;DecisionTreeClassifier;1.0;1.0
10;DecisionTreeClassifier;1.0;1.0
11;DecisionTreeClassifier;1.0;1.0
12;DecisionTreeClassifier;1.0;1.0
13;DecisionTreeClassifier;1.0;1.0
14;DecisionTreeClassifier;1.0;1.0
15;DecisionTreeClassifier;1.0;1.0
16;DecisionTreeClassifier;1.0;1.0
17;DecisionTreeClassifier;1.0;1.0
12;LogisticRegression;1.0;1.0
14;LogisticRegression;1.0;1.0
4;ComplementNB;1.0;1.0
18;MLPClassifier;1.0;1.0
9;MLPClassifier;1.0;1.0
10;MLPClassifier;1.0;1.0
11;MLPClassifier;1.0;1.0
12;MLPClassifier;1.0;1.0
13;MLPClassifier;1.0;1.0
14;MLPClassifier;1.0;1.0
15;MLPClassifier;1.0;1.0
16;MLPClassifier;1.0;1.0
17;MLPClassifier;1.0;1.0
19;MLPClassifier;1.0;1.0
15;LogisticRegression;1.0;1.0
20;MLPClassifier;1.0;1.0
21;MLPClassifier;1.0;1.0
22;MLPClassifier;1.0;1.0
23;MLPClassifier;1.0;1.0
24;MLPClassifier;1.0;1.0
25;MLPClassifier;1.0;1.0
26;MLPClassifier;1.0;1.0
27;MLPClassifier;1.0;1.0
28;MLPClassifier;1.0;1.0
8;MLPClassifier;1.0;1.0
7;MLPClassifier;1.0;1.0
6;MLPClassifier;1.0;1.0
5;MLPClassifier;1.0;1.0
16;LogisticRegression;1.0;1.0
17;LogisticRegression;1.0;1.0
18;LogisticRegression;1.0;1.0
19;LogisticRegression;1.0;1.0
20;LogisticRegression;1.0;1.0
21;LogisticRegression;1.0;1.0
22;LogisticRegression;1.0;1.0
23;LogisticRegression;1.0;1.0
24;LogisticRegression;1.0;1.0
25;LogisticRegression;1.0;1.0
26;LogisticRegression;1.0;1.0
27;LogisticRegression;1.0;1.0
28;LogisticRegression;1.0;1.0
29;LogisticRegression;1.0;1.0
0;MLPClassifier;1.0;1.0
1;MLPClassifier;1.0;1.0
2;MLPClassifier;1.0;1.0
3;MLPClassifier;1.0;1.0
4;MLPClassifier;1.0;1.0
1;SVC;1.0;1.0
29;MLPClassifier;1.0;1.0
3;ComplementNB;1.0;1.0
22;SVC;1.0;1.0
2;RandomForestClassifier;1.0;1.0
1;RandomForestClassifier;1.0;1.0
0;RandomForestClassifier;1.0;1.0
29;SVC;1.0;1.0
28;SVC;1.0;1.0
27;SVC;1.0;1.0
26;SVC;1.0;1.0
25;SVC;1.0;1.0
24;SVC;1.0;1.0
23;SVC;1.0;1.0
21;SVC;1.0;1.0
12;SVC;1.0;1.0
20;SVC;1.0;1.0
19;SVC;1.0;1.0
18;SVC;1.0;1.0
17;SVC;1.0;1.0
0;ComplementNB;1.0;1.0
16;RandomForestClassifier;1.0;1.0
1;ComplementNB;1.0;1.0
16;SVC;1.0;1.0
15;SVC;1.0;1.0
14;SVC;1.0;1.0
3;RandomForestClassifier;1.0;1.0
4;RandomForestClassifier;1.0;1.0
5;RandomForestClassifier;1.0;1.0
6;RandomForestClassifier;1.0;1.0
18;RandomForestClassifier;1.0;1.0
19;RandomForestClassifier;1.0;1.0
20;RandomForestClassifier;1.0;1.0
21;RandomForestClassifier;1.0;1.0
22;RandomForestClassifier;1.0;1.0
23;RandomForestClassifier;1.0;1.0
24;RandomForestClassifier;1.0;1.0
25;RandomForestClassifier;1.0;1.0
26;RandomForestClassifier;1.0;1.0
27;RandomForestClassifier;1.0;1.0
28;RandomForestClassifier;1.0;1.0
29;RandomForestClassifier;1.0;1.0
15;RandomForestClassifier;1.0;1.0
14;RandomForestClassifier;1.0;1.0
13;RandomForestClassifier;1.0;1.0
12;RandomForestClassifier;1.0;1.0
11;RandomForestClassifier;1.0;1.0
10;RandomForestClassifier;1.0;1.0
9;RandomForestClassifier;1.0;1.0
8;RandomForestClassifier;1.0;1.0
7;RandomForestClassifier;1.0;1.0
13;SVC;1.0;1.0
17;RandomForestClassifier;1.0;1.0
11;SVC;1.0;1.0
5;SVC;1.0;1.0
10;SVC;1.0;1.0
2;ComplementNB;1.0;1.0
3;SVC;1.0;1.0
4;SVC;1.0;1.0
2;SVC;1.0;1.0
7;SVC;1.0;1.0
8;SVC;1.0;1.0
9;SVC;1.0;1.0
6;SVC;1.0;1.0
15;ComplementNB;0.9999;0.9999
5;ComplementNB;0.9999;0.9999
3;MultinomialNB;0.9999;0.9999
19;ComplementNB;0.9999;0.9999
18;ComplementNB;0.9999;0.9999
17;ComplementNB;0.9999;0.9999
16;ComplementNB;0.9999;0.9999
2;MultinomialNB;0.9999;0.9999
13;ComplementNB;0.9999;0.9999
12;ComplementNB;0.9999;0.9999
11;ComplementNB;0.9999;0.9999
10;ComplementNB;0.9999;0.9999
9;ComplementNB;0.9999;0.9999
8;ComplementNB;0.9999;0.9999
7;ComplementNB;0.9999;0.9999
6;ComplementNB;0.9999;0.9999
14;ComplementNB;0.9999;0.9999
9;MultinomialNB;0.9999;0.9999
8;MultinomialNB;0.9999;0.9999
14;MultinomialNB;0.9999;0.9999
12;MultinomialNB;0.9999;0.9999
11;MultinomialNB;0.9999;0.9999
10;MultinomialNB;0.9999;0.9999
1;MultinomialNB;0.9999;0.9999
15;MultinomialNB;0.9999;0.9999
7;MultinomialNB;0.9999;0.9999
18;MultinomialNB;0.9999;0.9999
6;MultinomialNB;0.9999;0.9999
5;MultinomialNB;0.9999;0.9999
4;MultinomialNB;0.9999;0.9999
19;MultinomialNB;0.9999;0.9999
