Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
BernoulliNB;0.8227;0.862;0.8227;0.7845;0.7578;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8226;0.862;0.8226;0.7841;0.7601;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8225;0.8619;0.8225;0.7842;0.7586;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8224;0.8618;0.8224;0.7839;0.7576;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8224;0.8619;0.8224;0.7841;0.7564;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8224;0.8618;0.8224;0.7839;0.7577;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.822;0.8617;0.822;0.7842;0.7581;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.822;0.8617;0.822;0.7839;0.7579;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8219;0.8616;0.8219;0.7837;0.7578;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8219;0.8616;0.8219;0.7837;0.7573;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8219;0.8616;0.8219;0.7834;0.7566;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8218;0.8616;0.8218;0.7838;0.7585;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8217;0.8615;0.8217;0.7834;0.7581;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8217;0.8615;0.8217;0.7833;0.7577;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8217;0.8615;0.8217;0.7837;0.7596;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8217;0.8615;0.8217;0.7835;0.7555;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8216;0.8614;0.8216;0.7833;0.7575;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8216;0.8614;0.8216;0.7831;0.7563;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8215;0.8614;0.8215;0.783;0.7562;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8215;0.8613;0.8215;0.7826;0.7562;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8214;0.8613;0.8214;0.7831;0.7562;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8214;0.8613;0.8214;0.7827;0.7562;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8214;0.8613;0.8214;0.7828;0.7567;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8214;0.8613;0.8214;0.7832;0.7583;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8214;0.8613;0.8214;0.7829;0.7566;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8213;0.8612;0.8213;0.7827;0.7558;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8213;0.8613;0.8213;0.7831;0.7584;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8212;0.8612;0.8212;0.7823;0.7547;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.8212;0.8612;0.8212;0.7828;0.7558;not-balanced;10;none;BernoulliNB()
BernoulliNB;0.821;0.8611;0.821;0.7824;0.7562;not-balanced;10;none;BernoulliNB()
