Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
ComplementNB;0.8343;0.8363;0.8343;0.8255;0.8805;not-balanced;10;none;ComplementNB()
ComplementNB;0.834;0.8357;0.834;0.825;0.8808;not-balanced;10;none;ComplementNB()
ComplementNB;0.8334;0.8353;0.8334;0.8245;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.833;0.8347;0.833;0.8241;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.833;0.8349;0.833;0.824;0.8806;not-balanced;10;none;ComplementNB()
ComplementNB;0.833;0.8346;0.833;0.8238;0.8805;not-balanced;10;none;ComplementNB()
ComplementNB;0.8329;0.8347;0.8329;0.824;0.8799;not-balanced;10;none;ComplementNB()
ComplementNB;0.8329;0.8347;0.8329;0.8237;0.8806;not-balanced;10;none;ComplementNB()
ComplementNB;0.8329;0.8349;0.8329;0.824;0.8805;not-balanced;10;none;ComplementNB()
ComplementNB;0.8327;0.8345;0.8327;0.8238;0.8805;not-balanced;10;none;ComplementNB()
ComplementNB;0.8327;0.8346;0.8327;0.8237;0.8809;not-balanced;10;none;ComplementNB()
ComplementNB;0.8326;0.8345;0.8326;0.8236;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.8325;0.8344;0.8325;0.8234;0.88;not-balanced;10;none;ComplementNB()
ComplementNB;0.8324;0.8343;0.8324;0.8235;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.8324;0.8343;0.8324;0.8234;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.8323;0.8339;0.8323;0.8232;0.8803;not-balanced;10;none;ComplementNB()
ComplementNB;0.8321;0.8341;0.8321;0.8232;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.8321;0.8339;0.8321;0.823;0.8803;not-balanced;10;none;ComplementNB()
ComplementNB;0.8321;0.8341;0.8321;0.823;0.8797;not-balanced;10;none;ComplementNB()
ComplementNB;0.832;0.8337;0.832;0.8228;0.88;not-balanced;10;none;ComplementNB()
ComplementNB;0.832;0.8338;0.832;0.8228;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.8316;0.8335;0.8316;0.8225;0.8798;not-balanced;10;none;ComplementNB()
ComplementNB;0.8316;0.8334;0.8316;0.8226;0.8804;not-balanced;10;none;ComplementNB()
ComplementNB;0.8313;0.833;0.8313;0.8221;0.8801;not-balanced;10;none;ComplementNB()
ComplementNB;0.8312;0.8328;0.8312;0.822;0.8808;not-balanced;10;none;ComplementNB()
ComplementNB;0.8311;0.8325;0.8311;0.8216;0.8802;not-balanced;10;none;ComplementNB()
ComplementNB;0.831;0.8328;0.831;0.8218;0.8804;not-balanced;10;none;ComplementNB()
ComplementNB;0.831;0.8326;0.831;0.8216;0.8808;not-balanced;10;none;ComplementNB()
ComplementNB;0.8308;0.8324;0.8308;0.8215;0.8803;not-balanced;10;none;ComplementNB()
ComplementNB;0.8306;0.8322;0.8306;0.8213;0.8802;not-balanced;10;none;ComplementNB()
