Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9999;0.9999;0.9999;0.9999;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9998;0.9998;0.9998;0.9998;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9996;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9997;0.9997;0.9997;0.9997;1.0;not-balanced;10;none;GaussianNB()
GaussianNB;0.9996;0.9996;0.9996;0.9995;1.0;not-balanced;10;none;GaussianNB()
