Algorithm;Accuracy;Precision;Recall;F1 Score;AUC;Bal. Strategy;Folds;Feat. Selec. Strategy;Model
MultinomialNB;0.6761;0.7445;0.6761;0.5335;0.8804;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6754;0.7429;0.6754;0.5337;0.8799;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6754;0.7454;0.6754;0.5323;0.8804;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6753;0.7443;0.6753;0.5324;0.8803;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.675;0.7432;0.675;0.5331;0.8805;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.675;0.7435;0.675;0.5311;0.8801;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.675;0.7421;0.675;0.5328;0.8801;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6749;0.7434;0.6749;0.5328;0.8812;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6748;0.7432;0.6748;0.5334;0.8804;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6747;0.7433;0.6747;0.5329;0.8806;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6746;0.7432;0.6746;0.5326;0.8806;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6746;0.7419;0.6746;0.533;0.8805;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6744;0.7427;0.6744;0.5325;0.8806;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6744;0.7422;0.6744;0.5332;0.8803;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6744;0.7421;0.6744;0.5334;0.88;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6744;0.7428;0.6744;0.5325;0.88;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6743;0.7424;0.6743;0.5328;0.8797;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6743;0.743;0.6743;0.5321;0.8807;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6743;0.743;0.6743;0.5323;0.88;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6743;0.7419;0.6743;0.5319;0.8801;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6742;0.7436;0.6742;0.5313;0.8804;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6742;0.7417;0.6742;0.5332;0.881;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6742;0.7433;0.6742;0.5312;0.8802;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6741;0.7419;0.6741;0.5322;0.8807;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6741;0.7414;0.6741;0.5328;0.8804;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6741;0.7413;0.6741;0.5343;0.8808;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6739;0.7422;0.6739;0.5317;0.88;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6737;0.7432;0.6737;0.531;0.8803;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6736;0.7427;0.6736;0.531;0.8797;not-balanced;10;none;MultinomialNB()
MultinomialNB;0.6733;0.7406;0.6733;0.5317;0.8789;not-balanced;10;none;MultinomialNB()
