;Algorithm;Accuracy;F1 Score
0;SVC;1.0;1.0
22;DecisionTreeClassifier;1.0;1.0
24;DecisionTreeClassifier;1.0;1.0
25;DecisionTreeClassifier;1.0;1.0
26;DecisionTreeClassifier;1.0;1.0
27;DecisionTreeClassifier;1.0;1.0
28;DecisionTreeClassifier;1.0;1.0
29;DecisionTreeClassifier;1.0;1.0
0;LogisticRegression;1.0;1.0
1;LogisticRegression;1.0;1.0
2;LogisticRegression;1.0;1.0
3;LogisticRegression;1.0;1.0
4;LogisticRegression;1.0;1.0
5;LogisticRegression;1.0;1.0
6;LogisticRegression;1.0;1.0
7;LogisticRegression;1.0;1.0
8;LogisticRegression;1.0;1.0
9;LogisticRegression;1.0;1.0
10;LogisticRegression;1.0;1.0
11;LogisticRegression;1.0;1.0
12;LogisticRegression;1.0;1.0
23;DecisionTreeClassifier;1.0;1.0
21;DecisionTreeClassifier;1.0;1.0
14;LogisticRegression;1.0;1.0
20;DecisionTreeClassifier;1.0;1.0
1;DecisionTreeClassifier;1.0;1.0
2;DecisionTreeClassifier;1.0;1.0
3;DecisionTreeClassifier;1.0;1.0
4;DecisionTreeClassifier;1.0;1.0
5;DecisionTreeClassifier;1.0;1.0
6;DecisionTreeClassifier;1.0;1.0
7;DecisionTreeClassifier;1.0;1.0
8;DecisionTreeClassifier;1.0;1.0
9;DecisionTreeClassifier;1.0;1.0
10;DecisionTreeClassifier;1.0;1.0
11;DecisionTreeClassifier;1.0;1.0
12;DecisionTreeClassifier;1.0;1.0
13;DecisionTreeClassifier;1.0;1.0
14;DecisionTreeClassifier;1.0;1.0
15;DecisionTreeClassifier;1.0;1.0
16;DecisionTreeClassifier;1.0;1.0
17;DecisionTreeClassifier;1.0;1.0
18;DecisionTreeClassifier;1.0;1.0
19;DecisionTreeClassifier;1.0;1.0
13;LogisticRegression;1.0;1.0
15;LogisticRegression;1.0;1.0
1;SVC;1.0;1.0
8;MLPClassifier;1.0;1.0
10;MLPClassifier;1.0;1.0
11;MLPClassifier;1.0;1.0
12;MLPClassifier;1.0;1.0
13;MLPClassifier;1.0;1.0
14;MLPClassifier;1.0;1.0
15;MLPClassifier;1.0;1.0
16;MLPClassifier;1.0;1.0
17;MLPClassifier;1.0;1.0
18;MLPClassifier;1.0;1.0
19;MLPClassifier;1.0;1.0
20;MLPClassifier;1.0;1.0
21;MLPClassifier;1.0;1.0
22;MLPClassifier;1.0;1.0
23;MLPClassifier;1.0;1.0
24;MLPClassifier;1.0;1.0
25;MLPClassifier;1.0;1.0
26;MLPClassifier;1.0;1.0
27;MLPClassifier;1.0;1.0
28;MLPClassifier;1.0;1.0
9;MLPClassifier;1.0;1.0
7;MLPClassifier;1.0;1.0
16;LogisticRegression;1.0;1.0
6;MLPClassifier;1.0;1.0
17;LogisticRegression;1.0;1.0
18;LogisticRegression;1.0;1.0
19;LogisticRegression;1.0;1.0
20;LogisticRegression;1.0;1.0
21;LogisticRegression;1.0;1.0
22;LogisticRegression;1.0;1.0
23;LogisticRegression;1.0;1.0
24;LogisticRegression;1.0;1.0
25;LogisticRegression;1.0;1.0
26;LogisticRegression;1.0;1.0
27;LogisticRegression;1.0;1.0
28;LogisticRegression;1.0;1.0
29;LogisticRegression;1.0;1.0
0;MLPClassifier;1.0;1.0
1;MLPClassifier;1.0;1.0
2;MLPClassifier;1.0;1.0
3;MLPClassifier;1.0;1.0
4;MLPClassifier;1.0;1.0
5;MLPClassifier;1.0;1.0
0;DecisionTreeClassifier;1.0;1.0
29;MLPClassifier;1.0;1.0
28;RandomForestClassifier;1.0;1.0
14;RandomForestClassifier;1.0;1.0
26;RandomForestClassifier;1.0;1.0
25;RandomForestClassifier;1.0;1.0
24;RandomForestClassifier;1.0;1.0
23;RandomForestClassifier;1.0;1.0
22;RandomForestClassifier;1.0;1.0
21;RandomForestClassifier;1.0;1.0
20;RandomForestClassifier;1.0;1.0
19;RandomForestClassifier;1.0;1.0
18;RandomForestClassifier;1.0;1.0
17;RandomForestClassifier;1.0;1.0
29;RandomForestClassifier;1.0;1.0
16;RandomForestClassifier;1.0;1.0
15;RandomForestClassifier;1.0;1.0
13;RandomForestClassifier;1.0;1.0
4;RandomForestClassifier;1.0;1.0
12;RandomForestClassifier;1.0;1.0
11;RandomForestClassifier;1.0;1.0
10;RandomForestClassifier;1.0;1.0
9;RandomForestClassifier;1.0;1.0
8;RandomForestClassifier;1.0;1.0
7;RandomForestClassifier;1.0;1.0
6;RandomForestClassifier;1.0;1.0
5;RandomForestClassifier;1.0;1.0
28;SVC;1.0;1.0
29;SVC;1.0;1.0
0;RandomForestClassifier;1.0;1.0
1;RandomForestClassifier;1.0;1.0
2;RandomForestClassifier;1.0;1.0
27;RandomForestClassifier;1.0;1.0
3;RandomForestClassifier;1.0;1.0
16;SVC;1.0;1.0
6;SVC;1.0;1.0
8;SVC;1.0;1.0
9;SVC;1.0;1.0
10;SVC;1.0;1.0
11;SVC;1.0;1.0
12;SVC;1.0;1.0
13;SVC;1.0;1.0
14;SVC;1.0;1.0
15;SVC;1.0;1.0
5;SVC;1.0;1.0
17;SVC;1.0;1.0
18;SVC;1.0;1.0
19;SVC;1.0;1.0
20;SVC;1.0;1.0
21;SVC;1.0;1.0
22;SVC;1.0;1.0
23;SVC;1.0;1.0
24;SVC;1.0;1.0
25;SVC;1.0;1.0
26;SVC;1.0;1.0
27;SVC;1.0;1.0
4;SVC;1.0;1.0
3;SVC;1.0;1.0
2;SVC;1.0;1.0
7;SVC;1.0;1.0
3;GaussianNB;0.9999;0.9999
5;GaussianNB;0.9999;0.9999
0;GaussianNB;0.9999;0.9999
1;GaussianNB;0.9999;0.9999
2;GaussianNB;0.9999;0.9999
4;GaussianNB;0.9999;0.9999
15;GaussianNB;0.9998;0.9998
16;GaussianNB;0.9998;0.9997
18;GaussianNB;0.9998;0.9998
6;GaussianNB;0.9998;0.9998
7;GaussianNB;0.9998;0.9998
8;GaussianNB;0.9998;0.9998
9;GaussianNB;0.9998;0.9998
10;GaussianNB;0.9998;0.9998
11;GaussianNB;0.9998;0.9997
12;GaussianNB;0.9998;0.9998
13;GaussianNB;0.9998;0.9998
14;GaussianNB;0.9998;0.9997
17;GaussianNB;0.9998;0.9998
19;GaussianNB;0.9998;0.9998
20;GaussianNB;0.9998;0.9997
21;GaussianNB;0.9998;0.9998
28;GaussianNB;0.9997;0.9997
22;GaussianNB;0.9997;0.9997
23;GaussianNB;0.9997;0.9996
24;GaussianNB;0.9997;0.9997
25;GaussianNB;0.9997;0.9997
26;GaussianNB;0.9997;0.9997
27;GaussianNB;0.9997;0.9997
29;GaussianNB;0.9996;0.9995
0;ComplementNB;0.8343;0.8255
1;ComplementNB;0.834;0.825
2;ComplementNB;0.8334;0.8245
3;ComplementNB;0.833;0.8241
4;ComplementNB;0.833;0.824
5;ComplementNB;0.833;0.8238
6;ComplementNB;0.8329;0.824
7;ComplementNB;0.8329;0.8237
8;ComplementNB;0.8329;0.824
9;ComplementNB;0.8327;0.8238
10;ComplementNB;0.8327;0.8237
11;ComplementNB;0.8326;0.8236
12;ComplementNB;0.8325;0.8234
14;ComplementNB;0.8324;0.8234
13;ComplementNB;0.8324;0.8235
15;ComplementNB;0.8323;0.8232
16;ComplementNB;0.8321;0.8232
17;ComplementNB;0.8321;0.823
18;ComplementNB;0.8321;0.823
19;ComplementNB;0.832;0.8228
20;ComplementNB;0.832;0.8228
21;ComplementNB;0.8316;0.8225
22;ComplementNB;0.8316;0.8226
23;ComplementNB;0.8313;0.8221
24;ComplementNB;0.8312;0.822
25;ComplementNB;0.8311;0.8216
27;ComplementNB;0.831;0.8216
26;ComplementNB;0.831;0.8218
28;ComplementNB;0.8308;0.8215
29;ComplementNB;0.8306;0.8213
0;BernoulliNB;0.8227;0.7845
1;BernoulliNB;0.8226;0.7841
2;BernoulliNB;0.8225;0.7842
3;BernoulliNB;0.8224;0.7839
5;BernoulliNB;0.8224;0.7839
4;BernoulliNB;0.8224;0.7841
6;BernoulliNB;0.822;0.7842
7;BernoulliNB;0.822;0.7839
8;BernoulliNB;0.8219;0.7837
9;BernoulliNB;0.8219;0.7837
10;BernoulliNB;0.8219;0.7834
11;BernoulliNB;0.8218;0.7838
15;BernoulliNB;0.8217;0.7835
13;BernoulliNB;0.8217;0.7833
12;BernoulliNB;0.8217;0.7834
14;BernoulliNB;0.8217;0.7837
16;BernoulliNB;0.8216;0.7833
17;BernoulliNB;0.8216;0.7831
18;BernoulliNB;0.8215;0.783
19;BernoulliNB;0.8215;0.7826
20;BernoulliNB;0.8214;0.7831
21;BernoulliNB;0.8214;0.7827
22;BernoulliNB;0.8214;0.7828
23;BernoulliNB;0.8214;0.7832
24;BernoulliNB;0.8214;0.7829
26;BernoulliNB;0.8213;0.7831
25;BernoulliNB;0.8213;0.7827
27;BernoulliNB;0.8212;0.7823
28;BernoulliNB;0.8212;0.7828
29;BernoulliNB;0.821;0.7824
0;MultinomialNB;0.6761;0.5335
2;MultinomialNB;0.6754;0.5323
1;MultinomialNB;0.6754;0.5337
3;MultinomialNB;0.6753;0.5324
4;MultinomialNB;0.675;0.5331
5;MultinomialNB;0.675;0.5311
6;MultinomialNB;0.675;0.5328
7;MultinomialNB;0.6749;0.5328
8;MultinomialNB;0.6748;0.5334
9;MultinomialNB;0.6747;0.5329
10;MultinomialNB;0.6746;0.5326
11;MultinomialNB;0.6746;0.533
14;MultinomialNB;0.6744;0.5334
15;MultinomialNB;0.6744;0.5325
13;MultinomialNB;0.6744;0.5332
12;MultinomialNB;0.6744;0.5325
17;MultinomialNB;0.6743;0.5321
18;MultinomialNB;0.6743;0.5323
19;MultinomialNB;0.6743;0.5319
16;MultinomialNB;0.6743;0.5328
20;MultinomialNB;0.6742;0.5313
21;MultinomialNB;0.6742;0.5332
22;MultinomialNB;0.6742;0.5312
23;MultinomialNB;0.6741;0.5322
24;MultinomialNB;0.6741;0.5328
25;MultinomialNB;0.6741;0.5343
26;MultinomialNB;0.6739;0.5317
27;MultinomialNB;0.6737;0.531
28;MultinomialNB;0.6736;0.531
29;MultinomialNB;0.6733;0.5317
