Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4933, 'a_score': 0.4682}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4905, 'a_score': 0.4658}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4979, 'a_score': 0.4724}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4761, 'a_score': 0.4466}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.1643, 'e_score': 0.5034, 'a_score': 0.4218}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.1614, 'e_score': 0.5069, 'a_score': 0.4287}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4745, 'a_score': 0.4429}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.0, 'e_score': 0.4692, 'a_score': 0.436}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.1566, 'e_score': 0.5086, 'a_score': 0.4271}",DecisionTreeClassifier()
DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9313,0.8715,0.9313,0.8993,1.0,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'c_score', 'e_score', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'c_score': 0.1566, 'e_score': 0.4969, 'a_score': 0.4178}",DecisionTreeClassifier()
