Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
SVC;0.9431;0.9475;0.9431;0.9308;0.9358;0.9414;0.9358;0.9314;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2853, 'a_score': 0.2744};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9306;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2799, 'a_score': 0.2701};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9305;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2868, 'a_score': 0.2714};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9305;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2859, 'a_score': 0.2725};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9303;0.9413;0.9459;0.9413;0.9373;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2769, 'a_score': 0.2714};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2766, 'a_score': 0.2704};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2837, 'a_score': 0.2717};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2814, 'a_score': 0.2702};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2849, 'a_score': 0.2718};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9302;0.9412;0.9459;0.9412;0.9374;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2837, 'a_score': 0.2719};SVC(probability=True)
SVC;0.9418;0.9464;0.9418;0.9295;0.9476;0.9512;0.9476;0.9444;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2445, 'a_score': 0.2442};SVC(probability=True)
