Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;% of Features;Folds;Feat. Selec. Strategy;Features;Features Importance;Model
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2814, 'a_score': 0.2702};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9301;0.9412;0.9459;0.9412;0.9374;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2448, 'a_score': 0.2457};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9305;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2845, 'a_score': 0.2728};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9305;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2868, 'a_score': 0.2714};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9305;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2859, 'a_score': 0.2725};SVC(probability=True)
SVC;0.9431;0.9475;0.9431;0.9308;0.9358;0.9414;0.9358;0.9314;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2824, 'a_score': 0.2739};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2766, 'a_score': 0.2704};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2837, 'a_score': 0.2717};SVC(probability=True)
SVC;0.9422;0.9467;0.9422;0.9299;0.9443;0.9485;0.9443;0.9408;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2849, 'a_score': 0.2718};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9302;0.9412;0.9459;0.9412;0.9374;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2837, 'a_score': 0.2719};SVC(probability=True)
SVC;0.9418;0.9464;0.9418;0.9295;0.9476;0.9512;0.9476;0.9444;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2445, 'a_score': 0.2442};SVC(probability=True)
SVC;0.9418;0.9464;0.9418;0.9294;0.9476;0.9512;0.9476;0.9444;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2834, 'a_score': 0.2696};SVC(probability=True)
SVC;0.9418;0.9464;0.9418;0.9295;0.9476;0.9512;0.9476;0.9444;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2842, 'a_score': 0.2718};SVC(probability=True)
SVC;0.9418;0.9464;0.9418;0.9295;0.9476;0.9512;0.9476;0.9444;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2852, 'a_score': 0.2715};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9302;0.9412;0.9459;0.9412;0.9374;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.285, 'a_score': 0.272};SVC(probability=True)
SVC;0.9427;0.9472;0.9427;0.9306;0.9394;0.9443;0.9394;0.9352;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2801, 'a_score': 0.2717};SVC(probability=True)
SVC;0.9427;0.9472;0.9427;0.9305;0.9394;0.9443;0.9394;0.9352;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2851, 'a_score': 0.2726};SVC(probability=True)
SVC;0.9427;0.9471;0.9427;0.9306;0.9394;0.9443;0.9394;0.9352;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2852, 'a_score': 0.2721};SVC(probability=True)
SVC;0.9427;0.9472;0.9427;0.9306;0.9394;0.9443;0.9394;0.9352;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2854, 'a_score': 0.2739};SVC(probability=True)
SVC;0.9426;0.947;0.9426;0.9306;0.9409;0.9456;0.9409;0.9368;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2799, 'a_score': 0.2701};SVC(probability=True)
SVC;0.9431;0.9475;0.9431;0.9309;0.9358;0.9414;0.9358;0.9314;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2855, 'a_score': 0.2733};SVC(probability=True)
SVC;0.9423;0.9468;0.9423;0.9297;0.9431;0.9475;0.9431;0.9397;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2841, 'a_score': 0.2728};SVC(probability=True)
SVC;0.9423;0.9468;0.9423;0.9297;0.9431;0.9475;0.9431;0.9397;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2847, 'a_score': 0.2724};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9304;0.9413;0.9459;0.9413;0.9373;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2849, 'a_score': 0.2708};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9304;0.9413;0.9459;0.9413;0.9373;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2841, 'a_score': 0.2714};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9304;0.9413;0.9459;0.9413;0.9373;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;100;10;kbest;['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2829, 'a_score': 0.2707};SVC(probability=True)
SVC;0.9425;0.947;0.9425;0.9303;0.9413;0.9459;0.9413;0.9373;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2769, 'a_score': 0.2714};SVC(probability=True)
SVC;0.942;0.9465;0.942;0.9295;0.9461;0.95;0.9461;0.9429;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;60;10;kbest;['surprise', 'joy', 'e_score', 'a_score'];{'surprise': 0.0, 'joy': 0.0, 'e_score': 0.2465, 'a_score': 0.2442};SVC(probability=True)
SVC;0.942;0.9465;0.942;0.9295;0.9461;0.95;0.9461;0.9429;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;70;10;kbest;['trust', 'surprise', 'sadness', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'joy': 0.0, 'e_score': 0.2842, 'a_score': 0.2692};SVC(probability=True)
SVC;0.942;0.9465;0.942;0.9295;0.9461;0.95;0.9461;0.9429;0.7718;0.8461;0.7718;0.7563;1.0;not-balanced;80;10;kbest;['trust', 'surprise', 'sadness', 'disgust', 'joy', 'e_score', 'a_score'];{'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'e_score': 0.2856, 'a_score': 0.271};SVC(probability=True)
