Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8487,0.8631,0.8487,0.8475,0.8511,0.866,0.8511,0.8495,0.8543,0.8685,0.8543,0.853,0.9434,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.014, 'anger': 0.0058, 'anticipation': 0.009, 'trust': 0.0105, 'surprise': 0.0078, 'sadness': 0.0132, 'disgust': 0.0067, 'joy': 0.0104, 'a_score': 0.3765}",RandomForestClassifier()
RandomForestClassifier,0.846,0.8594,0.846,0.8449,0.852,0.8677,0.852,0.8503,0.8531,0.8682,0.8531,0.8517,0.942,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0107, 'anger': 0.0057, 'anticipation': 0.0078, 'trust': 0.0097, 'surprise': 0.0093, 'sadness': 0.01, 'disgust': 0.0071, 'joy': 0.0092, 'a_score': 0.3674}",RandomForestClassifier()
RandomForestClassifier,0.845,0.8594,0.845,0.8437,0.8493,0.863,0.8493,0.8477,0.8528,0.8653,0.8528,0.8517,0.9439,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0047, 'anticipation': 0.0078, 'trust': 0.0101, 'surprise': 0.009, 'sadness': 0.0101, 'disgust': 0.0077, 'joy': 0.0091, 'a_score': 0.3647}",RandomForestClassifier()
RandomForestClassifier,0.8495,0.8625,0.8495,0.8484,0.85,0.8623,0.85,0.8486,0.8526,0.8641,0.8526,0.8515,0.9441,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0126, 'anger': 0.0067, 'anticipation': 0.0088, 'trust': 0.011, 'surprise': 0.0094, 'sadness': 0.0088, 'disgust': 0.007, 'joy': 0.014, 'a_score': 0.3662}",RandomForestClassifier()
RandomForestClassifier,0.8495,0.8629,0.8495,0.8484,0.8486,0.862,0.8486,0.8471,0.8517,0.8644,0.8517,0.8505,0.9424,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0142, 'anger': 0.0081, 'anticipation': 0.0127, 'trust': 0.0092, 'surprise': 0.0111, 'sadness': 0.0124, 'disgust': 0.0076, 'joy': 0.0115, 'a_score': 0.3684}",RandomForestClassifier()
RandomForestClassifier,0.8522,0.8653,0.8522,0.8511,0.8498,0.8629,0.8498,0.8483,0.8516,0.8637,0.8516,0.8504,0.9448,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0135, 'anger': 0.007, 'anticipation': 0.0092, 'trust': 0.009, 'surprise': 0.0143, 'sadness': 0.0123, 'disgust': 0.0087, 'joy': 0.0113, 'a_score': 0.3749}",RandomForestClassifier()
DecisionTreeClassifier,0.8451,0.8579,0.8451,0.8442,0.8531,0.8643,0.8531,0.8518,0.8516,0.8634,0.8516,0.8505,0.9312,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0151, 'anger': 0.0093, 'anticipation': 0.0144, 'trust': 0.0119, 'surprise': 0.0117, 'sadness': 0.0193, 'disgust': 0.0115, 'joy': 0.0112, 'a_score': 0.3701}",DecisionTreeClassifier()
DecisionTreeClassifier,0.841,0.8525,0.841,0.84,0.8531,0.8603,0.8531,0.8523,0.8514,0.86,0.8514,0.8506,0.9264,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0161, 'anger': 0.008, 'anticipation': 0.0122, 'trust': 0.0132, 'surprise': 0.0099, 'sadness': 0.0165, 'disgust': 0.0077, 'joy': 0.0101, 'a_score': 0.3678}",DecisionTreeClassifier()
RandomForestClassifier,0.8465,0.86,0.8465,0.8454,0.8473,0.8609,0.8473,0.8457,0.8511,0.8636,0.8511,0.8499,0.942,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.011, 'anger': 0.006, 'anticipation': 0.009, 'trust': 0.0107, 'surprise': 0.0073, 'sadness': 0.011, 'disgust': 0.0068, 'joy': 0.0109, 'a_score': 0.3692}",RandomForestClassifier()
RandomForestClassifier,0.8497,0.8632,0.8497,0.8485,0.8475,0.8601,0.8475,0.846,0.8506,0.8613,0.8506,0.8496,0.9449,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0086, 'anticipation': 0.0129, 'trust': 0.0091, 'surprise': 0.0131, 'sadness': 0.0132, 'disgust': 0.0061, 'joy': 0.0096, 'a_score': 0.3684}",RandomForestClassifier()
RandomForestClassifier,0.8535,0.8662,0.8535,0.8526,0.8466,0.8587,0.8466,0.8452,0.8506,0.861,0.8506,0.8495,0.9453,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0124, 'anger': 0.0044, 'anticipation': 0.011, 'trust': 0.0101, 'surprise': 0.0132, 'sadness': 0.0124, 'disgust': 0.0102, 'joy': 0.0125, 'a_score': 0.3699}",RandomForestClassifier()
RandomForestClassifier,0.849,0.8623,0.849,0.8479,0.8491,0.8613,0.8491,0.8477,0.8503,0.8615,0.8503,0.8492,0.944,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0059, 'anticipation': 0.0087, 'trust': 0.0129, 'surprise': 0.0141, 'sadness': 0.011, 'disgust': 0.0074, 'joy': 0.0117, 'a_score': 0.3685}",RandomForestClassifier()
DecisionTreeClassifier,0.8374,0.8463,0.8374,0.8367,0.8511,0.8606,0.8511,0.85,0.8498,0.8595,0.8498,0.8489,0.9268,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0163, 'anger': 0.0093, 'anticipation': 0.012, 'trust': 0.0139, 'surprise': 0.0139, 'sadness': 0.0155, 'disgust': 0.0087, 'joy': 0.0114, 'a_score': 0.3683}",DecisionTreeClassifier()
DecisionTreeClassifier,0.843,0.8542,0.843,0.8421,0.8538,0.8622,0.8538,0.8528,0.849,0.8575,0.849,0.8482,0.9301,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0187, 'anger': 0.0067, 'anticipation': 0.0136, 'trust': 0.0122, 'surprise': 0.0132, 'sadness': 0.0201, 'disgust': 0.0079, 'joy': 0.0122, 'a_score': 0.3728}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8396,0.8493,0.8396,0.8389,0.85,0.8582,0.85,0.849,0.8487,0.8575,0.8487,0.8479,0.9271,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0154, 'anger': 0.0077, 'anticipation': 0.0185, 'trust': 0.0132, 'surprise': 0.0099, 'sadness': 0.0186, 'disgust': 0.0096, 'joy': 0.0144, 'a_score': 0.3681}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8435,0.8532,0.8435,0.8428,0.8488,0.8555,0.8488,0.848,0.8477,0.8546,0.8477,0.8471,0.9302,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0184, 'anger': 0.007, 'anticipation': 0.018, 'trust': 0.0104, 'surprise': 0.0145, 'sadness': 0.0259, 'disgust': 0.0089, 'joy': 0.011, 'a_score': 0.3692}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8371,0.8478,0.8371,0.8362,0.8518,0.8577,0.8518,0.851,0.8474,0.8539,0.8474,0.8468,0.9249,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0177, 'anger': 0.0081, 'anticipation': 0.0179, 'trust': 0.0143, 'surprise': 0.0141, 'sadness': 0.0186, 'disgust': 0.0082, 'joy': 0.0119, 'a_score': 0.3656}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8425,0.8527,0.8425,0.8417,0.8498,0.8562,0.8498,0.8489,0.8473,0.854,0.8473,0.8466,0.9288,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0161, 'anger': 0.0075, 'anticipation': 0.0195, 'trust': 0.0125, 'surprise': 0.0148, 'sadness': 0.0174, 'disgust': 0.0096, 'joy': 0.0153, 'a_score': 0.3728}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8415,0.8536,0.8415,0.8404,0.8484,0.8565,0.8484,0.8474,0.8468,0.8551,0.8468,0.846,0.9271,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0155, 'anger': 0.0081, 'anticipation': 0.0174, 'trust': 0.0123, 'surprise': 0.0128, 'sadness': 0.0189, 'disgust': 0.0098, 'joy': 0.0123, 'a_score': 0.3643}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8404,0.8481,0.8404,0.8398,0.8434,0.8435,0.8434,0.8434,0.8453,0.8454,0.8453,0.8453,0.9284,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0145, 'anger': 0.0086, 'anticipation': 0.0179, 'trust': 0.0123, 'surprise': 0.0142, 'sadness': 0.0163, 'disgust': 0.0112, 'joy': 0.0091, 'a_score': 0.3678}",DecisionTreeClassifier()
