Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8468,0.8622,0.8468,0.785,0.8512,0.8707,0.8512,0.8516,0.8537,0.8717,0.8537,0.8533,0.9439,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0078, 'anticipation': 0.0123, 'trust': 0.0144, 'surprise': 0.0081, 'sadness': 0.0131, 'disgust': 0.0093, 'joy': 0.013, 'a_score': 0.4417}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8472,0.8616,0.8472,0.7878,0.851,0.8688,0.851,0.8515,0.853,0.8696,0.853,0.8528,0.9441,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0078, 'anticipation': 0.0139, 'trust': 0.011, 'surprise': 0.0065, 'sadness': 0.0108, 'disgust': 0.0086, 'joy': 0.0137, 'a_score': 0.4434}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8454,0.8603,0.8454,0.7851,0.8483,0.8656,0.8483,0.8491,0.8528,0.8689,0.8528,0.8527,0.9452,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0082, 'anticipation': 0.0127, 'trust': 0.0112, 'surprise': 0.0085, 'sadness': 0.0134, 'disgust': 0.0106, 'joy': 0.0146, 'a_score': 0.4401}",DecisionTreeClassifier()
RandomForestClassifier,0.849,0.8678,0.849,0.7915,0.85,0.869,0.85,0.8498,0.8526,0.8725,0.8526,0.8523,0.9629,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0093, 'anger': 0.0079, 'anticipation': 0.0062, 'trust': 0.0115, 'surprise': 0.0072, 'sadness': 0.011, 'disgust': 0.0086, 'joy': 0.0098, 'a_score': 0.4436}",RandomForestClassifier()
DecisionTreeClassifier,0.8465,0.8619,0.8465,0.7839,0.8496,0.8672,0.8496,0.8502,0.8525,0.869,0.8525,0.8523,0.9448,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0083, 'anticipation': 0.0113, 'trust': 0.0119, 'surprise': 0.0061, 'sadness': 0.013, 'disgust': 0.0116, 'joy': 0.0095, 'a_score': 0.4385}",DecisionTreeClassifier()
RandomForestClassifier,0.8462,0.8638,0.8462,0.7863,0.849,0.868,0.849,0.8491,0.8524,0.8715,0.8524,0.8523,0.9618,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.007, 'anticipation': 0.0081, 'trust': 0.0104, 'surprise': 0.0073, 'sadness': 0.0098, 'disgust': 0.0081, 'joy': 0.0114, 'a_score': 0.4441}",RandomForestClassifier()
DecisionTreeClassifier,0.8453,0.8599,0.8453,0.7822,0.8507,0.8679,0.8507,0.851,0.8523,0.8685,0.8523,0.8519,0.9437,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0086, 'anticipation': 0.0126, 'trust': 0.0138, 'surprise': 0.0064, 'sadness': 0.0153, 'disgust': 0.0096, 'joy': 0.0116, 'a_score': 0.436}",DecisionTreeClassifier()
RandomForestClassifier,0.8437,0.8578,0.8437,0.7655,0.8508,0.8696,0.8508,0.8507,0.8522,0.8712,0.8522,0.8519,0.9619,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0065, 'anticipation': 0.007, 'trust': 0.0101, 'surprise': 0.0069, 'sadness': 0.0107, 'disgust': 0.0074, 'joy': 0.008, 'a_score': 0.4404}",RandomForestClassifier()
DecisionTreeClassifier,0.8443,0.859,0.8443,0.7805,0.8494,0.8664,0.8494,0.8501,0.8522,0.8676,0.8522,0.8521,0.9444,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0079, 'anticipation': 0.0105, 'trust': 0.0128, 'surprise': 0.0077, 'sadness': 0.0125, 'disgust': 0.0092, 'joy': 0.0147, 'a_score': 0.4412}",DecisionTreeClassifier()
RandomForestClassifier,0.8452,0.864,0.8452,0.7843,0.8493,0.8676,0.8493,0.8496,0.8522,0.8717,0.8522,0.8522,0.9619,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0078, 'anticipation': 0.0078, 'trust': 0.0115, 'surprise': 0.0066, 'sadness': 0.0113, 'disgust': 0.0073, 'joy': 0.0101, 'a_score': 0.4398}",RandomForestClassifier()
