Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9128,0.9188,0.9128,0.9007,0.9113,0.9181,0.9113,0.9089,0.916,0.9226,0.916,0.9137,0.9661,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0059, 'anticipation': 0.0073, 'trust': 0.0061, 'surprise': 0.0045, 'sadness': 0.0069, 'disgust': 0.0055, 'joy': 0.0054, 'a_score': 0.3629}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9127,0.9184,0.9127,0.9007,0.9109,0.9166,0.9109,0.9085,0.9159,0.9215,0.9159,0.9137,0.9669,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0065, 'anger': 0.0059, 'anticipation': 0.0074, 'trust': 0.0054, 'surprise': 0.0054, 'sadness': 0.0082, 'disgust': 0.0051, 'joy': 0.0056, 'a_score': 0.3645}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9135,0.9192,0.9135,0.9016,0.9113,0.9177,0.9113,0.909,0.9157,0.922,0.9157,0.9134,0.9667,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0043, 'anger': 0.006, 'anticipation': 0.0072, 'trust': 0.006, 'surprise': 0.0047, 'sadness': 0.008, 'disgust': 0.0052, 'joy': 0.0051, 'a_score': 0.363}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9146,0.9204,0.9146,0.9029,0.9121,0.9187,0.9121,0.9097,0.9157,0.9221,0.9157,0.9133,0.9677,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0048, 'anticipation': 0.0072, 'trust': 0.0058, 'surprise': 0.0047, 'sadness': 0.0071, 'disgust': 0.0052, 'joy': 0.0055, 'a_score': 0.366}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9138,0.9197,0.9138,0.902,0.9114,0.9182,0.9114,0.909,0.9156,0.922,0.9156,0.9133,0.9681,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0056, 'anticipation': 0.007, 'trust': 0.0069, 'surprise': 0.0039, 'sadness': 0.0067, 'disgust': 0.0058, 'joy': 0.0051, 'a_score': 0.365}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9128,0.9183,0.9128,0.901,0.9113,0.9175,0.9113,0.9089,0.9155,0.9217,0.9155,0.9132,0.967,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0066, 'anticipation': 0.0067, 'trust': 0.0052, 'surprise': 0.0045, 'sadness': 0.0078, 'disgust': 0.0059, 'joy': 0.0047, 'a_score': 0.3673}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9125,0.9177,0.9125,0.9006,0.9107,0.9161,0.9107,0.9084,0.9154,0.9207,0.9154,0.9132,0.9663,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0067, 'anticipation': 0.0084, 'trust': 0.0071, 'surprise': 0.0044, 'sadness': 0.007, 'disgust': 0.0049, 'joy': 0.0088, 'a_score': 0.3692}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9136,0.9192,0.9136,0.9018,0.9103,0.9164,0.9103,0.9079,0.9154,0.9214,0.9154,0.9132,0.9666,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0047, 'anticipation': 0.0065, 'trust': 0.0069, 'surprise': 0.0051, 'sadness': 0.006, 'disgust': 0.0055, 'joy': 0.0056, 'a_score': 0.3661}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9131,0.9189,0.9131,0.9011,0.9113,0.9174,0.9113,0.909,0.9151,0.9208,0.9151,0.9129,0.9672,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0052, 'anticipation': 0.0085, 'trust': 0.0059, 'surprise': 0.0041, 'sadness': 0.0084, 'disgust': 0.0053, 'joy': 0.0051, 'a_score': 0.3654}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9121,0.918,0.9121,0.9,0.9107,0.917,0.9107,0.9083,0.9147,0.9207,0.9147,0.9124,0.9679,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0051, 'anger': 0.0052, 'anticipation': 0.0066, 'trust': 0.0054, 'surprise': 0.0047, 'sadness': 0.0075, 'disgust': 0.005, 'joy': 0.0048, 'a_score': 0.3634}",DecisionTreeClassifier()
RandomForestClassifier,0.9113,0.9171,0.9113,0.8998,0.9149,0.9204,0.9149,0.9126,0.9134,0.9195,0.9134,0.911,0.9741,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0056, 'anger': 0.004, 'anticipation': 0.0061, 'trust': 0.0061, 'surprise': 0.0046, 'sadness': 0.0064, 'disgust': 0.0041, 'joy': 0.003, 'a_score': 0.3625}",RandomForestClassifier()
RandomForestClassifier,0.9075,0.9136,0.9075,0.8954,0.9147,0.9202,0.9147,0.9125,0.9134,0.9194,0.9134,0.911,0.9722,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0038, 'anticipation': 0.0051, 'trust': 0.0061, 'surprise': 0.0034, 'sadness': 0.0069, 'disgust': 0.0039, 'joy': 0.0033, 'a_score': 0.364}",RandomForestClassifier()
