Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8469,0.8631,0.8469,0.7796,0.8471,0.8643,0.8471,0.8468,0.8567,0.8746,0.8567,0.8566,0.9499,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0081, 'anticipation': 0.0107, 'trust': 0.0108, 'surprise': 0.0092, 'sadness': 0.0129, 'disgust': 0.0067, 'joy': 0.0081, 'a_score': 0.4363}",DecisionTreeClassifier()
DecisionTreeClassifier,0.85,0.8653,0.85,0.7819,0.8455,0.8599,0.8455,0.8448,0.8565,0.8718,0.8565,0.8561,0.9505,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0121, 'anger': 0.0085, 'anticipation': 0.0101, 'trust': 0.0103, 'surprise': 0.009, 'sadness': 0.0119, 'disgust': 0.0065, 'joy': 0.008, 'a_score': 0.4379}",DecisionTreeClassifier()
RandomForestClassifier,0.8509,0.8735,0.8509,0.7873,0.8489,0.8736,0.8489,0.849,0.856,0.8806,0.856,0.8559,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.004, 'anticipation': 0.0077, 'trust': 0.0081, 'surprise': 0.008, 'sadness': 0.0084, 'disgust': 0.0049, 'joy': 0.0079, 'a_score': 0.441}",RandomForestClassifier()
DecisionTreeClassifier,0.851,0.8666,0.851,0.7853,0.8466,0.8621,0.8466,0.8463,0.8558,0.8718,0.8558,0.8556,0.9493,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0132, 'anger': 0.0083, 'anticipation': 0.0119, 'trust': 0.0109, 'surprise': 0.0092, 'sadness': 0.0113, 'disgust': 0.0065, 'joy': 0.0078, 'a_score': 0.4362}",DecisionTreeClassifier()
RandomForestClassifier,0.8491,0.8717,0.8491,0.789,0.8506,0.8766,0.8506,0.8505,0.8557,0.8814,0.8557,0.8556,0.9629,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0077, 'anger': 0.0053, 'anticipation': 0.0081, 'trust': 0.0078, 'surprise': 0.0072, 'sadness': 0.0086, 'disgust': 0.005, 'joy': 0.0078, 'a_score': 0.4413}",RandomForestClassifier()
DecisionTreeClassifier,0.8513,0.8643,0.8513,0.7839,0.8467,0.8586,0.8467,0.8457,0.8557,0.8687,0.8557,0.8549,0.9507,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0082, 'anticipation': 0.0107, 'trust': 0.0121, 'surprise': 0.0088, 'sadness': 0.0119, 'disgust': 0.0073, 'joy': 0.0086, 'a_score': 0.4329}",DecisionTreeClassifier()
RandomForestClassifier,0.8516,0.8755,0.8516,0.7945,0.8491,0.875,0.8491,0.8491,0.8554,0.8808,0.8554,0.8553,0.964,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0074, 'anger': 0.0046, 'anticipation': 0.008, 'trust': 0.0077, 'surprise': 0.0074, 'sadness': 0.0092, 'disgust': 0.0053, 'joy': 0.0075, 'a_score': 0.4406}",RandomForestClassifier()
DecisionTreeClassifier,0.8498,0.8631,0.8498,0.7834,0.8471,0.8585,0.8471,0.8461,0.8554,0.8675,0.8554,0.8546,0.9503,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0089, 'anticipation': 0.0101, 'trust': 0.0109, 'surprise': 0.0087, 'sadness': 0.0123, 'disgust': 0.0068, 'joy': 0.0094, 'a_score': 0.4324}",DecisionTreeClassifier()
RandomForestClassifier,0.8493,0.8701,0.8493,0.783,0.8495,0.8741,0.8495,0.8496,0.8554,0.8803,0.8554,0.8554,0.9634,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0052, 'anticipation': 0.0083, 'trust': 0.0083, 'surprise': 0.0079, 'sadness': 0.0097, 'disgust': 0.0049, 'joy': 0.0071, 'a_score': 0.4394}",RandomForestClassifier()
RandomForestClassifier,0.8464,0.8505,0.8464,0.7378,0.8509,0.8723,0.8509,0.8505,0.8551,0.8766,0.8551,0.8547,0.963,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0079, 'anger': 0.0043, 'anticipation': 0.0064, 'trust': 0.0065, 'surprise': 0.0077, 'sadness': 0.0089, 'disgust': 0.0047, 'joy': 0.0068, 'a_score': 0.4358}",RandomForestClassifier()
RandomForestClassifier,0.851,0.8684,0.851,0.7777,0.849,0.8745,0.849,0.849,0.855,0.8806,0.855,0.8549,0.9641,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0077, 'anger': 0.005, 'anticipation': 0.0077, 'trust': 0.0075, 'surprise': 0.0075, 'sadness': 0.0087, 'disgust': 0.0046, 'joy': 0.0078, 'a_score': 0.4438}",RandomForestClassifier()
RandomForestClassifier,0.8502,0.857,0.8502,0.7546,0.8462,0.8388,0.8462,0.8375,0.855,0.8494,0.855,0.8472,0.9639,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0083, 'anger': 0.0048, 'anticipation': 0.0086, 'trust': 0.0079, 'surprise': 0.0078, 'sadness': 0.0097, 'disgust': 0.0047, 'joy': 0.0072, 'a_score': 0.4114}",RandomForestClassifier()
DecisionTreeClassifier,0.8499,0.8635,0.8499,0.7805,0.8468,0.8585,0.8468,0.8457,0.8549,0.8675,0.8549,0.8541,0.9495,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0099, 'anticipation': 0.0097, 'trust': 0.0122, 'surprise': 0.0098, 'sadness': 0.0115, 'disgust': 0.0061, 'joy': 0.0084, 'a_score': 0.4345}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8499,0.866,0.8499,0.7847,0.8471,0.8619,0.8471,0.8465,0.8548,0.8703,0.8548,0.8543,0.9499,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.008, 'anticipation': 0.0103, 'trust': 0.01, 'surprise': 0.0079, 'sadness': 0.0116, 'disgust': 0.0065, 'joy': 0.0085, 'a_score': 0.4356}",DecisionTreeClassifier()
DecisionTreeClassifier,0.85,0.8655,0.85,0.7866,0.8463,0.8632,0.8463,0.8462,0.8546,0.8714,0.8546,0.8546,0.9491,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0088, 'anticipation': 0.0112, 'trust': 0.011, 'surprise': 0.0098, 'sadness': 0.0119, 'disgust': 0.0062, 'joy': 0.0116, 'a_score': 0.4396}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8509,0.8643,0.8509,0.7841,0.8454,0.8557,0.8454,0.8444,0.8545,0.8657,0.8545,0.8538,0.9512,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0089, 'anticipation': 0.0104, 'trust': 0.0123, 'surprise': 0.0097, 'sadness': 0.0122, 'disgust': 0.0071, 'joy': 0.0082, 'a_score': 0.431}",DecisionTreeClassifier()
RandomForestClassifier,0.8492,0.8601,0.8492,0.7582,0.8477,0.8686,0.8477,0.8476,0.8544,0.8755,0.8544,0.8541,0.9641,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0046, 'anticipation': 0.0078, 'trust': 0.0079, 'surprise': 0.0076, 'sadness': 0.0095, 'disgust': 0.0052, 'joy': 0.0077, 'a_score': 0.4378}",RandomForestClassifier()
DecisionTreeClassifier,0.8516,0.8673,0.8516,0.7892,0.8456,0.8592,0.8456,0.8449,0.8544,0.8687,0.8544,0.8538,0.9503,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0121, 'anger': 0.0081, 'anticipation': 0.0119, 'trust': 0.0105, 'surprise': 0.0078, 'sadness': 0.0122, 'disgust': 0.0064, 'joy': 0.0077, 'a_score': 0.4361}",DecisionTreeClassifier()
RandomForestClassifier,0.8488,0.8631,0.8488,0.7638,0.8483,0.8734,0.8483,0.8483,0.8544,0.8794,0.8544,0.8544,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0051, 'anticipation': 0.008, 'trust': 0.0081, 'surprise': 0.0087, 'sadness': 0.0091, 'disgust': 0.0053, 'joy': 0.0083, 'a_score': 0.4398}",RandomForestClassifier()
RandomForestClassifier,0.8503,0.8726,0.8503,0.7902,0.8483,0.8684,0.8483,0.8481,0.8542,0.875,0.8542,0.8539,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0079, 'anger': 0.0038, 'anticipation': 0.0076, 'trust': 0.0087, 'surprise': 0.0081, 'sadness': 0.0095, 'disgust': 0.0052, 'joy': 0.0079, 'a_score': 0.4396}",RandomForestClassifier()
