Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8515,0.8696,0.8515,0.7795,0.8533,0.8791,0.8533,0.8529,0.8588,0.8828,0.8588,0.8585,0.9636,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0091, 'anger': 0.0066, 'anticipation': 0.0085, 'trust': 0.0089, 'surprise': 0.0079, 'sadness': 0.0108, 'disgust': 0.0054, 'joy': 0.0075, 'a_score': 0.4438}",RandomForestClassifier()
RandomForestClassifier,0.8521,0.8707,0.8521,0.7869,0.8537,0.8758,0.8537,0.8532,0.8587,0.8791,0.8587,0.8582,0.9633,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0091, 'anger': 0.0062, 'anticipation': 0.0079, 'trust': 0.0087, 'surprise': 0.0067, 'sadness': 0.0101, 'disgust': 0.0091, 'joy': 0.008, 'a_score': 0.4395}",RandomForestClassifier()
DecisionTreeClassifier,0.8488,0.8584,0.8488,0.7581,0.8513,0.8682,0.8513,0.8512,0.8584,0.8755,0.8584,0.8584,0.9489,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0126, 'anger': 0.0082, 'anticipation': 0.0116, 'trust': 0.0128, 'surprise': 0.0088, 'sadness': 0.0128, 'disgust': 0.0078, 'joy': 0.0143, 'a_score': 0.4393}",DecisionTreeClassifier()
RandomForestClassifier,0.8515,0.8689,0.8515,0.7856,0.8529,0.8721,0.8529,0.8521,0.8583,0.8771,0.8583,0.8576,0.9633,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0089, 'anger': 0.0053, 'anticipation': 0.0071, 'trust': 0.009, 'surprise': 0.0077, 'sadness': 0.0114, 'disgust': 0.0057, 'joy': 0.0083, 'a_score': 0.4365}",RandomForestClassifier()
RandomForestClassifier,0.8494,0.8653,0.8494,0.7721,0.8537,0.8773,0.8537,0.8532,0.8583,0.8808,0.8583,0.8579,0.9622,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0062, 'anticipation': 0.0077, 'trust': 0.0096, 'surprise': 0.0074, 'sadness': 0.0107, 'disgust': 0.0061, 'joy': 0.0072, 'a_score': 0.4398}",RandomForestClassifier()
RandomForestClassifier,0.8505,0.872,0.8505,0.7912,0.8538,0.8773,0.8538,0.8534,0.8581,0.8795,0.8581,0.8576,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0054, 'anticipation': 0.008, 'trust': 0.009, 'surprise': 0.0066, 'sadness': 0.0111, 'disgust': 0.0062, 'joy': 0.0072, 'a_score': 0.4366}",RandomForestClassifier()
DecisionTreeClassifier,0.847,0.8485,0.847,0.7327,0.8512,0.8427,0.8512,0.8418,0.8581,0.8505,0.8581,0.8488,0.9502,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0083, 'anticipation': 0.0096, 'trust': 0.0119, 'surprise': 0.0096, 'sadness': 0.012, 'disgust': 0.0113, 'joy': 0.0084, 'a_score': 0.4144}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8497,0.8399,0.8497,0.7087,0.8503,0.8406,0.8503,0.8394,0.8581,0.8497,0.8581,0.8472,0.9503,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0131, 'anger': 0.0089, 'anticipation': 0.009, 'trust': 0.0118, 'surprise': 0.0092, 'sadness': 0.0123, 'disgust': 0.0119, 'joy': 0.009, 'a_score': 0.4127}",DecisionTreeClassifier()
RandomForestClassifier,0.8523,0.8718,0.8523,0.7909,0.8519,0.8734,0.8519,0.8515,0.8579,0.878,0.8579,0.8575,0.9633,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0093, 'anger': 0.0063, 'anticipation': 0.0081, 'trust': 0.0086, 'surprise': 0.0074, 'sadness': 0.0105, 'disgust': 0.0089, 'joy': 0.0073, 'a_score': 0.4399}",RandomForestClassifier()
RandomForestClassifier,0.8492,0.8509,0.8492,0.7341,0.8534,0.8483,0.8534,0.8453,0.8579,0.852,0.8579,0.8493,0.9628,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0054, 'anticipation': 0.0075, 'trust': 0.0087, 'surprise': 0.0071, 'sadness': 0.0098, 'disgust': 0.0063, 'joy': 0.0063, 'a_score': 0.4138}",RandomForestClassifier()
