Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8476,0.8633,0.8476,0.8464,0.8534,0.8673,0.8534,0.8518,0.8585,0.8738,0.8585,0.8572,0.9343,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0126, 'anger': 0.0079, 'anticipation': 0.0108, 'trust': 0.0107, 'surprise': 0.0103, 'sadness': 0.0148, 'disgust': 0.007, 'joy': 0.0079, 'a_score': 0.365}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8466,0.8619,0.8466,0.8454,0.8533,0.8662,0.8533,0.8518,0.8582,0.8724,0.8582,0.8569,0.9342,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0066, 'anticipation': 0.0115, 'trust': 0.0103, 'surprise': 0.0105, 'sadness': 0.0135, 'disgust': 0.0071, 'joy': 0.0093, 'a_score': 0.3632}",DecisionTreeClassifier()
RandomForestClassifier,0.8522,0.8683,0.8522,0.8507,0.8481,0.8641,0.8481,0.8464,0.8581,0.8737,0.8581,0.8567,0.946,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.0057, 'anticipation': 0.0078, 'trust': 0.0094, 'surprise': 0.0066, 'sadness': 0.009, 'disgust': 0.0065, 'joy': 0.0076, 'a_score': 0.3628}",RandomForestClassifier()
DecisionTreeClassifier,0.8492,0.865,0.8492,0.848,0.853,0.8667,0.853,0.8515,0.8578,0.8731,0.8578,0.8564,0.9348,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0128, 'anger': 0.0078, 'anticipation': 0.0101, 'trust': 0.0109, 'surprise': 0.0103, 'sadness': 0.0145, 'disgust': 0.0074, 'joy': 0.0105, 'a_score': 0.3679}",DecisionTreeClassifier()
RandomForestClassifier,0.8538,0.8702,0.8538,0.8523,0.8488,0.8652,0.8488,0.8472,0.8576,0.8739,0.8576,0.8561,0.9461,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0068, 'anticipation': 0.0066, 'trust': 0.0079, 'surprise': 0.0073, 'sadness': 0.0103, 'disgust': 0.0077, 'joy': 0.0075, 'a_score': 0.3643}",RandomForestClassifier()
RandomForestClassifier,0.8511,0.8689,0.8511,0.8495,0.8491,0.867,0.8491,0.8473,0.8576,0.8751,0.8576,0.856,0.9453,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0079, 'anger': 0.0058, 'anticipation': 0.0081, 'trust': 0.0088, 'surprise': 0.0068, 'sadness': 0.0088, 'disgust': 0.0064, 'joy': 0.0082, 'a_score': 0.3641}",RandomForestClassifier()
DecisionTreeClassifier,0.8469,0.8633,0.8469,0.8455,0.8539,0.8682,0.8539,0.8523,0.8576,0.8731,0.8576,0.8562,0.9339,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0125, 'anger': 0.0081, 'anticipation': 0.0102, 'trust': 0.0103, 'surprise': 0.0102, 'sadness': 0.0123, 'disgust': 0.0088, 'joy': 0.0085, 'a_score': 0.368}",DecisionTreeClassifier()
RandomForestClassifier,0.8523,0.8688,0.8523,0.8509,0.8488,0.866,0.8488,0.8471,0.8576,0.8742,0.8576,0.8561,0.9462,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0064, 'anticipation': 0.0065, 'trust': 0.0093, 'surprise': 0.0067, 'sadness': 0.0101, 'disgust': 0.0069, 'joy': 0.0077, 'a_score': 0.3672}",RandomForestClassifier()
DecisionTreeClassifier,0.8476,0.8631,0.8476,0.8464,0.8519,0.8653,0.8519,0.8504,0.8575,0.8723,0.8575,0.8562,0.934,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0126, 'anger': 0.0065, 'anticipation': 0.0094, 'trust': 0.0105, 'surprise': 0.0095, 'sadness': 0.0136, 'disgust': 0.007, 'joy': 0.0104, 'a_score': 0.3662}",DecisionTreeClassifier()
DecisionTreeClassifier,0.847,0.8628,0.847,0.8458,0.8527,0.8663,0.8527,0.8512,0.8575,0.8728,0.8575,0.8561,0.9348,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0073, 'anticipation': 0.0097, 'trust': 0.0116, 'surprise': 0.0105, 'sadness': 0.0148, 'disgust': 0.0068, 'joy': 0.0083, 'a_score': 0.3636}",DecisionTreeClassifier()
