Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9158,0.9216,0.9158,0.9049,0.9112,0.9175,0.9112,0.9087,0.9169,0.9234,0.9169,0.9146,0.97,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0039, 'anticipation': 0.0052, 'trust': 0.0065, 'surprise': 0.0041, 'sadness': 0.0064, 'disgust': 0.0044, 'joy': 0.0059, 'a_score': 0.3673}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9143,0.9204,0.9143,0.9031,0.9131,0.9199,0.9131,0.9105,0.9168,0.9236,0.9168,0.9144,0.969,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0032, 'anticipation': 0.0054, 'trust': 0.0057, 'surprise': 0.0044, 'sadness': 0.0056, 'disgust': 0.0039, 'joy': 0.0046, 'a_score': 0.3621}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9157,0.9215,0.9157,0.9048,0.9118,0.9178,0.9118,0.9093,0.9167,0.923,0.9167,0.9144,0.9702,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0042, 'anticipation': 0.0047, 'trust': 0.0068, 'surprise': 0.0048, 'sadness': 0.0057, 'disgust': 0.0065, 'joy': 0.0049, 'a_score': 0.3704}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9163,0.922,0.9163,0.9056,0.9117,0.9181,0.9117,0.9092,0.9166,0.9231,0.9166,0.9142,0.9698,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0039, 'anticipation': 0.0053, 'trust': 0.0071, 'surprise': 0.0047, 'sadness': 0.0063, 'disgust': 0.0041, 'joy': 0.0048, 'a_score': 0.3702}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9147,0.9204,0.9147,0.9037,0.9122,0.9181,0.9122,0.9098,0.9164,0.9226,0.9164,0.9141,0.969,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0039, 'anticipation': 0.0052, 'trust': 0.0058, 'surprise': 0.0053, 'sadness': 0.0061, 'disgust': 0.0076, 'joy': 0.0052, 'a_score': 0.3653}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9155,0.9214,0.9155,0.9046,0.9121,0.9186,0.9121,0.9096,0.9164,0.923,0.9164,0.9141,0.9692,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0046, 'anticipation': 0.0051, 'trust': 0.006, 'surprise': 0.0048, 'sadness': 0.0067, 'disgust': 0.0048, 'joy': 0.0045, 'a_score': 0.3673}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9166,0.9224,0.9166,0.9059,0.9124,0.9187,0.9124,0.9099,0.9162,0.9227,0.9162,0.9139,0.9701,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0032, 'anticipation': 0.005, 'trust': 0.0058, 'surprise': 0.0046, 'sadness': 0.0057, 'disgust': 0.0041, 'joy': 0.0048, 'a_score': 0.3672}",DecisionTreeClassifier()
DecisionTreeClassifier,0.916,0.9216,0.916,0.9052,0.9114,0.9179,0.9114,0.9089,0.9161,0.9227,0.9161,0.9138,0.9706,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0042, 'anticipation': 0.0041, 'trust': 0.0057, 'surprise': 0.0048, 'sadness': 0.0067, 'disgust': 0.0035, 'joy': 0.0046, 'a_score': 0.3699}",DecisionTreeClassifier()
RandomForestClassifier,0.916,0.9221,0.916,0.9047,0.9119,0.9182,0.9119,0.9095,0.916,0.9222,0.916,0.9137,0.9766,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0038, 'anticipation': 0.005, 'trust': 0.0052, 'surprise': 0.0047, 'sadness': 0.0061, 'disgust': 0.0039, 'joy': 0.0043, 'a_score': 0.3668}",RandomForestClassifier()
DecisionTreeClassifier,0.9151,0.9207,0.9151,0.9042,0.9114,0.9172,0.9114,0.909,0.916,0.9221,0.916,0.9137,0.9702,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0048, 'anticipation': 0.0055, 'trust': 0.0063, 'surprise': 0.0039, 'sadness': 0.0054, 'disgust': 0.0071, 'joy': 0.0043, 'a_score': 0.3691}",DecisionTreeClassifier()
