Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8517,0.8662,0.8517,0.8502,0.8482,0.8633,0.8482,0.8468,0.8599,0.8742,0.8599,0.8586,0.9463,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0054, 'anticipation': 0.0089, 'trust': 0.009, 'surprise': 0.0076, 'sadness': 0.0094, 'disgust': 0.0074, 'joy': 0.0059, 'a_score': 0.3643}",RandomForestClassifier()
RandomForestClassifier,0.8521,0.8659,0.8521,0.8507,0.8492,0.8632,0.8492,0.8479,0.8597,0.8731,0.8597,0.8585,0.9465,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0051, 'anticipation': 0.0087, 'trust': 0.0092, 'surprise': 0.007, 'sadness': 0.01, 'disgust': 0.0077, 'joy': 0.0078, 'a_score': 0.3632}",RandomForestClassifier()
RandomForestClassifier,0.8529,0.8683,0.8529,0.8513,0.8482,0.8633,0.8482,0.8468,0.8594,0.8742,0.8594,0.8581,0.9467,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0056, 'anticipation': 0.0088, 'trust': 0.0087, 'surprise': 0.007, 'sadness': 0.0088, 'disgust': 0.0079, 'joy': 0.0066, 'a_score': 0.3664}",RandomForestClassifier()
RandomForestClassifier,0.8519,0.8665,0.8519,0.8504,0.8493,0.8664,0.8493,0.8478,0.8594,0.8756,0.8594,0.8579,0.9471,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0095, 'anger': 0.0051, 'anticipation': 0.0081, 'trust': 0.0089, 'surprise': 0.0071, 'sadness': 0.0097, 'disgust': 0.0085, 'joy': 0.0069, 'a_score': 0.3652}",RandomForestClassifier()
RandomForestClassifier,0.8515,0.8655,0.8515,0.85,0.8477,0.8622,0.8477,0.8464,0.8594,0.8728,0.8594,0.8582,0.9466,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0051, 'anticipation': 0.0084, 'trust': 0.009, 'surprise': 0.0074, 'sadness': 0.01, 'disgust': 0.0066, 'joy': 0.0063, 'a_score': 0.3647}",RandomForestClassifier()
RandomForestClassifier,0.8506,0.867,0.8506,0.8489,0.8489,0.8662,0.8489,0.8473,0.8594,0.8758,0.8594,0.858,0.9461,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0058, 'anticipation': 0.0074, 'trust': 0.0095, 'surprise': 0.007, 'sadness': 0.0091, 'disgust': 0.0068, 'joy': 0.0067, 'a_score': 0.3636}",RandomForestClassifier()
RandomForestClassifier,0.8525,0.8672,0.8525,0.8509,0.849,0.8639,0.849,0.8477,0.8593,0.8736,0.8593,0.8581,0.9466,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0049, 'anticipation': 0.0081, 'trust': 0.0091, 'surprise': 0.0076, 'sadness': 0.0087, 'disgust': 0.0089, 'joy': 0.0079, 'a_score': 0.3652}",RandomForestClassifier()
RandomForestClassifier,0.8507,0.8664,0.8507,0.8491,0.8483,0.8654,0.8483,0.8467,0.8592,0.8751,0.8592,0.8578,0.9459,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0054, 'anticipation': 0.0086, 'trust': 0.0088, 'surprise': 0.0076, 'sadness': 0.0094, 'disgust': 0.0079, 'joy': 0.0076, 'a_score': 0.3616}",RandomForestClassifier()
RandomForestClassifier,0.8511,0.867,0.8511,0.8495,0.8474,0.8646,0.8474,0.8458,0.8589,0.875,0.8589,0.8574,0.9462,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0093, 'anger': 0.0057, 'anticipation': 0.0082, 'trust': 0.009, 'surprise': 0.0067, 'sadness': 0.0098, 'disgust': 0.007, 'joy': 0.0074, 'a_score': 0.3648}",RandomForestClassifier()
DecisionTreeClassifier,0.8495,0.8614,0.8495,0.8483,0.8501,0.8683,0.8501,0.8484,0.8587,0.8767,0.8587,0.8571,0.9368,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.007, 'anticipation': 0.0095, 'trust': 0.0096, 'surprise': 0.0084, 'sadness': 0.0124, 'disgust': 0.0086, 'joy': 0.0063, 'a_score': 0.3634}",DecisionTreeClassifier()
RandomForestClassifier,0.8508,0.8667,0.8508,0.8491,0.8475,0.8654,0.8475,0.8459,0.8583,0.875,0.8583,0.8568,0.9456,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.006, 'anticipation': 0.0085, 'trust': 0.0091, 'surprise': 0.0076, 'sadness': 0.0098, 'disgust': 0.0072, 'joy': 0.0072, 'a_score': 0.3617}",RandomForestClassifier()
DecisionTreeClassifier,0.8496,0.8588,0.8496,0.8486,0.8468,0.8486,0.8468,0.8466,0.8577,0.8595,0.8577,0.8575,0.9377,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0118, 'anger': 0.0077, 'anticipation': 0.0081, 'trust': 0.0097, 'surprise': 0.0083, 'sadness': 0.0135, 'disgust': 0.0089, 'joy': 0.0059, 'a_score': 0.3642}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8487,0.8518,0.8487,0.8484,0.8469,0.8487,0.8469,0.8468,0.8576,0.8593,0.8576,0.8575,0.9372,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0068, 'anticipation': 0.0079, 'trust': 0.0104, 'surprise': 0.0089, 'sadness': 0.0139, 'disgust': 0.009, 'joy': 0.007, 'a_score': 0.3629}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8494,0.8558,0.8494,0.8488,0.8482,0.8504,0.8482,0.848,0.8576,0.8596,0.8576,0.8575,0.9379,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0099, 'anger': 0.0079, 'anticipation': 0.008, 'trust': 0.0101, 'surprise': 0.0086, 'sadness': 0.0133, 'disgust': 0.0077, 'joy': 0.0068, 'a_score': 0.364}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8485,0.853,0.8485,0.8481,0.8479,0.8497,0.8479,0.8478,0.8573,0.8589,0.8573,0.8572,0.9359,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0069, 'anticipation': 0.0084, 'trust': 0.0115, 'surprise': 0.009, 'sadness': 0.0124, 'disgust': 0.0093, 'joy': 0.008, 'a_score': 0.3656}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8497,0.8529,0.8497,0.8494,0.8488,0.851,0.8488,0.8486,0.8572,0.8591,0.8572,0.857,0.9376,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0073, 'anticipation': 0.01, 'trust': 0.0107, 'surprise': 0.0078, 'sadness': 0.0119, 'disgust': 0.0092, 'joy': 0.0069, 'a_score': 0.3641}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8487,0.8504,0.8487,0.8486,0.848,0.85,0.848,0.8479,0.8571,0.8589,0.8571,0.8569,0.9358,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0101, 'anger': 0.0066, 'anticipation': 0.0086, 'trust': 0.0102, 'surprise': 0.0078, 'sadness': 0.012, 'disgust': 0.0089, 'joy': 0.0061, 'a_score': 0.3602}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8499,0.8519,0.8499,0.8497,0.8475,0.8502,0.8475,0.8473,0.857,0.8595,0.857,0.8568,0.938,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0073, 'anticipation': 0.0106, 'trust': 0.01, 'surprise': 0.0094, 'sadness': 0.014, 'disgust': 0.0082, 'joy': 0.0069, 'a_score': 0.3614}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8488,0.8521,0.8488,0.8485,0.8489,0.8511,0.8489,0.8488,0.8568,0.8588,0.8568,0.8566,0.9365,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0084, 'anticipation': 0.009, 'trust': 0.0114, 'surprise': 0.0091, 'sadness': 0.0132, 'disgust': 0.0086, 'joy': 0.0072, 'a_score': 0.3631}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8495,0.8529,0.8495,0.8492,0.8474,0.8496,0.8474,0.8472,0.8563,0.8583,0.8563,0.8561,0.9368,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0073, 'anticipation': 0.0081, 'trust': 0.0104, 'surprise': 0.0083, 'sadness': 0.013, 'disgust': 0.0083, 'joy': 0.006, 'a_score': 0.3634}",DecisionTreeClassifier()
