Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8439,0.8388,0.8439,0.7182,0.8406,0.8283,0.8406,0.8281,0.8519,0.8435,0.8519,0.8418,0.9622,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0086, 'anticipation': 0.011, 'trust': 0.0145, 'surprise': 0.0089, 'sadness': 0.0113, 'disgust': 0.0063, 'joy': 0.0109, 'a_score': 0.4183}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8395,0.8469,0.7178,0.8422,0.8297,0.8422,0.8291,0.8517,0.8426,0.8517,0.8409,0.9631,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0119, 'anger': 0.0081, 'anticipation': 0.0118, 'trust': 0.0138, 'surprise': 0.0085, 'sadness': 0.0114, 'disgust': 0.007, 'joy': 0.0106, 'a_score': 0.4073}",RandomForestClassifier()
RandomForestClassifier,0.8423,0.837,0.8423,0.7149,0.8413,0.8287,0.8413,0.8286,0.8511,0.8418,0.8511,0.8404,0.9607,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0076, 'anticipation': 0.0119, 'trust': 0.0125, 'surprise': 0.0067, 'sadness': 0.0133, 'disgust': 0.0065, 'joy': 0.0101, 'a_score': 0.4119}",RandomForestClassifier()
RandomForestClassifier,0.8506,0.8434,0.8506,0.73,0.8416,0.8302,0.8416,0.8312,0.851,0.8431,0.851,0.8429,0.9632,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0071, 'anticipation': 0.0138, 'trust': 0.013, 'surprise': 0.0091, 'sadness': 0.0173, 'disgust': 0.0064, 'joy': 0.0102, 'a_score': 0.4166}",RandomForestClassifier()
RandomForestClassifier,0.8455,0.8451,0.8455,0.7322,0.8411,0.8285,0.8411,0.8289,0.8506,0.8412,0.8506,0.8403,0.9623,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0062, 'anticipation': 0.013, 'trust': 0.0148, 'surprise': 0.0085, 'sadness': 0.0164, 'disgust': 0.0066, 'joy': 0.0103, 'a_score': 0.4137}",RandomForestClassifier()
RandomForestClassifier,0.8421,0.854,0.8421,0.765,0.8451,0.8589,0.8451,0.845,0.8504,0.8666,0.8504,0.8508,0.9618,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0059, 'anticipation': 0.0101, 'trust': 0.0106, 'surprise': 0.0103, 'sadness': 0.0172, 'disgust': 0.0075, 'joy': 0.0154, 'a_score': 0.441}",RandomForestClassifier()
RandomForestClassifier,0.8435,0.8376,0.8435,0.7122,0.8407,0.829,0.8407,0.8288,0.8497,0.8407,0.8497,0.8398,0.961,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0086, 'anticipation': 0.0108, 'trust': 0.0132, 'surprise': 0.0077, 'sadness': 0.0107, 'disgust': 0.0099, 'joy': 0.0088, 'a_score': 0.4134}",RandomForestClassifier()
RandomForestClassifier,0.8393,0.8338,0.8393,0.7095,0.8433,0.8302,0.8433,0.831,0.8496,0.84,0.8496,0.8396,0.9604,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0098, 'anger': 0.0075, 'anticipation': 0.0128, 'trust': 0.0126, 'surprise': 0.0091, 'sadness': 0.0148, 'disgust': 0.0071, 'joy': 0.0146, 'a_score': 0.4078}",RandomForestClassifier()
RandomForestClassifier,0.8403,0.8351,0.8403,0.7054,0.8415,0.8291,0.8415,0.8289,0.8495,0.8401,0.8495,0.8391,0.9607,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0075, 'anticipation': 0.013, 'trust': 0.0126, 'surprise': 0.0081, 'sadness': 0.0109, 'disgust': 0.0088, 'joy': 0.0099, 'a_score': 0.4148}",RandomForestClassifier()
DecisionTreeClassifier,0.8455,0.8575,0.8455,0.78,0.8418,0.8552,0.8418,0.8425,0.849,0.8628,0.849,0.8495,0.9387,not-balanced,100,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0161, 'anger': 0.0073, 'anticipation': 0.0143, 'trust': 0.0126, 'surprise': 0.0123, 'sadness': 0.0252, 'disgust': 0.013, 'joy': 0.0152, 'a_score': 0.439}",DecisionTreeClassifier()
