Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9128,0.9186,0.9128,0.9015,0.9148,0.9204,0.9148,0.9125,0.9156,0.9221,0.9156,0.9133,0.9675,not-balanced,100,10,463,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0041, 'anticipation': 0.0054, 'trust': 0.0044, 'surprise': 0.0031, 'sadness': 0.0059, 'disgust': 0.0057, 'joy': 0.0045, 'a_score': 0.3687}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9158,0.9217,0.9158,0.9046,0.9147,0.9198,0.9147,0.9126,0.9155,0.9213,0.9155,0.9133,0.9683,not-balanced,100,10,724,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0048, 'anticipation': 0.0071, 'trust': 0.0056, 'surprise': 0.004, 'sadness': 0.0044, 'disgust': 0.0042, 'joy': 0.009, 'a_score': 0.3676}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9162,0.921,0.9162,0.9056,0.9106,0.9162,0.9106,0.9082,0.9153,0.9211,0.9153,0.9131,0.9681,not-balanced,100,10,836,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0038, 'anticipation': 0.0073, 'trust': 0.0057, 'surprise': 0.004, 'sadness': 0.0055, 'disgust': 0.0042, 'joy': 0.0082, 'a_score': 0.3725}",DecisionTreeClassifier()
RandomForestClassifier,0.9095,0.9155,0.9095,0.8979,0.9176,0.9236,0.9176,0.9153,0.9151,0.9217,0.9151,0.9126,0.9738,not-balanced,100,10,803,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0041, 'anger': 0.004, 'anticipation': 0.0044, 'trust': 0.0047, 'surprise': 0.0036, 'sadness': 0.0051, 'disgust': 0.0046, 'joy': 0.0047, 'a_score': 0.3652}",RandomForestClassifier()
RandomForestClassifier,0.913,0.9185,0.913,0.9022,0.9127,0.9179,0.9127,0.9104,0.9148,0.9211,0.9148,0.9124,0.9757,not-balanced,100,10,28,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0064, 'anger': 0.005, 'anticipation': 0.004, 'trust': 0.0049, 'surprise': 0.0047, 'sadness': 0.0067, 'disgust': 0.0037, 'joy': 0.005, 'a_score': 0.3698}",RandomForestClassifier()
DecisionTreeClassifier,0.9152,0.9211,0.9152,0.9039,0.9149,0.9208,0.9149,0.9127,0.9148,0.9216,0.9148,0.9123,0.9669,not-balanced,100,10,87,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0049, 'anticipation': 0.0061, 'trust': 0.0051, 'surprise': 0.0052, 'sadness': 0.0057, 'disgust': 0.0041, 'joy': 0.0052, 'a_score': 0.3665}",DecisionTreeClassifier()
RandomForestClassifier,0.9117,0.9176,0.9117,0.9004,0.9141,0.9201,0.9141,0.9118,0.9147,0.9218,0.9147,0.9122,0.9751,not-balanced,100,10,24,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0039, 'anticipation': 0.005, 'trust': 0.0053, 'surprise': 0.0044, 'sadness': 0.0059, 'disgust': 0.0044, 'joy': 0.0044, 'a_score': 0.3654}",RandomForestClassifier()
DecisionTreeClassifier,0.912,0.9173,0.912,0.901,0.9172,0.9212,0.9172,0.9153,0.9145,0.9194,0.9145,0.9123,0.9667,not-balanced,100,10,460,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0043, 'anticipation': 0.0053, 'trust': 0.0041, 'surprise': 0.0043, 'sadness': 0.0058, 'disgust': 0.0086, 'joy': 0.009, 'a_score': 0.3694}",DecisionTreeClassifier()
RandomForestClassifier,0.9116,0.9171,0.9116,0.9003,0.9143,0.9189,0.9143,0.9122,0.9141,0.9195,0.9141,0.9118,0.9747,not-balanced,100,10,994,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0038, 'anticipation': 0.0048, 'trust': 0.005, 'surprise': 0.0038, 'sadness': 0.0077, 'disgust': 0.0041, 'joy': 0.007, 'a_score': 0.3655}",RandomForestClassifier()
RandomForestClassifier,0.9161,0.922,0.9161,0.9053,0.9103,0.9165,0.9103,0.9078,0.9141,0.9207,0.9141,0.9117,0.9751,not-balanced,100,10,276,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0026, 'anticipation': 0.0047, 'trust': 0.0044, 'surprise': 0.0057, 'sadness': 0.0077, 'disgust': 0.0048, 'joy': 0.0042, 'a_score': 0.3735}",RandomForestClassifier()
