Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Hyper Params.,Model
DecisionTreeClassifier,0.849,0.8756,0.849,0.788,0.8491,0.8738,0.8491,0.8483,0.8544,0.8788,0.8544,0.8536,0.9631,not-balanced,100,10,6,2,974,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0015, 'anger': 0.0006, 'anticipation': 0.0028, 'trust': 0.0021, 'surprise': 0.0016, 'sadness': 0.004, 'disgust': 0.0007, 'joy': 0.0024, 'a_score': 0.4275}","{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 50}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, min_samples_split=50)"
DecisionTreeClassifier,0.8523,0.8868,0.8523,0.8001,0.8517,0.8839,0.8517,0.8508,0.8542,0.8858,0.8542,0.8533,0.963,not-balanced,100,10,2,5,808,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0012, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0005, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0013, 'a_score': 0.4285}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8532,0.883,0.8532,0.8001,0.8513,0.8848,0.8513,0.8507,0.8542,0.8858,0.8542,0.8533,0.964,not-balanced,100,10,9,4,727,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0012, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0013, 'a_score': 0.4305}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.851,0.8829,0.851,0.7935,0.8536,0.8844,0.8536,0.8523,0.8542,0.8858,0.8542,0.8533,0.9629,not-balanced,100,10,10,3,715,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0014, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0006, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0008, 'a_score': 0.4279}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=50)"
DecisionTreeClassifier,0.8514,0.8837,0.8514,0.7997,0.8538,0.8864,0.8538,0.8531,0.8542,0.8858,0.8542,0.8533,0.9635,not-balanced,100,10,8,3,861,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0022, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0016, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0008, 'a_score': 0.4308}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8535,0.8836,0.8535,0.8002,0.8501,0.8804,0.8501,0.849,0.8541,0.8824,0.8541,0.8531,0.9636,not-balanced,100,10,10,5,607,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0029, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0007, 'sadness': 0.0016, 'disgust': 0.0004, 'joy': 0.0013, 'a_score': 0.4331}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 50, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=50)"
DecisionTreeClassifier,0.8519,0.873,0.8519,0.7891,0.8479,0.8694,0.8479,0.8473,0.854,0.8747,0.854,0.8535,0.9638,not-balanced,100,10,1,5,728,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0014, 'anticipation': 0.0027, 'trust': 0.0023, 'surprise': 0.0005, 'sadness': 0.0025, 'disgust': 0.0037, 'joy': 0.0056, 'a_score': 0.4286}","{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 20, 'min_samples_split': 50}","DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=20,
                       min_samples_split=50)"
DecisionTreeClassifier,0.8533,0.8744,0.8533,0.7878,0.845,0.8627,0.845,0.8436,0.8536,0.8715,0.8536,0.8525,0.964,not-balanced,100,10,4,3,351,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0004, 'anticipation': 0.0038, 'trust': 0.0027, 'surprise': 0.0024, 'sadness': 0.007, 'disgust': 0.0022, 'joy': 0.0042, 'a_score': 0.4252}","{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}","DecisionTreeClassifier(criterion='entropy', max_depth=10, min_samples_leaf=10)"
DecisionTreeClassifier,0.8509,0.8869,0.8509,0.8041,0.8541,0.8904,0.8541,0.8542,0.8534,0.8891,0.8534,0.8527,0.9629,not-balanced,100,10,7,5,840,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0022, 'a_score': 0.4299}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
DecisionTreeClassifier,0.8535,0.8477,0.8535,0.7191,0.8486,0.8403,0.8486,0.8369,0.8534,0.8462,0.8534,0.842,0.9642,not-balanced,100,10,4,5,10,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0043, 'anger': 0.0, 'anticipation': 0.0, 'trust': 0.0021, 'surprise': 0.0016, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'a_score': 0.3995}","{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100, 'min_samples_split': 2}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=100)"
