Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8387,0.8401,0.8387,0.7226,0.8433,0.8652,0.8433,0.8431,0.849,0.8698,0.849,0.849,0.9487,not-balanced,100,10,3,1,850,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0062, 'anticipation': 0.0042, 'trust': 0.0033, 'surprise': 0.0034, 'sadness': 0.0043, 'disgust': 0.0063, 'joy': 0.0032, 'a_score': 0.4306}",KNeighborsClassifier()
KNeighborsClassifier,0.8365,0.837,0.8365,0.7185,0.8461,0.8365,0.8461,0.8357,0.8489,0.8399,0.8489,0.8389,0.9525,not-balanced,100,10,5,1,55,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0039, 'anticipation': 0.0067, 'trust': 0.005, 'surprise': 0.0035, 'sadness': 0.0069, 'disgust': 0.0043, 'joy': 0.0066, 'a_score': 0.3943}",KNeighborsClassifier()
KNeighborsClassifier,0.8213,0.8234,0.8213,0.705,0.8431,0.8343,0.8431,0.8336,0.8476,0.8395,0.8476,0.8386,0.9046,not-balanced,100,10,9,4,737,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0022, 'anticipation': 0.0053, 'trust': 0.0058, 'surprise': 0.0018, 'sadness': 0.0074, 'disgust': 0.0058, 'joy': 0.0042, 'a_score': 0.3987}",KNeighborsClassifier()
KNeighborsClassifier,0.836,0.8497,0.836,0.7605,0.8426,0.8612,0.8426,0.8425,0.8474,0.8651,0.8474,0.8475,0.9563,not-balanced,100,10,4,3,264,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.0055, 'anticipation': 0.0037, 'trust': 0.0045, 'surprise': 0.0023, 'sadness': 0.0063, 'disgust': 0.0039, 'joy': 0.0044, 'a_score': 0.4296}",KNeighborsClassifier()
KNeighborsClassifier,0.8359,0.84,0.8359,0.7283,0.8381,0.8275,0.8381,0.8282,0.8469,0.8375,0.8469,0.8377,0.9394,not-balanced,100,10,1,5,99,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.008, 'anger': 0.0031, 'anticipation': 0.0031, 'trust': 0.0035, 'surprise': 0.0023, 'sadness': 0.0135, 'disgust': 0.0075, 'joy': 0.001, 'a_score': 0.3955}",KNeighborsClassifier()
KNeighborsClassifier,0.8339,0.8469,0.8339,0.7623,0.8379,0.8587,0.8379,0.8385,0.8468,0.8649,0.8468,0.8473,0.9536,not-balanced,100,10,7,3,870,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0029, 'anticipation': 0.0069, 'trust': 0.0071, 'surprise': 0.0035, 'sadness': 0.0044, 'disgust': 0.006, 'joy': 0.0089, 'a_score': 0.4276}",KNeighborsClassifier()
KNeighborsClassifier,0.831,0.8354,0.831,0.7157,0.8408,0.8315,0.8408,0.8327,0.8466,0.8378,0.8466,0.8385,0.9451,not-balanced,100,10,10,1,416,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0032, 'anticipation': 0.0029, 'trust': 0.0037, 'surprise': 0.0037, 'sadness': 0.0075, 'disgust': 0.0056, 'joy': 0.004, 'a_score': 0.3921}",KNeighborsClassifier()
KNeighborsClassifier,0.8412,0.8447,0.8412,0.7444,0.8379,0.8278,0.8379,0.8291,0.8463,0.8377,0.8463,0.8382,0.9513,not-balanced,100,10,1,3,908,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0039, 'anticipation': 0.0057, 'trust': 0.0046, 'surprise': 0.0043, 'sadness': 0.0084, 'disgust': 0.0027, 'joy': 0.0035, 'a_score': 0.3981}",KNeighborsClassifier()
KNeighborsClassifier,0.8192,0.8287,0.8192,0.7279,0.8418,0.8553,0.8418,0.8409,0.846,0.861,0.846,0.8457,0.9444,not-balanced,100,10,10,4,600,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0032, 'anticipation': 0.003, 'trust': 0.0028, 'surprise': 0.0034, 'sadness': 0.009, 'disgust': 0.0024, 'joy': 0.0019, 'a_score': 0.4225}",KNeighborsClassifier()
KNeighborsClassifier,0.8227,0.83,0.8227,0.7191,0.839,0.826,0.839,0.8249,0.8454,0.8349,0.8454,0.8319,0.951,not-balanced,100,10,6,5,936,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0055, 'anticipation': 0.0045, 'trust': 0.0056, 'surprise': 0.0047, 'sadness': 0.0042, 'disgust': 0.0042, 'joy': 0.0065, 'a_score': 0.3911}",KNeighborsClassifier()
