Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8462,0.8636,0.8462,0.7737,0.8477,0.8677,0.8477,0.8475,0.8565,0.8758,0.8565,0.8562,0.9624,not-balanced,100,10,1,3,974,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': 0.0061, 'anticipation': 0.0084, 'trust': 0.0112, 'surprise': 0.0074, 'sadness': 0.0122, 'disgust': 0.0066, 'joy': 0.0077, 'a_score': 0.434}",RandomForestClassifier()
RandomForestClassifier,0.8491,0.8716,0.8491,0.7885,0.8463,0.8723,0.8463,0.8458,0.8565,0.8811,0.8565,0.8564,0.9614,not-balanced,100,10,8,2,766,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0062, 'anticipation': 0.0069, 'trust': 0.0101, 'surprise': 0.007, 'sadness': 0.0104, 'disgust': 0.0075, 'joy': 0.0078, 'a_score': 0.4462}",RandomForestClassifier()
RandomForestClassifier,0.8393,0.8522,0.8393,0.759,0.8525,0.8733,0.8525,0.8525,0.8564,0.8774,0.8564,0.8561,0.9609,not-balanced,100,10,8,1,932,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0076, 'anticipation': 0.0078, 'trust': 0.0105, 'surprise': 0.008, 'sadness': 0.012, 'disgust': 0.0064, 'joy': 0.0077, 'a_score': 0.436}",RandomForestClassifier()
RandomForestClassifier,0.8492,0.862,0.8492,0.7669,0.8442,0.8622,0.8442,0.8431,0.8561,0.8731,0.8561,0.8555,0.9626,not-balanced,100,10,3,3,161,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0113, 'anger': 0.0068, 'anticipation': 0.0082, 'trust': 0.0087, 'surprise': 0.0076, 'sadness': 0.0121, 'disgust': 0.0071, 'joy': 0.0076, 'a_score': 0.436}",RandomForestClassifier()
RandomForestClassifier,0.8471,0.8386,0.8471,0.6945,0.8417,0.828,0.8417,0.8258,0.8561,0.8479,0.8561,0.8424,0.9623,not-balanced,100,10,5,3,294,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0062, 'anticipation': 0.0064, 'trust': 0.0088, 'surprise': 0.0061, 'sadness': 0.0098, 'disgust': 0.0071, 'joy': 0.0071, 'a_score': 0.4067}",RandomForestClassifier()
RandomForestClassifier,0.8473,0.8649,0.8473,0.7819,0.8442,0.8639,0.8442,0.8433,0.8557,0.8732,0.8557,0.8551,0.9623,not-balanced,100,10,1,5,635,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0062, 'anticipation': 0.0074, 'trust': 0.0083, 'surprise': 0.0081, 'sadness': 0.0107, 'disgust': 0.0064, 'joy': 0.0077, 'a_score': 0.4391}",RandomForestClassifier()
DecisionTreeClassifier,0.8449,0.8609,0.8449,0.7773,0.8463,0.8636,0.8463,0.8461,0.8557,0.8721,0.8557,0.8555,0.9488,not-balanced,100,10,4,2,974,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0065, 'anticipation': 0.0091, 'trust': 0.0132, 'surprise': 0.0094, 'sadness': 0.0137, 'disgust': 0.0077, 'joy': 0.0087, 'a_score': 0.4354}",DecisionTreeClassifier()
RandomForestClassifier,0.8473,0.8667,0.8473,0.7854,0.844,0.8652,0.844,0.844,0.8557,0.8753,0.8557,0.8554,0.9626,not-balanced,100,10,7,5,595,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0123, 'anger': 0.0065, 'anticipation': 0.0094, 'trust': 0.0102, 'surprise': 0.0082, 'sadness': 0.0114, 'disgust': 0.0071, 'joy': 0.0081, 'a_score': 0.4388}",RandomForestClassifier()
RandomForestClassifier,0.843,0.8586,0.843,0.7652,0.8486,0.8661,0.8486,0.8484,0.8556,0.8739,0.8556,0.8556,0.9614,not-balanced,100,10,4,2,619,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0068, 'anticipation': 0.008, 'trust': 0.0104, 'surprise': 0.0067, 'sadness': 0.0101, 'disgust': 0.0063, 'joy': 0.0114, 'a_score': 0.4365}",RandomForestClassifier()
RandomForestClassifier,0.8495,0.8644,0.8495,0.781,0.8427,0.8561,0.8427,0.8419,0.8554,0.8687,0.8554,0.8546,0.9633,not-balanced,100,10,1,4,925,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.007, 'anticipation': 0.0095, 'trust': 0.0114, 'surprise': 0.0073, 'sadness': 0.0127, 'disgust': 0.0072, 'joy': 0.0101, 'a_score': 0.4335}",RandomForestClassifier()
RandomForestClassifier,0.8444,0.8512,0.8444,0.7385,0.8438,0.8319,0.8438,0.8305,0.8552,0.8462,0.8552,0.8428,0.9622,not-balanced,100,10,5,2,726,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0117, 'anger': 0.0058, 'anticipation': 0.0091, 'trust': 0.0102, 'surprise': 0.0069, 'sadness': 0.0098, 'disgust': 0.007, 'joy': 0.007, 'a_score': 0.4051}",RandomForestClassifier()
DecisionTreeClassifier,0.8468,0.8371,0.8468,0.7064,0.8403,0.8295,0.8403,0.829,0.8552,0.8475,0.8552,0.846,0.9477,not-balanced,100,10,9,3,333,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0127, 'anger': 0.0074, 'anticipation': 0.0104, 'trust': 0.0145, 'surprise': 0.0094, 'sadness': 0.013, 'disgust': 0.0072, 'joy': 0.0087, 'a_score': 0.4153}",DecisionTreeClassifier()
RandomForestClassifier,0.8438,0.8669,0.8438,0.7847,0.849,0.872,0.849,0.8491,0.8551,0.8787,0.8551,0.8554,0.9605,not-balanced,100,10,3,4,786,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0087, 'anger': 0.006, 'anticipation': 0.008, 'trust': 0.0101, 'surprise': 0.0071, 'sadness': 0.0106, 'disgust': 0.0087, 'joy': 0.0077, 'a_score': 0.4409}",RandomForestClassifier()
RandomForestClassifier,0.8465,0.8689,0.8465,0.7894,0.8492,0.8686,0.8492,0.849,0.8551,0.876,0.8551,0.8547,0.9615,not-balanced,100,10,2,1,56,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0057, 'anticipation': 0.0108, 'trust': 0.009, 'surprise': 0.0086, 'sadness': 0.0116, 'disgust': 0.0075, 'joy': 0.0093, 'a_score': 0.438}",RandomForestClassifier()
RandomForestClassifier,0.851,0.8707,0.851,0.7892,0.8433,0.86,0.8433,0.8427,0.855,0.8727,0.855,0.8547,0.9635,not-balanced,100,10,9,5,513,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.007, 'anticipation': 0.0093, 'trust': 0.0106, 'surprise': 0.0085, 'sadness': 0.0104, 'disgust': 0.0067, 'joy': 0.0097, 'a_score': 0.4371}",RandomForestClassifier()
RandomForestClassifier,0.8447,0.8645,0.8447,0.7804,0.8475,0.8651,0.8475,0.8473,0.855,0.8726,0.855,0.855,0.9607,not-balanced,100,10,3,1,176,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0081, 'anger': 0.0063, 'anticipation': 0.0085, 'trust': 0.0105, 'surprise': 0.009, 'sadness': 0.0116, 'disgust': 0.0094, 'joy': 0.0142, 'a_score': 0.4353}",RandomForestClassifier()
DecisionTreeClassifier,0.8493,0.8676,0.8493,0.7875,0.8415,0.8669,0.8415,0.8414,0.8549,0.8775,0.8549,0.8551,0.9485,not-balanced,100,10,4,1,807,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0129, 'anger': 0.0058, 'anticipation': 0.0101, 'trust': 0.0101, 'surprise': 0.0102, 'sadness': 0.0113, 'disgust': 0.0084, 'joy': 0.0115, 'a_score': 0.4402}",DecisionTreeClassifier()
RandomForestClassifier,0.8412,0.8488,0.8412,0.7433,0.8468,0.8379,0.8468,0.8373,0.8549,0.8477,0.8549,0.8456,0.9612,not-balanced,100,10,2,4,54,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0066, 'anticipation': 0.0074, 'trust': 0.0089, 'surprise': 0.0071, 'sadness': 0.0097, 'disgust': 0.0066, 'joy': 0.0069, 'a_score': 0.4076}",RandomForestClassifier()
RandomForestClassifier,0.8469,0.8661,0.8469,0.7822,0.847,0.8636,0.847,0.8463,0.8549,0.8716,0.8549,0.8543,0.9616,not-balanced,100,10,2,3,240,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0098, 'anger': 0.0064, 'anticipation': 0.0093, 'trust': 0.0088, 'surprise': 0.0074, 'sadness': 0.0102, 'disgust': 0.0061, 'joy': 0.0123, 'a_score': 0.431}",RandomForestClassifier()
RandomForestClassifier,0.8462,0.8649,0.8462,0.7829,0.8473,0.8652,0.8473,0.8467,0.8549,0.8725,0.8549,0.8544,0.9619,not-balanced,100,10,10,5,572,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0124, 'anger': 0.0074, 'anticipation': 0.0089, 'trust': 0.0119, 'surprise': 0.0067, 'sadness': 0.0126, 'disgust': 0.0084, 'joy': 0.009, 'a_score': 0.4372}",RandomForestClassifier()
