Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.6026,0.6244,0.6026,0.4599,0.7112,0.7194,0.7112,0.6814,0.7178,0.7232,0.7178,0.6891,0.7735,not-balanced,100,10,9,5,351,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0134, 'anger': 0.0107, 'anticipation': 0.0148, 'trust': 0.0174, 'surprise': 0.0079, 'sadness': 0.0196, 'disgust': 0.0105, 'joy': 0.0139, 'a_score': 0.2551}",MLPClassifier()
MLPClassifier,0.636,0.6581,0.636,0.5025,0.6506,0.6457,0.6506,0.6393,0.6609,0.6575,0.6609,0.6505,0.7796,not-balanced,100,10,3,1,664,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0076, 'anger': 0.001, 'anticipation': 0.0098, 'trust': 0.0188, 'surprise': 0.0022, 'sadness': 0.0058, 'disgust': 0.0054, 'joy': 0.003, 'a_score': 0.2049}",MLPClassifier()
MLPClassifier,0.5937,0.6067,0.5937,0.4556,0.6592,0.6598,0.6592,0.6445,0.6596,0.6666,0.6596,0.645,0.7666,not-balanced,100,10,10,2,929,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0165, 'anger': 0.0044, 'anticipation': 0.0037, 'trust': 0.0166, 'surprise': 0.0056, 'sadness': 0.0135, 'disgust': 0.0086, 'joy': 0.0193, 'a_score': 0.197}",MLPClassifier()
MLPClassifier,0.5872,0.6044,0.5872,0.4471,0.6405,0.6527,0.6405,0.6301,0.6492,0.6622,0.6492,0.6398,0.7616,not-balanced,100,10,9,3,311,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0033, 'anger': 0.0001, 'anticipation': -0.0013, 'trust': 0.0164, 'surprise': 0.0038, 'sadness': 0.007, 'disgust': 0.0046, 'joy': 0.0039, 'a_score': 0.1849}",MLPClassifier()
MLPClassifier,0.5977,0.6197,0.5977,0.482,0.6361,0.6327,0.6361,0.6285,0.6463,0.6439,0.6463,0.6392,0.7528,not-balanced,100,10,5,4,142,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0185, 'anger': 0.0048, 'anticipation': 0.0055, 'trust': 0.0168, 'surprise': 0.0046, 'sadness': 0.0124, 'disgust': 0.0022, 'joy': 0.0147, 'a_score': 0.1803}",MLPClassifier()
MLPClassifier,0.607,0.6214,0.607,0.4744,0.6162,0.6943,0.6162,0.5493,0.6244,0.7083,0.6244,0.56,0.7698,not-balanced,100,10,2,2,16,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0069, 'anger': 0.0049, 'anticipation': 0.0039, 'trust': 0.0091, 'surprise': 0.005, 'sadness': 0.0027, 'disgust': 0.0034, 'joy': 0.0054, 'a_score': 0.1956}",MLPClassifier()
MLPClassifier,0.5956,0.6142,0.5956,0.4606,0.6199,0.633,0.6199,0.5783,0.6233,0.6349,0.6233,0.5812,0.7618,not-balanced,100,10,1,5,698,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0196, 'anger': 0.0047, 'anticipation': 0.0056, 'trust': 0.0085, 'surprise': 0.0045, 'sadness': 0.0068, 'disgust': 0.007, 'joy': 0.0044, 'a_score': 0.1486}",MLPClassifier()
MLPClassifier,0.6198,0.6323,0.6198,0.4814,0.6206,0.6433,0.6206,0.5708,0.6231,0.6536,0.6231,0.5742,0.7823,not-balanced,100,10,9,4,118,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0041, 'anticipation': 0.0064, 'trust': 0.006, 'surprise': 0.0049, 'sadness': 0.002, 'disgust': 0.0053, 'joy': 0.0038, 'a_score': 0.1577}",MLPClassifier()
MLPClassifier,0.6046,0.6361,0.6046,0.4814,0.6096,0.6273,0.6096,0.5605,0.6227,0.6454,0.6227,0.5758,0.7758,not-balanced,100,10,4,1,1,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0112, 'anger': 0.0091, 'anticipation': 0.0067, 'trust': 0.0106, 'surprise': 0.0064, 'sadness': 0.0048, 'disgust': 0.0044, 'joy': 0.0088, 'a_score': 0.162}",MLPClassifier()
MLPClassifier,0.5808,0.5992,0.5808,0.4594,0.6194,0.6399,0.6194,0.5682,0.6219,0.6447,0.6219,0.5724,0.7462,not-balanced,100,10,2,3,673,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0091, 'anger': 0.0038, 'anticipation': 0.0039, 'trust': 0.0057, 'surprise': 0.0019, 'sadness': 0.0102, 'disgust': 0.0039, 'joy': 0.0068, 'a_score': 0.155}",MLPClassifier()
MLPClassifier,0.6085,0.6469,0.6085,0.4971,0.6174,0.6928,0.6174,0.5494,0.6214,0.7054,0.6214,0.5552,0.761,not-balanced,100,10,4,4,187,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0095, 'anger': 0.0026, 'anticipation': 0.0036, 'trust': 0.0079, 'surprise': 0.0021, 'sadness': 0.0036, 'disgust': 0.003, 'joy': 0.0056, 'a_score': 0.1886}",MLPClassifier()
MLPClassifier,0.596,0.6085,0.596,0.4365,0.6197,0.6348,0.6197,0.5652,0.6211,0.6416,0.6211,0.5673,0.756,not-balanced,100,10,3,2,325,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0097, 'anger': 0.0037, 'anticipation': 0.003, 'trust': 0.0045, 'surprise': 0.003, 'sadness': 0.0035, 'disgust': 0.004, 'joy': 0.0008, 'a_score': 0.1497}",MLPClassifier()
MLPClassifier,0.5939,0.6283,0.5939,0.4811,0.6152,0.6827,0.6152,0.5504,0.6211,0.694,0.6211,0.559,0.7597,not-balanced,100,10,7,1,747,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0107, 'anger': 0.0032, 'anticipation': 0.0069, 'trust': 0.0075, 'surprise': 0.0091, 'sadness': 0.0068, 'disgust': 0.0072, 'joy': 0.0051, 'a_score': 0.1878}",MLPClassifier()
MLPClassifier,0.5994,0.6142,0.5994,0.4933,0.6148,0.6335,0.6148,0.5564,0.621,0.6473,0.621,0.566,0.7608,not-balanced,100,10,10,5,184,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0046, 'anticipation': 0.0025, 'trust': 0.0062, 'surprise': 0.003, 'sadness': 0.0038, 'disgust': 0.0031, 'joy': 0.0024, 'a_score': 0.1564}",MLPClassifier()
MLPClassifier,0.6181,0.6445,0.6181,0.4875,0.6169,0.638,0.6169,0.5633,0.6193,0.642,0.6193,0.5671,0.775,not-balanced,100,10,7,2,187,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.0057, 'anticipation': 0.0038, 'trust': 0.0059, 'surprise': 0.004, 'sadness': 0.0086, 'disgust': 0.0057, 'joy': 0.0037, 'a_score': 0.1523}",MLPClassifier()
MLPClassifier,0.5912,0.6087,0.5912,0.4633,0.6137,0.6314,0.6137,0.5654,0.6192,0.6424,0.6192,0.5733,0.7603,not-balanced,100,10,5,1,489,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0045, 'anticipation': 0.0087, 'trust': 0.0091, 'surprise': 0.0082, 'sadness': 0.0074, 'disgust': 0.0044, 'joy': 0.0029, 'a_score': 0.1617}",MLPClassifier()
MLPClassifier,0.6135,0.6291,0.6135,0.4699,0.6142,0.7003,0.6142,0.5428,0.619,0.7127,0.619,0.5489,0.7825,not-balanced,100,10,10,4,666,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.016, 'anger': 0.0063, 'anticipation': 0.0055, 'trust': 0.0048, 'surprise': 0.0036, 'sadness': 0.0033, 'disgust': 0.0065, 'joy': 0.0067, 'a_score': 0.192}",MLPClassifier()
MLPClassifier,0.6038,0.6105,0.6038,0.447,0.6104,0.6159,0.6104,0.5692,0.6189,0.6277,0.6189,0.5793,0.7675,not-balanced,100,10,8,5,181,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0069, 'anger': 0.003, 'anticipation': 0.002, 'trust': 0.0086, 'surprise': 0.0058, 'sadness': 0.0049, 'disgust': 0.0087, 'joy': 0.0059, 'a_score': 0.1565}",MLPClassifier()
MLPClassifier,0.5992,0.6241,0.5992,0.4555,0.6076,0.6778,0.6076,0.5428,0.6187,0.6922,0.6187,0.5556,0.7547,not-balanced,100,10,10,3,579,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0215, 'anger': 0.0068, 'anticipation': 0.0028, 'trust': 0.0045, 'surprise': 0.0047, 'sadness': 0.0061, 'disgust': 0.0091, 'joy': 0.0048, 'a_score': 0.1934}",MLPClassifier()
MLPClassifier,0.5991,0.614,0.5991,0.4741,0.614,0.6211,0.614,0.5748,0.6179,0.63,0.6179,0.5804,0.7622,not-balanced,100,10,7,5,254,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0089, 'anticipation': 0.0158, 'trust': 0.0083, 'surprise': 0.0053, 'sadness': 0.0082, 'disgust': 0.0107, 'joy': 0.0064, 'a_score': 0.1528}",MLPClassifier()
MLPClassifier,0.6223,0.6292,0.6223,0.4681,0.6142,0.6298,0.6142,0.5665,0.6177,0.6367,0.6177,0.5727,0.7709,not-balanced,100,10,7,3,254,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0143, 'anger': 0.0046, 'anticipation': 0.0073, 'trust': 0.0066, 'surprise': 0.0053, 'sadness': 0.0093, 'disgust': 0.0031, 'joy': 0.0044, 'a_score': 0.1514}",MLPClassifier()
MLPClassifier,0.5821,0.6005,0.5821,0.4415,0.6125,0.6256,0.6125,0.5681,0.6147,0.6294,0.6147,0.5702,0.7583,not-balanced,100,10,1,1,661,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0147, 'anger': 0.007, 'anticipation': 0.0112, 'trust': 0.0076, 'surprise': 0.0117, 'sadness': 0.0129, 'disgust': 0.002, 'joy': 0.008, 'a_score': 0.1477}",MLPClassifier()
MLPClassifier,0.6039,0.6335,0.6039,0.5261,0.617,0.6263,0.617,0.5741,0.6146,0.6267,0.6146,0.5719,0.7659,not-balanced,100,10,6,3,393,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0149, 'anger': 0.0021, 'anticipation': 0.0104, 'trust': 0.0046, 'surprise': 0.007, 'sadness': 0.0065, 'disgust': 0.0017, 'joy': 0.0051, 'a_score': 0.148}",MLPClassifier()
MLPClassifier,0.6156,0.6309,0.6156,0.479,0.6072,0.6238,0.6072,0.5561,0.6143,0.6322,0.6143,0.5657,0.7696,not-balanced,100,10,1,3,262,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0085, 'anger': 0.0026, 'anticipation': 0.0035, 'trust': 0.0058, 'surprise': 0.006, 'sadness': 0.0086, 'disgust': 0.0111, 'joy': 0.0065, 'a_score': 0.1467}",MLPClassifier()
MLPClassifier,0.6131,0.6346,0.6131,0.4901,0.6088,0.6211,0.6088,0.5928,0.6138,0.6231,0.6138,0.5979,0.7645,not-balanced,100,10,5,5,892,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.011, 'anger': 0.006, 'anticipation': 0.0097, 'trust': 0.0077, 'surprise': 0.0059, 'sadness': 0.0075, 'disgust': 0.0072, 'joy': 0.0103, 'a_score': 0.146}",MLPClassifier()
MLPClassifier,0.6009,0.6179,0.6009,0.4724,0.6027,0.6587,0.6027,0.5379,0.6125,0.6745,0.6125,0.5497,0.7692,not-balanced,100,10,6,1,547,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.008, 'anger': 0.0052, 'anticipation': 0.0074, 'trust': 0.0058, 'surprise': 0.0104, 'sadness': 0.0085, 'disgust': 0.0089, 'joy': 0.0039, 'a_score': 0.1871}",MLPClassifier()
MLPClassifier,0.615,0.6374,0.615,0.4949,0.6043,0.6107,0.6043,0.585,0.6057,0.6236,0.6057,0.587,0.7777,not-balanced,100,10,5,3,574,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.003, 'anticipation': 0.0145, 'trust': 0.0107, 'surprise': 0.0043, 'sadness': 0.0127, 'disgust': 0.0066, 'joy': 0.0102, 'a_score': 0.1339}",MLPClassifier()
MLPClassifier,0.613,0.6523,0.613,0.492,0.5918,0.6949,0.5918,0.5041,0.6048,0.71,0.6048,0.5213,0.7603,not-balanced,100,10,2,1,493,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0042, 'anger': 0.0028, 'anticipation': 0.0009, 'trust': 0.0024, 'surprise': 0.0022, 'sadness': 0.0017, 'disgust': 0.0005, 'joy': 0.0051, 'a_score': 0.1777}",MLPClassifier()
MLPClassifier,0.6111,0.6433,0.6111,0.5017,0.5942,0.6216,0.5942,0.5331,0.6038,0.6294,0.6038,0.5453,0.7664,not-balanced,100,10,8,3,175,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0088, 'anger': 0.005, 'anticipation': 0.0018, 'trust': 0.0022, 'surprise': 0.0029, 'sadness': 0.0049, 'disgust': 0.0016, 'joy': 0.0044, 'a_score': 0.1366}",MLPClassifier()
MLPClassifier,0.5891,0.5978,0.5891,0.4792,0.6035,0.7356,0.6035,0.5089,0.6036,0.7411,0.6036,0.512,0.7551,not-balanced,100,10,4,5,705,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0025, 'anger': -0.0016, 'anticipation': -0.0013, 'trust': -0.0001, 'surprise': 0.0005, 'sadness': 0.0011, 'disgust': -0.0013, 'joy': 0.0002, 'a_score': 0.1789}",MLPClassifier()
MLPClassifier,0.6088,0.6354,0.6088,0.4832,0.5963,0.6103,0.5963,0.5365,0.6033,0.6258,0.6033,0.5465,0.7564,not-balanced,100,10,3,4,130,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0043, 'anger': 0.0034, 'anticipation': 0.0013, 'trust': 0.0037, 'surprise': -0.0001, 'sadness': 0.0033, 'disgust': 0.0012, 'joy': -0.0007, 'a_score': 0.1382}",MLPClassifier()
