Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
LogisticRegression,0.7834,0.7827,0.7834,0.7654,0.7833,0.7832,0.7833,0.7832,0.7812,0.7814,0.7812,0.7813,0.8225,not-balanced,100,10,6,4,500,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0032, 'anger': 0.0002, 'anticipation': -0.0005, 'trust': 0.0002, 'surprise': -0.0021, 'sadness': -0.0, 'disgust': -0.0031, 'joy': 0.0006, 'a_score': 0.2405}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7828,0.7818,0.7828,0.763,0.7863,0.7861,0.7863,0.7862,0.7812,0.7813,0.7812,0.7812,0.8212,not-balanced,100,10,2,4,540,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0017, 'anger': -0.0, 'anticipation': -0.0019, 'trust': -0.0011, 'surprise': -0.0018, 'sadness': -0.0001, 'disgust': -0.0035, 'joy': 0.0001, 'a_score': 0.2373}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7825,0.7831,0.7825,0.7652,0.7838,0.7831,0.7838,0.7834,0.7809,0.7813,0.7809,0.7811,0.8274,not-balanced,100,10,8,1,98,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0025, 'anger': -0.0001, 'anticipation': -0.0015, 'trust': -0.0005, 'surprise': -0.0011, 'sadness': -0.0004, 'disgust': -0.0003, 'joy': 0.0009, 'a_score': 0.2423}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7832,0.7828,0.7832,0.7657,0.7861,0.7856,0.7861,0.7858,0.7808,0.7811,0.7808,0.781,0.8252,not-balanced,100,10,4,5,713,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0023, 'anger': 0.0001, 'anticipation': -0.0023, 'trust': -0.001, 'surprise': -0.0025, 'sadness': 0.0, 'disgust': -0.0037, 'joy': 0.0004, 'a_score': 0.242}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7832,0.7828,0.7832,0.7657,0.7861,0.7856,0.7861,0.7858,0.7808,0.7811,0.7808,0.781,0.8252,not-balanced,100,10,8,2,713,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0017, 'anger': 0.0, 'anticipation': -0.0014, 'trust': -0.0004, 'surprise': -0.0018, 'sadness': -0.0, 'disgust': -0.0034, 'joy': 0.0002, 'a_score': 0.2443}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7816,0.7814,0.7816,0.7629,0.785,0.7845,0.785,0.7847,0.7801,0.7807,0.7801,0.7804,0.8236,not-balanced,100,10,3,2,362,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': 0.0004, 'anticipation': -0.0025, 'trust': -0.0006, 'surprise': -0.0032, 'sadness': 0.0, 'disgust': -0.0033, 'joy': 0.0006, 'a_score': 0.24}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7818,0.7818,0.7818,0.7636,0.7827,0.7828,0.7827,0.7828,0.7795,0.7805,0.7795,0.78,0.8217,not-balanced,100,10,5,2,573,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0016, 'anger': -0.0001, 'anticipation': 0.0005, 'trust': -0.0002, 'surprise': -0.0015, 'sadness': 0.0006, 'disgust': -0.0028, 'joy': 0.0006, 'a_score': 0.2406}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7793,0.7794,0.7793,0.763,0.7872,0.7885,0.7872,0.7878,0.7795,0.7808,0.7795,0.7801,0.8204,not-balanced,100,10,9,4,766,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0021, 'anger': 0.0, 'anticipation': 0.0011, 'trust': -0.0, 'surprise': -0.002, 'sadness': 0.0002, 'disgust': -0.0, 'joy': 0.0006, 'a_score': 0.2399}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7837,0.784,0.7837,0.766,0.7787,0.7786,0.7787,0.7786,0.7795,0.7804,0.7795,0.7799,0.824,not-balanced,100,10,5,3,690,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0034, 'anger': 0.0, 'anticipation': 0.0004, 'trust': -0.0003, 'surprise': -0.0003, 'sadness': -0.0009, 'disgust': -0.0035, 'joy': 0.001, 'a_score': 0.2424}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.7833,0.7836,0.7833,0.7659,0.7787,0.7791,0.7787,0.7789,0.7795,0.7805,0.7795,0.7799,0.8243,not-balanced,100,10,2,1,427,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0009, 'anger': 0.0, 'anticipation': 0.0003, 'trust': 0.0001, 'surprise': -0.0014, 'sadness': 0.0003, 'disgust': -0.0027, 'joy': 0.0011, 'a_score': 0.2432}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
