Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.9155,0.9219,0.9155,0.9044,0.9155,0.9221,0.9155,0.9131,0.9161,0.9233,0.9161,0.9136,0.9672,not-balanced,100,10,4,2,337,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0065, 'anger': 0.0037, 'anticipation': 0.0034, 'trust': 0.0046, 'surprise': 0.0039, 'sadness': 0.0068, 'disgust': 0.0047, 'joy': 0.0052, 'a_score': 0.367}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9132,0.9189,0.9132,0.9018,0.9145,0.9193,0.9145,0.9124,0.9159,0.9217,0.9159,0.9137,0.9686,not-balanced,100,10,9,4,273,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0039, 'anticipation': 0.0056, 'trust': 0.0054, 'surprise': 0.0052, 'sadness': 0.0065, 'disgust': 0.0057, 'joy': 0.0077, 'a_score': 0.3666}",DecisionTreeClassifier()
RandomForestClassifier,0.9133,0.9186,0.9133,0.9021,0.9136,0.9186,0.9136,0.9114,0.9158,0.9215,0.9158,0.9136,0.9753,not-balanced,100,10,8,4,489,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0051, 'anticipation': 0.0049, 'trust': 0.0041, 'surprise': 0.0045, 'sadness': 0.0053, 'disgust': 0.0049, 'joy': 0.0074, 'a_score': 0.3681}",RandomForestClassifier()
DecisionTreeClassifier,0.9135,0.9194,0.9135,0.9019,0.9158,0.9217,0.9158,0.9136,0.9158,0.9226,0.9158,0.9134,0.9669,not-balanced,100,10,4,5,427,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.004, 'anticipation': 0.0041, 'trust': 0.0045, 'surprise': 0.0052, 'sadness': 0.0057, 'disgust': 0.0055, 'joy': 0.0063, 'a_score': 0.3659}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9138,0.9193,0.9138,0.9027,0.9159,0.9217,0.9159,0.9136,0.9157,0.9223,0.9157,0.9134,0.965,not-balanced,100,10,3,2,954,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.0041, 'anticipation': 0.006, 'trust': 0.0052, 'surprise': 0.0033, 'sadness': 0.0047, 'disgust': 0.0042, 'joy': 0.0088, 'a_score': 0.365}",DecisionTreeClassifier()
RandomForestClassifier,0.9143,0.9201,0.9143,0.9032,0.9124,0.9189,0.9124,0.9099,0.9157,0.9226,0.9157,0.9133,0.9752,not-balanced,100,10,9,2,97,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0037, 'anticipation': 0.0042, 'trust': 0.0045, 'surprise': 0.005, 'sadness': 0.0067, 'disgust': 0.0049, 'joy': 0.0043, 'a_score': 0.3701}",RandomForestClassifier()
DecisionTreeClassifier,0.9112,0.9163,0.9112,0.9,0.9175,0.9224,0.9175,0.9154,0.9157,0.9218,0.9157,0.9134,0.968,not-balanced,100,10,2,5,565,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0053, 'anger': 0.0039, 'anticipation': 0.0066, 'trust': 0.0043, 'surprise': 0.0041, 'sadness': 0.0058, 'disgust': 0.004, 'joy': 0.009, 'a_score': 0.3666}",DecisionTreeClassifier()
DecisionTreeClassifier,0.9133,0.9192,0.9133,0.9021,0.9155,0.9206,0.9155,0.9133,0.9157,0.9223,0.9157,0.9133,0.968,not-balanced,100,10,1,4,246,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0047, 'anger': 0.0042, 'anticipation': 0.0057, 'trust': 0.0042, 'surprise': 0.0049, 'sadness': 0.008, 'disgust': 0.0047, 'joy': 0.0048, 'a_score': 0.3673}",DecisionTreeClassifier()
RandomForestClassifier,0.9096,0.915,0.9096,0.8981,0.9164,0.9212,0.9164,0.9143,0.9157,0.9213,0.9157,0.9135,0.9755,not-balanced,100,10,3,1,373,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.0037, 'anticipation': 0.0057, 'trust': 0.0054, 'surprise': 0.0052, 'sadness': 0.0075, 'disgust': 0.0052, 'joy': 0.0085, 'a_score': 0.3656}",RandomForestClassifier()
DecisionTreeClassifier,0.9151,0.9204,0.9151,0.9043,0.9125,0.9184,0.9125,0.9101,0.9156,0.922,0.9156,0.9133,0.9682,not-balanced,100,10,8,2,148,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0036, 'anticipation': 0.0056, 'trust': 0.005, 'surprise': 0.0044, 'sadness': 0.0049, 'disgust': 0.0034, 'joy': 0.0057, 'a_score': 0.3695}",DecisionTreeClassifier()
