Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.8488,0.8656,0.8488,0.8216,0.865,0.8844,0.865,0.8571,0.8652,0.8853,0.8652,0.857,0.921,not-balanced,100,10,10,4,724,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0013, 'anger': 0.0005, 'anticipation': 0.0004, 'trust': 0.0013, 'surprise': 0.0004, 'sadness': 0.0009, 'disgust': 0.0003, 'joy': 0.0025, 'a_score': 0.2948}",MLPClassifier()
MLPClassifier,0.8569,0.8729,0.8569,0.8314,0.8642,0.883,0.8642,0.856,0.865,0.8843,0.865,0.857,0.9242,not-balanced,100,10,3,1,3,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0024, 'anger': 0.0014, 'anticipation': 0.0008, 'trust': 0.0014, 'surprise': 0.0013, 'sadness': 0.0027, 'disgust': 0.0018, 'joy': 0.0021, 'a_score': 0.2977}",MLPClassifier()
MLPClassifier,0.8426,0.8565,0.8426,0.8151,0.8634,0.8845,0.8634,0.855,0.8649,0.886,0.8649,0.8565,0.916,not-balanced,100,10,1,3,836,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0005, 'anger': 0.0003, 'anticipation': 0.0006, 'trust': 0.0001, 'surprise': 0.0002, 'sadness': 0.0012, 'disgust': 0.0012, 'joy': 0.0008, 'a_score': 0.296}",MLPClassifier()
MLPClassifier,0.8385,0.8558,0.8385,0.8134,0.8702,0.8886,0.8702,0.8624,0.8649,0.8846,0.8649,0.8569,0.9186,not-balanced,100,10,4,2,797,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0018, 'anger': 0.0004, 'anticipation': 0.0009, 'trust': 0.0014, 'surprise': 0.001, 'sadness': 0.0012, 'disgust': 0.0008, 'joy': 0.0012, 'a_score': 0.2974}",MLPClassifier()
MLPClassifier,0.8604,0.8772,0.8604,0.8353,0.8594,0.8794,0.8594,0.8506,0.8648,0.8839,0.8648,0.8569,0.9239,not-balanced,100,10,10,5,870,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0014, 'anger': 0.0013, 'anticipation': 0.0012, 'trust': 0.0015, 'surprise': 0.0009, 'sadness': 0.0009, 'disgust': 0.0011, 'joy': 0.0057, 'a_score': 0.3046}",MLPClassifier()
MLPClassifier,0.8239,0.8391,0.8239,0.7984,0.8697,0.8892,0.8697,0.8615,0.8646,0.8863,0.8646,0.8561,0.9127,not-balanced,100,10,7,2,218,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0005, 'anger': 0.0003, 'anticipation': -0.0001, 'trust': 0.0006, 'surprise': 0.0003, 'sadness': 0.0002, 'disgust': 0.0004, 'joy': 0.0008, 'a_score': 0.2965}",MLPClassifier()
MLPClassifier,0.8303,0.8444,0.8303,0.8036,0.8656,0.8845,0.8656,0.8578,0.8646,0.8842,0.8646,0.8565,0.9142,not-balanced,100,10,7,3,819,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.001, 'anger': 0.0019, 'anticipation': 0.0008, 'trust': 0.0006, 'surprise': 0.001, 'sadness': 0.0023, 'disgust': 0.0015, 'joy': 0.0014, 'a_score': 0.2975}",MLPClassifier()
MLPClassifier,0.845,0.8598,0.845,0.8167,0.8623,0.8829,0.8623,0.8537,0.8645,0.8849,0.8645,0.8563,0.9177,not-balanced,100,10,9,4,787,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0006, 'anticipation': 0.0005, 'trust': 0.0013, 'surprise': 0.0013, 'sadness': 0.0005, 'disgust': 0.0009, 'joy': 0.0019, 'a_score': 0.2972}",MLPClassifier()
MLPClassifier,0.8205,0.8304,0.8205,0.7939,0.8648,0.8813,0.8648,0.8571,0.8642,0.881,0.8642,0.8566,0.9083,not-balanced,100,10,6,3,494,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0008, 'anticipation': 0.0011, 'trust': 0.0012, 'surprise': 0.0009, 'sadness': 0.0026, 'disgust': 0.0004, 'joy': 0.0023, 'a_score': 0.3001}",MLPClassifier()
MLPClassifier,0.8478,0.8653,0.8478,0.8217,0.8673,0.8848,0.8673,0.8597,0.8642,0.8826,0.8642,0.8563,0.9208,not-balanced,100,10,7,4,835,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0023, 'anger': 0.0011, 'anticipation': 0.0009, 'trust': 0.0009, 'surprise': 0.0009, 'sadness': 0.0025, 'disgust': 0.0005, 'joy': 0.0025, 'a_score': 0.2937}",MLPClassifier()
MLPClassifier,0.8288,0.8443,0.8288,0.8035,0.8673,0.8848,0.8673,0.8597,0.8642,0.8839,0.8642,0.856,0.9116,not-balanced,100,10,9,3,265,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.003, 'anger': 0.0006, 'anticipation': 0.0006, 'trust': 0.0009, 'surprise': 0.0017, 'sadness': 0.0013, 'disgust': 0.0016, 'joy': 0.001, 'a_score': 0.2924}",MLPClassifier()
MLPClassifier,0.8635,0.8803,0.8635,0.8384,0.8623,0.8808,0.8623,0.8543,0.8642,0.8825,0.8642,0.8563,0.928,not-balanced,100,10,8,5,112,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0022, 'anticipation': 0.0009, 'trust': 0.0012, 'surprise': 0.0009, 'sadness': 0.0022, 'disgust': 0.0019, 'joy': 0.0013, 'a_score': 0.2946}",MLPClassifier()
