Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8429,0.8627,0.8429,0.784,0.8492,0.8719,0.8492,0.8493,0.8543,0.8748,0.8543,0.8545,0.9464,not-balanced,100,10,10,1,279,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0108, 'anger': 0.0066, 'anticipation': 0.01, 'trust': 0.0104, 'surprise': 0.0075, 'sadness': 0.0125, 'disgust': 0.0079, 'joy': 0.011, 'a_score': 0.4395}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8427,0.8587,0.8427,0.7755,0.8453,0.8603,0.8453,0.8449,0.8531,0.8678,0.8531,0.8529,0.945,not-balanced,100,10,5,3,769,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0138, 'anger': 0.0071, 'anticipation': 0.0103, 'trust': 0.0093, 'surprise': 0.0087, 'sadness': 0.0157, 'disgust': 0.0063, 'joy': 0.0089, 'a_score': 0.4353}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8477,0.8646,0.8477,0.7863,0.8431,0.8606,0.8431,0.8434,0.8529,0.8687,0.8529,0.853,0.9495,not-balanced,100,10,2,5,263,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.015, 'anger': 0.0064, 'anticipation': 0.0115, 'trust': 0.0104, 'surprise': 0.01, 'sadness': 0.0156, 'disgust': 0.0097, 'joy': 0.008, 'a_score': 0.4376}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8411,0.8541,0.8411,0.7717,0.8478,0.8602,0.8478,0.8474,0.8526,0.864,0.8526,0.8522,0.9444,not-balanced,100,10,1,3,553,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0122, 'anger': 0.0075, 'anticipation': 0.0126, 'trust': 0.0134, 'surprise': 0.0096, 'sadness': 0.0153, 'disgust': 0.0077, 'joy': 0.0127, 'a_score': 0.4324}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8411,0.8586,0.8411,0.7771,0.8484,0.871,0.8484,0.8486,0.8525,0.8739,0.8525,0.8529,0.9486,not-balanced,100,10,6,4,452,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0128, 'anger': 0.0079, 'anticipation': 0.0094, 'trust': 0.0116, 'surprise': 0.0077, 'sadness': 0.0141, 'disgust': 0.0077, 'joy': 0.0093, 'a_score': 0.4407}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8461,0.8576,0.8461,0.7631,0.8439,0.858,0.8439,0.8434,0.8524,0.8663,0.8524,0.8523,0.9471,not-balanced,100,10,3,4,911,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0147, 'anger': 0.0069, 'anticipation': 0.0104, 'trust': 0.0098, 'surprise': 0.0105, 'sadness': 0.0131, 'disgust': 0.0075, 'joy': 0.0089, 'a_score': 0.4363}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8468,0.8619,0.8468,0.7696,0.8456,0.8672,0.8456,0.8453,0.8521,0.8718,0.8521,0.8523,0.95,not-balanced,100,10,6,1,108,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0132, 'anger': 0.0067, 'anticipation': 0.0101, 'trust': 0.0103, 'surprise': 0.0076, 'sadness': 0.0104, 'disgust': 0.0068, 'joy': 0.0082, 'a_score': 0.4403}",DecisionTreeClassifier()
DecisionTreeClassifier,0.85,0.8673,0.85,0.7893,0.839,0.8559,0.839,0.8386,0.852,0.8672,0.852,0.8521,0.9495,not-balanced,100,10,3,2,626,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0129, 'anger': 0.0056, 'anticipation': 0.0104, 'trust': 0.0104, 'surprise': 0.0087, 'sadness': 0.015, 'disgust': 0.0072, 'joy': 0.014, 'a_score': 0.4421}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8426,0.8508,0.8426,0.7432,0.8445,0.8613,0.8445,0.8438,0.8519,0.8688,0.8519,0.8517,0.9465,not-balanced,100,10,5,1,611,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0125, 'anger': 0.0096, 'anticipation': 0.0085, 'trust': 0.0104, 'surprise': 0.0093, 'sadness': 0.014, 'disgust': 0.0058, 'joy': 0.008, 'a_score': 0.4335}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8479,0.8685,0.8479,0.7894,0.8452,0.8669,0.8452,0.8457,0.8519,0.8712,0.8519,0.8523,0.9498,not-balanced,100,10,7,2,902,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0133, 'anger': 0.0082, 'anticipation': 0.0099, 'trust': 0.0109, 'surprise': 0.0079, 'sadness': 0.0126, 'disgust': 0.0079, 'joy': 0.0087, 'a_score': 0.4396}",DecisionTreeClassifier()
