Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
GaussianNB,0.5518,0.5499,0.5518,0.583,0.5883,0.5903,0.5883,0.5744,0.5858,0.586,0.5858,0.5718,0.7192,not-balanced,100,10,1,1,374,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': -0.001, 'anticipation': 0.0019, 'trust': 0.0, 'surprise': 0.0039, 'sadness': 0.0001, 'disgust': -0.0006, 'joy': 0.0065, 'a_score': 0.1813}",GaussianNB()
GaussianNB,0.5849,0.586,0.5849,0.6011,0.5975,0.5981,0.5975,0.5844,0.5851,0.5852,0.5851,0.5723,0.7178,not-balanced,100,10,8,4,31,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0037, 'anger': 0.0012, 'anticipation': 0.0017, 'trust': 0.0023, 'surprise': 0.006, 'sadness': -0.0, 'disgust': -0.0002, 'joy': 0.0077, 'a_score': 0.1704}",GaussianNB()
GaussianNB,0.5578,0.5572,0.5578,0.5838,0.5905,0.59,0.5905,0.5773,0.5833,0.5831,0.5833,0.5702,0.715,not-balanced,100,10,10,2,115,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0022, 'anger': 0.0008, 'anticipation': 0.0034, 'trust': 0.004, 'surprise': 0.0003, 'sadness': 0.0, 'disgust': 0.0001, 'joy': 0.007, 'a_score': 0.1715}",GaussianNB()
GaussianNB,0.5712,0.5703,0.5712,0.5939,0.5871,0.5873,0.5871,0.5754,0.5808,0.5804,0.5808,0.5689,0.7172,not-balanced,100,10,6,1,376,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0081, 'anticipation': 0.0027, 'trust': 0.0063, 'surprise': 0.0025, 'sadness': 0.001, 'disgust': 0.0072, 'joy': 0.0084, 'a_score': 0.162}",GaussianNB()
GaussianNB,0.5793,0.578,0.5793,0.6011,0.5742,0.5745,0.5742,0.5639,0.5807,0.5804,0.5807,0.5699,0.7178,not-balanced,100,10,2,5,618,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0078, 'anger': 0.002, 'anticipation': 0.0013, 'trust': 0.0024, 'surprise': 0.0036, 'sadness': 0.0037, 'disgust': 0.0067, 'joy': 0.0055, 'a_score': 0.1732}",GaussianNB()
GaussianNB,0.5757,0.5743,0.5757,0.5961,0.5897,0.5916,0.5897,0.5772,0.5801,0.5795,0.5801,0.5658,0.7186,not-balanced,100,10,3,4,797,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anger': 0.0041, 'anticipation': 0.0065, 'trust': 0.0031, 'surprise': 0.0006, 'sadness': 0.0016, 'disgust': 0.0023, 'joy': 0.009, 'a_score': 0.168}",GaussianNB()
GaussianNB,0.5615,0.5585,0.5615,0.5879,0.5764,0.5767,0.5764,0.5683,0.5743,0.5736,0.5743,0.5645,0.7157,not-balanced,100,10,9,1,981,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0004, 'anticipation': 0.0091, 'trust': 0.0071, 'surprise': 0.0009, 'sadness': -0.0002, 'disgust': 0.002, 'joy': 0.0108, 'a_score': 0.1612}",GaussianNB()
GaussianNB,0.524,0.5378,0.524,0.5628,0.5588,0.5768,0.5588,0.5522,0.5612,0.5785,0.5612,0.5555,0.722,not-balanced,100,10,6,5,521,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0016, 'anger': 0.0001, 'anticipation': 0.0093, 'trust': 0.0097, 'surprise': -0.0037, 'sadness': 0.0072, 'disgust': 0.0049, 'joy': 0.0065, 'a_score': 0.1419}",GaussianNB()
GaussianNB,0.4935,0.5,0.4935,0.5387,0.5606,0.5758,0.5606,0.5547,0.5606,0.5763,0.5606,0.5554,0.7246,not-balanced,100,10,2,3,49,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0, 'anger': 0.0054, 'anticipation': 0.0075, 'trust': 0.0092, 'surprise': -0.0021, 'sadness': 0.0063, 'disgust': 0.0067, 'joy': 0.0057, 'a_score': 0.144}",GaussianNB()
GaussianNB,0.518,0.5298,0.518,0.5576,0.5544,0.5741,0.5544,0.5482,0.5593,0.5756,0.5593,0.5538,0.7241,not-balanced,100,10,10,1,705,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0096, 'anger': -0.0011, 'anticipation': 0.0081, 'trust': 0.0077, 'surprise': -0.0022, 'sadness': 0.012, 'disgust': -0.001, 'joy': 0.0063, 'a_score': 0.146}",GaussianNB()
GaussianNB,0.5594,0.5584,0.5594,0.586,0.5664,0.5637,0.5664,0.5563,0.558,0.5556,0.558,0.5477,0.7165,not-balanced,100,10,8,1,126,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0015, 'anger': -0.0008, 'anticipation': 0.0013, 'trust': -0.0016, 'surprise': 0.0043, 'sadness': -0.002, 'disgust': 0.0005, 'joy': 0.004, 'a_score': 0.1416}",GaussianNB()
GaussianNB,0.4914,0.4993,0.4914,0.5354,0.551,0.5673,0.551,0.5444,0.5558,0.5742,0.5558,0.5492,0.7203,not-balanced,100,10,5,3,736,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0015, 'anger': -0.0015, 'anticipation': 0.0092, 'trust': 0.0098, 'surprise': 0.0007, 'sadness': 0.0054, 'disgust': 0.0008, 'joy': 0.005, 'a_score': 0.1417}",GaussianNB()
GaussianNB,0.5193,0.5153,0.5193,0.5584,0.5315,0.5281,0.5315,0.5227,0.5228,0.5181,0.5228,0.513,0.7183,not-balanced,100,10,7,3,970,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0035, 'anger': -0.0036, 'anticipation': -0.0076, 'trust': -0.0045, 'surprise': -0.0007, 'sadness': -0.0074, 'disgust': 0.0027, 'joy': -0.0001, 'a_score': 0.1129}",GaussianNB()
GaussianNB,0.5424,0.5408,0.5424,0.574,0.5187,0.5141,0.5187,0.5099,0.5194,0.5158,0.5194,0.511,0.7194,not-balanced,100,10,4,2,355,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0029, 'anger': 0.0005, 'anticipation': -0.0065, 'trust': -0.005, 'surprise': 0.0015, 'sadness': -0.0072, 'disgust': 0.0016, 'joy': 0.002, 'a_score': 0.1118}",GaussianNB()
GaussianNB,0.5249,0.5216,0.5249,0.5642,0.5178,0.5141,0.5178,0.509,0.517,0.5125,0.517,0.5078,0.7191,not-balanced,100,10,9,3,771,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0056, 'anger': -0.0038, 'anticipation': -0.0027, 'trust': -0.006, 'surprise': -0.0006, 'sadness': 0.0037, 'disgust': 0.0017, 'joy': 0.0033, 'a_score': 0.1032}",GaussianNB()
