Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
LogisticRegression,0.4265,0.4205,0.4265,0.3012,0.4309,0.418,0.4309,0.4243,0.4226,0.4139,0.4226,0.4181,0.6702,not-balanced,100,10,9,1,226,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0011, 'anger': -0.0017, 'anticipation': -0.0001, 'trust': -0.0042, 'surprise': -0.0016, 'sadness': -0.0021, 'disgust': -0.0003, 'joy': -0.0064, 'a_score': -0.0247}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4256,0.419,0.4256,0.3012,0.4222,0.413,0.4222,0.4174,0.4198,0.4122,0.4198,0.4158,0.6755,not-balanced,100,10,2,5,511,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0034, 'anger': -0.0027, 'anticipation': 0.0017, 'trust': -0.0022, 'surprise': 0.0001, 'sadness': 0.0017, 'disgust': -0.0008, 'joy': -0.0039, 'a_score': -0.0229}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4226,0.416,0.4226,0.2988,0.4279,0.4194,0.4279,0.4235,0.4196,0.4123,0.4196,0.4158,0.6724,not-balanced,100,10,2,1,836,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0023, 'anger': -0.0001, 'anticipation': -0.0045, 'trust': -0.0043, 'surprise': 0.0026, 'sadness': -0.0031, 'disgust': -0.0013, 'joy': -0.0064, 'a_score': -0.0255}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4225,0.4158,0.4225,0.2998,0.428,0.4198,0.428,0.4238,0.4193,0.4121,0.4193,0.4155,0.6716,not-balanced,100,10,1,3,746,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0017, 'anger': -0.0008, 'anticipation': -0.0003, 'trust': -0.0052, 'surprise': 0.0001, 'sadness': -0.0016, 'disgust': -0.0003, 'joy': -0.0046, 'a_score': -0.0246}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4238,0.4172,0.4238,0.2994,0.426,0.4173,0.426,0.4215,0.4187,0.4113,0.4187,0.4148,0.672,not-balanced,100,10,4,2,223,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0035, 'anger': 0.001, 'anticipation': 0.0004, 'trust': -0.0025, 'surprise': -0.0023, 'sadness': -0.0028, 'disgust': -0.0021, 'joy': -0.0043, 'a_score': -0.0213}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4249,0.4188,0.4249,0.3005,0.4254,0.416,0.4254,0.4205,0.4166,0.4095,0.4166,0.4128,0.6709,not-balanced,100,10,3,4,412,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0027, 'anger': -0.0019, 'anticipation': 0.0025, 'trust': -0.0014, 'surprise': 0.0029, 'sadness': -0.002, 'disgust': -0.0009, 'joy': -0.0016, 'a_score': -0.025}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4185,0.4122,0.4185,0.2963,0.4277,0.4198,0.4277,0.4236,0.4162,0.4093,0.4162,0.4125,0.6705,not-balanced,100,10,1,5,488,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0021, 'anger': -0.0014, 'anticipation': -0.0002, 'trust': -0.0032, 'surprise': 0.0003, 'sadness': -0.0034, 'disgust': -0.0019, 'joy': -0.0051, 'a_score': -0.0258}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.42,0.4134,0.42,0.2975,0.4263,0.4211,0.4263,0.4236,0.4161,0.4102,0.4161,0.4129,0.6682,not-balanced,100,10,4,5,165,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': -0.0007, 'anticipation': -0.0006, 'trust': -0.003, 'surprise': 0.0017, 'sadness': -0.0014, 'disgust': 0.0001, 'joy': -0.0046, 'a_score': -0.0265}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4231,0.4156,0.4231,0.2997,0.4217,0.4151,0.4217,0.4183,0.416,0.4093,0.416,0.4125,0.6729,not-balanced,100,10,5,1,870,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0043, 'anger': 0.0001, 'anticipation': 0.0016, 'trust': -0.0013, 'surprise': 0.0021, 'sadness': -0.0024, 'disgust': -0.0015, 'joy': -0.0031, 'a_score': -0.0219}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.4242,0.4172,0.4242,0.3004,0.4234,0.4138,0.4234,0.4182,0.4156,0.4081,0.4156,0.4115,0.6732,not-balanced,100,10,8,1,714,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0033, 'anger': 0.001, 'anticipation': 0.0, 'trust': -0.002, 'surprise': 0.0004, 'sadness': -0.0008, 'disgust': -0.001, 'joy': -0.0047, 'a_score': -0.0256}","LogisticRegression(max_iter=100000, multi_class='multinomial')"
