Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.6015,0.6245,0.6015,0.4832,0.7445,0.7418,0.7445,0.7178,0.749,0.7491,0.749,0.7222,0.7591,not-balanced,100,10,9,2,104,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.018, 'anger': 0.0122, 'anticipation': 0.0149, 'trust': 0.0221, 'surprise': 0.0093, 'sadness': 0.0095, 'disgust': 0.0051, 'joy': 0.0068, 'a_score': 0.283}",MLPClassifier()
MLPClassifier,0.6035,0.6325,0.6035,0.4941,0.7361,0.7375,0.7361,0.7105,0.7385,0.7439,0.7385,0.7134,0.7568,not-balanced,100,10,2,3,981,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.0073, 'anticipation': 0.0163, 'trust': 0.0198, 'surprise': 0.0058, 'sadness': 0.0059, 'disgust': 0.0069, 'joy': 0.0094, 'a_score': 0.2777}",MLPClassifier()
MLPClassifier,0.595,0.6323,0.595,0.4866,0.7358,0.7775,0.7358,0.7199,0.7361,0.7798,0.7361,0.7204,0.7543,not-balanced,100,10,7,5,204,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0111, 'anger': 0.0018, 'anticipation': 0.005, 'trust': 0.019, 'surprise': 0.0068, 'sadness': 0.0088, 'disgust': 0.0019, 'joy': 0.0053, 'a_score': 0.3092}",MLPClassifier()
MLPClassifier,0.6062,0.6295,0.6062,0.458,0.728,0.7222,0.728,0.713,0.7279,0.721,0.7279,0.7116,0.7557,not-balanced,100,10,10,2,213,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0208, 'anger': 0.013, 'anticipation': 0.0144, 'trust': 0.0197, 'surprise': 0.0091, 'sadness': 0.0118, 'disgust': 0.0073, 'joy': 0.0108, 'a_score': 0.2707}",MLPClassifier()
MLPClassifier,0.6047,0.6234,0.6047,0.4524,0.7155,0.7176,0.7155,0.6948,0.7154,0.7134,0.7154,0.6944,0.7669,not-balanced,100,10,9,1,316,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0116, 'anger': 0.0108, 'anticipation': 0.0022, 'trust': 0.0165, 'surprise': 0.0058, 'sadness': 0.0088, 'disgust': 0.0106, 'joy': 0.0026, 'a_score': 0.2564}",MLPClassifier()
MLPClassifier,0.5994,0.6304,0.5994,0.4776,0.7197,0.7225,0.7197,0.6883,0.7138,0.7161,0.7138,0.6822,0.7639,not-balanced,100,10,2,2,814,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0122, 'anger': 0.0097, 'anticipation': 0.0054, 'trust': 0.0174, 'surprise': 0.007, 'sadness': 0.0141, 'disgust': 0.0096, 'joy': 0.0141, 'a_score': 0.2459}",MLPClassifier()
MLPClassifier,0.5969,0.6351,0.5969,0.4905,0.6691,0.6631,0.6691,0.6558,0.6694,0.6638,0.6694,0.6558,0.7669,not-balanced,100,10,5,2,54,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0065, 'anticipation': 0.0103, 'trust': 0.0199, 'surprise': -0.0001, 'sadness': 0.0038, 'disgust': 0.0048, 'joy': 0.0099, 'a_score': 0.2111}",MLPClassifier()
MLPClassifier,0.6047,0.6254,0.6047,0.4865,0.6671,0.67,0.6671,0.6644,0.6673,0.6701,0.6673,0.665,0.77,not-balanced,100,10,3,1,711,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0174, 'anger': -0.0003, 'anticipation': 0.0022, 'trust': 0.0145, 'surprise': 0.0037, 'sadness': 0.014, 'disgust': 0.0125, 'joy': 0.0042, 'a_score': 0.2475}",MLPClassifier()
MLPClassifier,0.5938,0.6123,0.5938,0.4713,0.6626,0.6588,0.6626,0.6482,0.6663,0.664,0.6663,0.6515,0.7568,not-balanced,100,10,4,5,745,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0079, 'anger': 0.0084, 'anticipation': 0.0058, 'trust': 0.0157, 'surprise': 0.0043, 'sadness': 0.0021, 'disgust': 0.0071, 'joy': 0.0076, 'a_score': 0.2056}",MLPClassifier()
MLPClassifier,0.6109,0.6333,0.6109,0.4676,0.619,0.6424,0.619,0.5699,0.6216,0.6469,0.6216,0.5736,0.7626,not-balanced,100,10,10,1,307,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.002, 'anticipation': 0.0075, 'trust': 0.0066, 'surprise': 0.0053, 'sadness': 0.0103, 'disgust': 0.0053, 'joy': 0.0013, 'a_score': 0.157}",MLPClassifier()
MLPClassifier,0.6112,0.6333,0.6112,0.496,0.6181,0.6373,0.6181,0.5703,0.619,0.6361,0.619,0.5721,0.7702,not-balanced,100,10,3,4,268,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0099, 'anger': 0.0039, 'anticipation': 0.0038, 'trust': 0.0065, 'surprise': 0.0049, 'sadness': 0.0084, 'disgust': 0.0018, 'joy': 0.0065, 'a_score': 0.1592}",MLPClassifier()
MLPClassifier,0.5965,0.6265,0.5965,0.457,0.6169,0.6368,0.6169,0.564,0.6189,0.6435,0.6189,0.5665,0.7713,not-balanced,100,10,7,3,533,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0065, 'anticipation': 0.0021, 'trust': 0.0056, 'surprise': 0.0037, 'sadness': 0.0049, 'disgust': 0.0047, 'joy': 0.0015, 'a_score': 0.1573}",MLPClassifier()
MLPClassifier,0.6063,0.6153,0.6063,0.4629,0.6168,0.6375,0.6168,0.5626,0.6186,0.6337,0.6186,0.5661,0.7579,not-balanced,100,10,4,1,382,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0067, 'anger': 0.0033, 'anticipation': 0.0039, 'trust': 0.0081, 'surprise': 0.0058, 'sadness': 0.0049, 'disgust': 0.0039, 'joy': 0.0075, 'a_score': 0.1484}",MLPClassifier()
MLPClassifier,0.617,0.6433,0.617,0.4911,0.6067,0.6241,0.6067,0.5526,0.6176,0.6388,0.6176,0.5661,0.7635,not-balanced,100,10,6,2,412,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0048, 'anger': 0.0042, 'anticipation': 0.0023, 'trust': 0.0073, 'surprise': 0.0023, 'sadness': 0.0042, 'disgust': 0.0059, 'joy': 0.0065, 'a_score': 0.1528}",MLPClassifier()
MLPClassifier,0.6038,0.6262,0.6038,0.4695,0.6103,0.6551,0.6103,0.5529,0.6173,0.6626,0.6173,0.5643,0.7759,not-balanced,100,10,8,1,403,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.003, 'anticipation': 0.0075, 'trust': 0.0052, 'surprise': 0.0054, 'sadness': 0.0091, 'disgust': 0.0049, 'joy': 0.0056, 'a_score': 0.1872}",MLPClassifier()
MLPClassifier,0.5997,0.6105,0.5997,0.4618,0.616,0.6317,0.616,0.567,0.6173,0.6351,0.6173,0.5701,0.761,not-balanced,100,10,5,1,576,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0088, 'anger': 0.0041, 'anticipation': 0.008, 'trust': 0.0069, 'surprise': 0.0046, 'sadness': 0.0057, 'disgust': 0.0061, 'joy': 0.0029, 'a_score': 0.1496}",MLPClassifier()
MLPClassifier,0.5992,0.6238,0.5992,0.4551,0.6132,0.634,0.6132,0.5592,0.6172,0.6402,0.6172,0.5634,0.7572,not-balanced,100,10,7,1,745,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0064, 'anger': 0.0049, 'anticipation': 0.005, 'trust': 0.007, 'surprise': 0.0005, 'sadness': 0.0072, 'disgust': 0.005, 'joy': 0.0012, 'a_score': 0.1484}",MLPClassifier()
