Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.848,0.8661,0.848,0.7834,0.8446,0.8645,0.8446,0.8439,0.8541,0.8717,0.8541,0.8537,0.9627,not-balanced,100,10,4,4,635,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0104, 'anger': 0.0069, 'anticipation': 0.0077, 'trust': 0.0091, 'surprise': 0.0088, 'sadness': 0.0104, 'disgust': 0.0055, 'joy': 0.007, 'a_score': 0.4362}",RandomForestClassifier()
RandomForestClassifier,0.8449,0.8551,0.8449,0.7513,0.8502,0.869,0.8502,0.8498,0.8539,0.8727,0.8539,0.8536,0.9623,not-balanced,100,10,6,3,228,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0066, 'anticipation': 0.0079, 'trust': 0.0112, 'surprise': 0.0071, 'sadness': 0.0134, 'disgust': 0.0072, 'joy': 0.0076, 'a_score': 0.4378}",RandomForestClassifier()
RandomForestClassifier,0.8454,0.866,0.8454,0.7874,0.8465,0.869,0.8465,0.8464,0.8539,0.8743,0.8539,0.8538,0.9616,not-balanced,100,10,4,1,616,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0086, 'anger': 0.007, 'anticipation': 0.0087, 'trust': 0.0095, 'surprise': 0.0083, 'sadness': 0.009, 'disgust': 0.0073, 'joy': 0.0079, 'a_score': 0.4396}",RandomForestClassifier()
RandomForestClassifier,0.8458,0.8675,0.8458,0.7864,0.8482,0.8686,0.8482,0.8479,0.8533,0.8741,0.8533,0.8532,0.9612,not-balanced,100,10,4,5,877,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0063, 'anticipation': 0.008, 'trust': 0.0083, 'surprise': 0.0081, 'sadness': 0.0102, 'disgust': 0.007, 'joy': 0.008, 'a_score': 0.4372}",RandomForestClassifier()
RandomForestClassifier,0.8468,0.8671,0.8468,0.7885,0.8474,0.8735,0.8474,0.8477,0.8533,0.8746,0.8533,0.8532,0.9622,not-balanced,100,10,10,4,913,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0061, 'anticipation': 0.0093, 'trust': 0.0093, 'surprise': 0.0063, 'sadness': 0.0088, 'disgust': 0.0074, 'joy': 0.0073, 'a_score': 0.4406}",RandomForestClassifier()
RandomForestClassifier,0.8481,0.8646,0.8481,0.7716,0.8435,0.8688,0.8435,0.8433,0.8532,0.8744,0.8532,0.8535,0.9618,not-balanced,100,10,1,1,142,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0109, 'anger': 0.0065, 'anticipation': 0.0072, 'trust': 0.0089, 'surprise': 0.0074, 'sadness': 0.0111, 'disgust': 0.0071, 'joy': 0.0064, 'a_score': 0.4404}",RandomForestClassifier()
RandomForestClassifier,0.8462,0.8646,0.8462,0.7828,0.8445,0.8645,0.8445,0.8442,0.8531,0.871,0.8531,0.8528,0.9616,not-balanced,100,10,1,4,544,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0064, 'anticipation': 0.0085, 'trust': 0.011, 'surprise': 0.0073, 'sadness': 0.0098, 'disgust': 0.0058, 'joy': 0.0074, 'a_score': 0.4376}",RandomForestClassifier()
RandomForestClassifier,0.8427,0.856,0.8427,0.7554,0.8469,0.8647,0.8469,0.8463,0.853,0.871,0.853,0.8529,0.9617,not-balanced,100,10,4,2,74,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0125, 'anger': 0.0069, 'anticipation': 0.0097, 'trust': 0.0096, 'surprise': 0.0076, 'sadness': 0.011, 'disgust': 0.0065, 'joy': 0.0078, 'a_score': 0.4358}",RandomForestClassifier()
RandomForestClassifier,0.8433,0.858,0.8433,0.7668,0.8492,0.8712,0.8492,0.8488,0.8528,0.8742,0.8528,0.8528,0.9621,not-balanced,100,10,10,2,239,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0092, 'anger': 0.0058, 'anticipation': 0.0089, 'trust': 0.0109, 'surprise': 0.0071, 'sadness': 0.0089, 'disgust': 0.0057, 'joy': 0.0085, 'a_score': 0.4386}",RandomForestClassifier()
RandomForestClassifier,0.8448,0.8662,0.8448,0.7831,0.8487,0.8651,0.8487,0.8479,0.8528,0.8693,0.8528,0.8525,0.9622,not-balanced,100,10,1,2,710,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.012, 'anger': 0.0063, 'anticipation': 0.0091, 'trust': 0.0101, 'surprise': 0.0077, 'sadness': 0.0103, 'disgust': 0.0068, 'joy': 0.0084, 'a_score': 0.4353}",RandomForestClassifier()
RandomForestClassifier,0.8445,0.8653,0.8445,0.7832,0.8466,0.8688,0.8466,0.8464,0.8527,0.8729,0.8527,0.8525,0.9618,not-balanced,100,10,2,2,36,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0103, 'anger': 0.0062, 'anticipation': 0.0093, 'trust': 0.0084, 'surprise': 0.0073, 'sadness': 0.0101, 'disgust': 0.0076, 'joy': 0.0095, 'a_score': 0.4365}",RandomForestClassifier()
RandomForestClassifier,0.8432,0.8551,0.8432,0.7539,0.8483,0.8635,0.8483,0.8475,0.8524,0.8697,0.8524,0.8524,0.9615,not-balanced,100,10,7,5,383,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0105, 'anger': 0.0065, 'anticipation': 0.0087, 'trust': 0.0095, 'surprise': 0.0076, 'sadness': 0.0101, 'disgust': 0.0066, 'joy': 0.0072, 'a_score': 0.4358}",RandomForestClassifier()
RandomForestClassifier,0.8494,0.8699,0.8494,0.7905,0.8435,0.8657,0.8435,0.843,0.8523,0.8727,0.8523,0.8521,0.9627,not-balanced,100,10,9,4,853,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0091, 'anger': 0.0065, 'anticipation': 0.009, 'trust': 0.01, 'surprise': 0.0088, 'sadness': 0.012, 'disgust': 0.0052, 'joy': 0.0078, 'a_score': 0.4376}",RandomForestClassifier()
RandomForestClassifier,0.8426,0.8559,0.8426,0.7547,0.8474,0.8753,0.8474,0.8473,0.8522,0.8766,0.8522,0.8522,0.9627,not-balanced,100,10,3,4,245,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0095, 'anger': 0.0066, 'anticipation': 0.0067, 'trust': 0.0082, 'surprise': 0.0078, 'sadness': 0.0099, 'disgust': 0.0064, 'joy': 0.0074, 'a_score': 0.4408}",RandomForestClassifier()
RandomForestClassifier,0.8473,0.8693,0.8473,0.7888,0.8451,0.8688,0.8451,0.8453,0.8522,0.8739,0.8522,0.8522,0.9619,not-balanced,100,10,6,2,220,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0095, 'anger': 0.0058, 'anticipation': 0.0098, 'trust': 0.0109, 'surprise': 0.0077, 'sadness': 0.008, 'disgust': 0.0059, 'joy': 0.0113, 'a_score': 0.44}",RandomForestClassifier()
RandomForestClassifier,0.8471,0.8682,0.8471,0.789,0.8472,0.8746,0.8472,0.8474,0.8521,0.8772,0.8521,0.8523,0.9623,not-balanced,100,10,9,2,116,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0073, 'anger': 0.0051, 'anticipation': 0.0081, 'trust': 0.0086, 'surprise': 0.0072, 'sadness': 0.0095, 'disgust': 0.0061, 'joy': 0.0082, 'a_score': 0.4391}",RandomForestClassifier()
RandomForestClassifier,0.8471,0.8391,0.8471,0.7142,0.8429,0.8362,0.8429,0.8345,0.8519,0.844,0.8519,0.8436,0.9621,not-balanced,100,10,6,5,505,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0102, 'anger': 0.0073, 'anticipation': 0.0088, 'trust': 0.0107, 'surprise': 0.0078, 'sadness': 0.0129, 'disgust': 0.0074, 'joy': 0.0068, 'a_score': 0.4135}",RandomForestClassifier()
RandomForestClassifier,0.8427,0.8369,0.8427,0.7055,0.8488,0.8427,0.8488,0.841,0.8519,0.8448,0.8519,0.8438,0.9615,not-balanced,100,10,7,2,113,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.009, 'anger': 0.0063, 'anticipation': 0.0082, 'trust': 0.0095, 'surprise': 0.0065, 'sadness': 0.0079, 'disgust': 0.0068, 'joy': 0.011, 'a_score': 0.405}",RandomForestClassifier()
