Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
SVC,0.574,0.5296,0.574,0.385,0.5774,0.5381,0.5774,0.5231,0.5847,0.5448,0.5847,0.5308,0.6527,not-balanced,100,10,9,3,925,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0, 'anger': -0.0001, 'anticipation': 0.0009, 'trust': -0.001, 'surprise': 0.0006, 'sadness': 0.0003, 'disgust': -0.0001, 'joy': 0.004, 'a_score': 0.1117}",SVC(probability=True)
SVC,0.581,0.535,0.581,0.39,0.5822,0.5401,0.5822,0.5489,0.5846,0.5401,0.5846,0.5504,0.6627,not-balanced,100,10,2,5,574,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0026, 'anger': -0.002, 'anticipation': -0.0027, 'trust': -0.0023, 'surprise': -0.0, 'sadness': -0.0038, 'disgust': -0.0022, 'joy': 0.0006, 'a_score': 0.1243}",SVC(probability=True)
SVC,0.5766,0.5335,0.5766,0.3905,0.5874,0.5409,0.5874,0.5547,0.5828,0.5381,0.5828,0.5502,0.6739,not-balanced,100,10,3,4,156,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0022, 'anger': -0.0005, 'anticipation': -0.0033, 'trust': -0.0028, 'surprise': -0.0001, 'sadness': -0.0002, 'disgust': -0.0004, 'joy': -0.0001, 'a_score': 0.1163}",SVC(probability=True)
SVC,0.5722,0.5287,0.5722,0.3883,0.5854,0.5398,0.5854,0.5534,0.5827,0.5381,0.5827,0.5502,0.6654,not-balanced,100,10,1,3,176,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0031, 'anger': -0.0022, 'anticipation': -0.0027, 'trust': -0.0025, 'surprise': -0.0002, 'sadness': 0.0001, 'disgust': -0.0001, 'joy': -0.0004, 'a_score': 0.1152}",SVC(probability=True)
SVC,0.5674,0.5226,0.5674,0.3829,0.5833,0.5393,0.5833,0.5529,0.5824,0.5378,0.5824,0.5505,0.6629,not-balanced,100,10,5,1,245,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0018, 'anger': -0.0021, 'anticipation': -0.0005, 'trust': -0.0007, 'surprise': 0.0007, 'sadness': -0.0016, 'disgust': -0.0003, 'joy': 0.0001, 'a_score': 0.1174}",SVC(probability=True)
SVC,0.5578,0.5127,0.5578,0.3768,0.5917,0.5482,0.5917,0.5617,0.5821,0.5375,0.5821,0.55,0.6652,not-balanced,100,10,7,2,561,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0015, 'anger': -0.0, 'anticipation': -0.0036, 'trust': -0.0029, 'surprise': 0.0002, 'sadness': 0.0003, 'disgust': 0.0002, 'joy': -0.0004, 'a_score': 0.1128}",SVC(probability=True)
SVC,0.5808,0.5379,0.5808,0.3759,0.5701,0.53,0.5701,0.5158,0.5814,0.5408,0.5814,0.5275,0.6523,not-balanced,100,10,4,5,687,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': 0.0001, 'anticipation': -0.0001, 'trust': -0.0001, 'surprise': 0.0, 'sadness': 0.0002, 'disgust': 0.0004, 'joy': 0.0006, 'a_score': 0.11}",SVC(probability=True)
SVC,0.5671,0.5242,0.5671,0.3762,0.5779,0.5354,0.5779,0.5247,0.5814,0.5409,0.5814,0.5275,0.647,not-balanced,100,10,3,1,486,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0001, 'anger': 0.0, 'anticipation': 0.0002, 'trust': 0.0001, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0002, 'joy': 0.0007, 'a_score': 0.1059}",SVC(probability=True)
SVC,0.581,0.535,0.581,0.3859,0.5738,0.5368,0.5738,0.5194,0.5814,0.5409,0.5814,0.5274,0.6558,not-balanced,100,10,4,1,546,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0, 'anger': 0.0002, 'anticipation': 0.0002, 'trust': -0.0007, 'surprise': 0.0001, 'sadness': 0.0001, 'disgust': 0.0005, 'joy': 0.0006, 'a_score': 0.1111}",SVC(probability=True)
SVC,0.5715,0.5311,0.5715,0.3741,0.5721,0.527,0.5721,0.5161,0.5814,0.5407,0.5814,0.5278,0.6502,not-balanced,100,10,3,5,383,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0001, 'anger': 0.0001, 'anticipation': 0.0002, 'trust': 0.0001, 'surprise': 0.0004, 'sadness': 0.0003, 'disgust': 0.0, 'joy': 0.001, 'a_score': 0.1108}",SVC(probability=True)
SVC,0.5739,0.529,0.5739,0.377,0.5739,0.5356,0.5739,0.5196,0.5814,0.5408,0.5814,0.5277,0.6431,not-balanced,100,10,8,4,766,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0, 'anger': 0.0, 'anticipation': 0.0005, 'trust': -0.0001, 'surprise': 0.0002, 'sadness': 0.0003, 'disgust': 0.0002, 'joy': 0.001, 'a_score': 0.1128}",SVC(probability=True)
SVC,0.5782,0.536,0.5782,0.3737,0.5753,0.5342,0.5753,0.522,0.5814,0.5408,0.5814,0.5276,0.651,not-balanced,100,10,7,3,140,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0001, 'anger': 0.0001, 'anticipation': 0.0002, 'trust': 0.0002, 'surprise': 0.0004, 'sadness': 0.0009, 'disgust': 0.0, 'joy': 0.0007, 'a_score': 0.1113}",SVC(probability=True)
SVC,0.5687,0.5271,0.5687,0.3705,0.5741,0.5321,0.5741,0.5202,0.5814,0.5408,0.5814,0.5275,0.6456,not-balanced,100,10,4,3,253,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0001, 'anger': 0.0002, 'anticipation': 0.0002, 'trust': 0.0003, 'surprise': 0.0007, 'sadness': 0.0003, 'disgust': 0.0005, 'joy': 0.0003, 'a_score': 0.1071}",SVC(probability=True)
SVC,0.577,0.5342,0.577,0.3729,0.5766,0.5364,0.5766,0.5233,0.5813,0.5407,0.5813,0.5276,0.6449,not-balanced,100,10,6,2,532,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0002, 'anticipation': 0.0001, 'trust': 0.0001, 'surprise': 0.0004, 'sadness': 0.0012, 'disgust': -0.0001, 'joy': 0.0006, 'a_score': 0.1052}",SVC(probability=True)
SVC,0.5724,0.5291,0.5724,0.3772,0.5778,0.5359,0.5778,0.5253,0.5813,0.5407,0.5813,0.5275,0.6437,not-balanced,100,10,10,2,612,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0001, 'anger': -0.0, 'anticipation': -0.0, 'trust': 0.0001, 'surprise': 0.0005, 'sadness': 0.0001, 'disgust': 0.0, 'joy': 0.0004, 'a_score': 0.1074}",SVC(probability=True)
SVC,0.5582,0.5148,0.5582,0.373,0.5793,0.5379,0.5793,0.526,0.5813,0.5406,0.5813,0.5277,0.6387,not-balanced,100,10,2,2,781,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': -0.0, 'anticipation': -0.0001, 'trust': -0.0002, 'surprise': 0.0006, 'sadness': 0.0003, 'disgust': 0.0, 'joy': 0.0007, 'a_score': 0.1098}",SVC(probability=True)
SVC,0.5722,0.5305,0.5722,0.3783,0.576,0.5319,0.576,0.5208,0.5812,0.5406,0.5812,0.5273,0.6479,not-balanced,100,10,7,5,303,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0, 'anger': -0.0001, 'anticipation': 0.0003, 'trust': 0.0001, 'surprise': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0005, 'a_score': 0.1114}",SVC(probability=True)
SVC,0.5801,0.5372,0.5801,0.3782,0.5749,0.534,0.5749,0.5206,0.5812,0.5406,0.5812,0.5272,0.6519,not-balanced,100,10,6,4,528,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0, 'anger': -0.0001, 'anticipation': 0.0001, 'trust': 0.0001, 'surprise': 0.0001, 'sadness': -0.0001, 'disgust': 0.0006, 'joy': 0.0007, 'a_score': 0.1064}",SVC(probability=True)
SVC,0.5559,0.5136,0.5559,0.3687,0.5771,0.5339,0.5771,0.5231,0.5812,0.5406,0.5812,0.5274,0.6467,not-balanced,100,10,3,2,910,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0001, 'anger': 0.0002, 'anticipation': 0.0001, 'trust': -0.0001, 'surprise': 0.0003, 'sadness': 0.0001, 'disgust': 0.0006, 'joy': 0.0004, 'a_score': 0.1075}",SVC(probability=True)
SVC,0.5785,0.5355,0.5785,0.375,0.5738,0.5331,0.5738,0.5219,0.5812,0.5402,0.5812,0.5284,0.6489,not-balanced,100,10,2,1,37,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': 0.0002, 'anticipation': 0.0002, 'trust': 0.0006, 'surprise': 0.0001, 'sadness': 0.0009, 'disgust': 0.0002, 'joy': 0.0041, 'a_score': 0.1085}",SVC(probability=True)
SVC,0.566,0.524,0.566,0.3721,0.5775,0.5345,0.5775,0.5233,0.5809,0.5402,0.5809,0.5271,0.6489,not-balanced,100,10,4,2,402,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0, 'anger': -0.0, 'anticipation': 0.0001, 'trust': 0.0003, 'surprise': 0.0008, 'sadness': 0.0003, 'disgust': 0.0001, 'joy': 0.0006, 'a_score': 0.1063}",SVC(probability=True)
SVC,0.5577,0.5162,0.5577,0.3709,0.5738,0.5283,0.5738,0.519,0.5807,0.5398,0.5807,0.5274,0.6433,not-balanced,100,10,7,1,749,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0, 'anger': 0.0, 'anticipation': 0.0008, 'trust': -0.0001, 'surprise': 0.0007, 'sadness': 0.0002, 'disgust': 0.0005, 'joy': 0.0009, 'a_score': 0.1109}",SVC(probability=True)
SVC,0.5804,0.5379,0.5804,0.3758,0.5709,0.5298,0.5709,0.5177,0.5806,0.5396,0.5806,0.5276,0.6504,not-balanced,100,10,10,3,297,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0, 'anticipation': 0.0005, 'trust': 0.0006, 'surprise': 0.0004, 'sadness': -0.0001, 'disgust': 0.0002, 'joy': 0.0048, 'a_score': 0.1082}",SVC(probability=True)
SVC,0.5631,0.5208,0.5631,0.3722,0.5845,0.5414,0.5845,0.5326,0.5806,0.5395,0.5806,0.5275,0.6412,not-balanced,100,10,6,5,850,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0003, 'anger': 0.0002, 'anticipation': 0.0001, 'trust': 0.0007, 'surprise': 0.0002, 'sadness': -0.0003, 'disgust': 0.0006, 'joy': 0.0045, 'a_score': 0.1059}",SVC(probability=True)
SVC,0.5763,0.5325,0.5763,0.3735,0.5764,0.5366,0.5764,0.5243,0.5806,0.5395,0.5806,0.5276,0.6453,not-balanced,100,10,5,5,60,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0003, 'anger': 0.0002, 'anticipation': 0.0007, 'trust': 0.0, 'surprise': 0.0009, 'sadness': -0.0004, 'disgust': 0.0005, 'joy': 0.0035, 'a_score': 0.1075}",SVC(probability=True)
SVC,0.5511,0.5077,0.5511,0.3681,0.577,0.5361,0.577,0.523,0.5806,0.5395,0.5806,0.5276,0.6439,not-balanced,100,10,10,4,921,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': 0.0001, 'anticipation': 0.0004, 'trust': 0.0006, 'surprise': 0.0005, 'sadness': -0.0004, 'disgust': 0.0002, 'joy': 0.0041, 'a_score': 0.1063}",SVC(probability=True)
SVC,0.5725,0.5281,0.5725,0.3755,0.5765,0.5367,0.5765,0.5245,0.5806,0.5396,0.5806,0.5276,0.6457,not-balanced,100,10,9,2,706,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0001, 'anger': -0.0001, 'anticipation': 0.0005, 'trust': 0.0004, 'surprise': 0.0001, 'sadness': -0.0006, 'disgust': -0.0001, 'joy': 0.0043, 'a_score': 0.1096}",SVC(probability=True)
SVC,0.5763,0.5325,0.5763,0.3735,0.5764,0.5366,0.5764,0.5243,0.5806,0.5395,0.5806,0.5276,0.6452,not-balanced,100,10,1,2,60,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': 0.0002, 'anticipation': 0.0005, 'trust': 0.0, 'surprise': 0.0008, 'sadness': -0.0007, 'disgust': 0.0004, 'joy': 0.0039, 'a_score': 0.1063}",SVC(probability=True)
SVC,0.564,0.5227,0.564,0.3774,0.5804,0.5339,0.5804,0.5273,0.5806,0.5396,0.5806,0.5274,0.6524,not-balanced,100,10,8,5,105,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0002, 'anger': 0.0001, 'anticipation': 0.0003, 'trust': -0.0001, 'surprise': 0.0004, 'sadness': 0.0009, 'disgust': 0.0035, 'joy': 0.0004, 'a_score': 0.105}",SVC(probability=True)
SVC,0.5779,0.5342,0.5779,0.3747,0.5741,0.5345,0.5741,0.5225,0.5805,0.5394,0.5805,0.5275,0.6484,not-balanced,100,10,9,1,452,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0001, 'anger': -0.0002, 'anticipation': 0.0004, 'trust': 0.0002, 'surprise': 0.0001, 'sadness': -0.0003, 'disgust': 0.0002, 'joy': 0.0035, 'a_score': 0.1075}",SVC(probability=True)
SVC,0.5765,0.5354,0.5765,0.3738,0.5763,0.533,0.5763,0.5239,0.5805,0.5394,0.5805,0.5275,0.6494,not-balanced,100,10,2,4,653,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0002, 'anger': -0.0001, 'anticipation': 0.0006, 'trust': 0.0003, 'surprise': 0.0005, 'sadness': 0.0002, 'disgust': 0.0002, 'joy': 0.0043, 'a_score': 0.1101}",SVC(probability=True)
SVC,0.5733,0.5298,0.5733,0.3736,0.575,0.5344,0.575,0.5218,0.5805,0.5394,0.5805,0.5276,0.6491,not-balanced,100,10,5,4,229,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0, 'anger': -0.0001, 'anticipation': 0.0005, 'trust': 0.0, 'surprise': 0.0005, 'sadness': 0.0001, 'disgust': -0.0, 'joy': 0.0037, 'a_score': 0.1081}",SVC(probability=True)
