Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
GaussianNB,0.7832,0.7837,0.7832,0.7651,0.7752,0.7748,0.7752,0.775,0.7745,0.7751,0.7745,0.7748,0.7993,not-balanced,100,10,6,5,623,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0027, 'anger': 0.0004, 'anticipation': 0.0033, 'trust': 0.0039, 'surprise': 0.001, 'sadness': 0.0025, 'disgust': 0.0003, 'joy': 0.0029, 'a_score': 0.2423}",GaussianNB()
GaussianNB,0.7666,0.7662,0.7666,0.7479,0.7701,0.7691,0.7701,0.7695,0.7617,0.761,0.7617,0.7613,0.8169,not-balanced,100,10,1,3,504,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0055, 'anger': -0.0031, 'anticipation': 0.0, 'trust': 0.0032, 'surprise': -0.0015, 'sadness': -0.0048, 'disgust': -0.0045, 'joy': 0.0014, 'a_score': 0.2223}",GaussianNB()
GaussianNB,0.7649,0.7638,0.7649,0.7441,0.7706,0.7696,0.7706,0.77,0.7615,0.7608,0.7615,0.7611,0.8198,not-balanced,100,10,8,5,61,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0026, 'anger': -0.0026, 'anticipation': -0.001, 'trust': -0.001, 'surprise': -0.0013, 'sadness': -0.0015, 'disgust': -0.0061, 'joy': -0.0005, 'a_score': 0.2229}",GaussianNB()
GaussianNB,0.7633,0.7622,0.7633,0.7437,0.7687,0.7685,0.7687,0.7686,0.7602,0.7598,0.7602,0.76,0.8151,not-balanced,100,10,10,2,436,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0034, 'anger': -0.0035, 'anticipation': -0.0018, 'trust': 0.0017, 'surprise': -0.0021, 'sadness': -0.006, 'disgust': -0.0059, 'joy': -0.0001, 'a_score': 0.2185}",GaussianNB()
GaussianNB,0.7662,0.7659,0.7662,0.7482,0.7613,0.7601,0.7613,0.7606,0.7598,0.7595,0.7598,0.7597,0.8192,not-balanced,100,10,3,1,633,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0035, 'anger': -0.0023, 'anticipation': -0.0013, 'trust': -0.0014, 'surprise': -0.001, 'sadness': -0.0003, 'disgust': -0.0, 'joy': -0.0002, 'a_score': 0.2258}",GaussianNB()
GaussianNB,0.7643,0.7634,0.7643,0.743,0.7665,0.765,0.7665,0.7656,0.7587,0.7578,0.7587,0.7582,0.8117,not-balanced,100,10,8,2,575,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0022, 'anger': -0.0026, 'anticipation': 0.0001, 'trust': 0.0013, 'surprise': -0.0016, 'sadness': -0.0015, 'disgust': -0.0061, 'joy': -0.0006, 'a_score': 0.2173}",GaussianNB()
GaussianNB,0.7617,0.761,0.7617,0.7418,0.7617,0.7612,0.7617,0.7614,0.7583,0.7582,0.7583,0.7582,0.8165,not-balanced,100,10,1,2,557,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0019, 'anger': -0.0027, 'anticipation': -0.0016, 'trust': -0.0007, 'surprise': -0.0016, 'sadness': -0.0015, 'disgust': -0.0058, 'joy': -0.0007, 'a_score': 0.2175}",GaussianNB()
GaussianNB,0.764,0.7628,0.764,0.7448,0.7637,0.7631,0.7637,0.7634,0.7581,0.7574,0.7581,0.7577,0.8118,not-balanced,100,10,6,2,594,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0034, 'anger': -0.002, 'anticipation': -0.0005, 'trust': 0.0033, 'surprise': -0.0002, 'sadness': -0.0047, 'disgust': -0.0055, 'joy': 0.0008, 'a_score': 0.218}",GaussianNB()
GaussianNB,0.7668,0.7665,0.7668,0.7479,0.7576,0.7566,0.7576,0.7571,0.758,0.7578,0.758,0.7579,0.8157,not-balanced,100,10,2,2,545,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0008, 'anger': -0.0006, 'anticipation': -0.0013, 'trust': 0.0, 'surprise': -0.0004, 'sadness': -0.0022, 'disgust': -0.0001, 'joy': -0.0001, 'a_score': 0.2236}",GaussianNB()
GaussianNB,0.7673,0.7665,0.7673,0.7479,0.7599,0.7609,0.7599,0.7604,0.758,0.7585,0.758,0.7582,0.8138,not-balanced,100,10,4,2,834,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': -0.0025, 'anger': -0.0011, 'anticipation': -0.0009, 'trust': 0.0018, 'surprise': 0.0003, 'sadness': -0.0005, 'disgust': -0.0039, 'joy': -0.0002, 'a_score': 0.2263}",GaussianNB()
