Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8869,0.8916,0.8869,0.8757,0.9018,0.907,0.9018,0.899,0.8998,0.9043,0.8998,0.8972,0.9489,not-balanced,100,10,8,1,102,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0106, 'anger': 0.0073, 'anticipation': 0.0047, 'trust': 0.0031, 'surprise': 0.0082, 'sadness': 0.0095, 'disgust': 0.0072, 'joy': 0.0051, 'a_score': 0.3535}",KNeighborsClassifier()
KNeighborsClassifier,0.8912,0.8945,0.8912,0.8781,0.8951,0.8999,0.8951,0.8923,0.8982,0.9013,0.8982,0.8959,0.9407,not-balanced,100,10,5,5,849,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0088, 'anger': 0.0087, 'anticipation': 0.009, 'trust': 0.0059, 'surprise': 0.0067, 'sadness': 0.0067, 'disgust': 0.0065, 'joy': 0.009, 'a_score': 0.3485}",KNeighborsClassifier()
KNeighborsClassifier,0.878,0.8853,0.878,0.8675,0.8954,0.8997,0.8954,0.8928,0.8972,0.9005,0.8972,0.8949,0.9358,not-balanced,100,10,8,2,637,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0044, 'anger': 0.0091, 'anticipation': 0.0082, 'trust': 0.0023, 'surprise': 0.0042, 'sadness': 0.0066, 'disgust': 0.0102, 'joy': 0.0035, 'a_score': 0.3452}",KNeighborsClassifier()
KNeighborsClassifier,0.8797,0.8875,0.8797,0.8699,0.8918,0.8964,0.8918,0.8889,0.8962,0.9005,0.8962,0.8935,0.9575,not-balanced,100,10,7,4,453,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0063, 'anger': 0.0093, 'anticipation': 0.0076, 'trust': 0.0057, 'surprise': 0.009, 'sadness': 0.008, 'disgust': 0.0099, 'joy': 0.0043, 'a_score': 0.3462}",KNeighborsClassifier()
KNeighborsClassifier,0.8896,0.8958,0.8896,0.8788,0.8939,0.8987,0.8939,0.891,0.8959,0.9003,0.8959,0.8932,0.9496,not-balanced,100,10,7,2,274,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.008, 'anger': 0.007, 'anticipation': 0.0043, 'trust': 0.0047, 'surprise': 0.007, 'sadness': 0.0069, 'disgust': 0.008, 'joy': 0.0076, 'a_score': 0.3501}",KNeighborsClassifier()
KNeighborsClassifier,0.8831,0.8877,0.8831,0.8722,0.8919,0.8954,0.8919,0.8893,0.8953,0.8977,0.8953,0.8931,0.9585,not-balanced,100,10,5,3,353,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0071, 'anticipation': 0.005, 'trust': 0.0068, 'surprise': 0.0082, 'sadness': 0.0058, 'disgust': 0.0103, 'joy': 0.0049, 'a_score': 0.349}",KNeighborsClassifier()
KNeighborsClassifier,0.8749,0.8814,0.8749,0.8655,0.8942,0.898,0.8942,0.8915,0.8949,0.8989,0.8949,0.8922,0.9564,not-balanced,100,10,4,5,769,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.01, 'anger': 0.0092, 'anticipation': 0.0064, 'trust': 0.0043, 'surprise': 0.0087, 'sadness': 0.006, 'disgust': 0.0091, 'joy': 0.0069, 'a_score': 0.3446}",KNeighborsClassifier()
KNeighborsClassifier,0.884,0.889,0.884,0.8722,0.896,0.8991,0.896,0.8936,0.8946,0.8971,0.8946,0.8923,0.9462,not-balanced,100,10,4,3,886,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0071, 'anger': 0.0056, 'anticipation': 0.0054, 'trust': 0.0042, 'surprise': 0.0098, 'sadness': 0.0058, 'disgust': 0.0066, 'joy': 0.0061, 'a_score': 0.3492}",KNeighborsClassifier()
KNeighborsClassifier,0.8844,0.8906,0.8844,0.8748,0.8896,0.8923,0.8896,0.887,0.8945,0.8957,0.8945,0.8926,0.9536,not-balanced,100,10,7,1,836,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.0106, 'anticipation': 0.0083, 'trust': 0.006, 'surprise': 0.0081, 'sadness': 0.0078, 'disgust': 0.0114, 'joy': 0.0096, 'a_score': 0.3527}",KNeighborsClassifier()
KNeighborsClassifier,0.8889,0.8935,0.8889,0.8778,0.8914,0.895,0.8914,0.8886,0.8944,0.8976,0.8944,0.8919,0.9473,not-balanced,100,10,8,4,655,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0075, 'anger': 0.0075, 'anticipation': 0.0077, 'trust': 0.0046, 'surprise': 0.0078, 'sadness': 0.0098, 'disgust': 0.0095, 'joy': 0.009, 'a_score': 0.3478}",KNeighborsClassifier()
