Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.8363,0.8495,0.8363,0.8127,0.8648,0.8845,0.8648,0.8569,0.8708,0.8885,0.8708,0.8636,0.9195,not-balanced,100,10,10,1,967,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0026, 'anger': 0.0008, 'anticipation': 0.0008, 'trust': 0.0011, 'surprise': 0.0013, 'sadness': 0.0032, 'disgust': 0.0024, 'joy': 0.0028, 'a_score': 0.2924}",MLPClassifier()
MLPClassifier,0.8369,0.8509,0.8369,0.8125,0.8641,0.8868,0.8641,0.855,0.8706,0.8914,0.8706,0.8628,0.9187,not-balanced,100,10,9,4,422,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0018, 'anger': -0.0, 'anticipation': 0.0005, 'trust': 0.0, 'surprise': 0.0001, 'sadness': 0.0, 'disgust': 0.0005, 'joy': 0.0009, 'a_score': 0.2962}",MLPClassifier()
MLPClassifier,0.8349,0.8496,0.8349,0.8103,0.8634,0.8815,0.8634,0.8554,0.8703,0.8874,0.8703,0.8633,0.914,not-balanced,100,10,6,5,2,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0017, 'anger': 0.0011, 'anticipation': 0.0012, 'trust': 0.0011, 'surprise': 0.0013, 'sadness': 0.0012, 'disgust': 0.0019, 'joy': 0.0019, 'a_score': 0.3019}",MLPClassifier()
MLPClassifier,0.8322,0.8433,0.8322,0.8115,0.8639,0.8811,0.8639,0.8565,0.8702,0.8861,0.8702,0.8633,0.9164,not-balanced,100,10,4,2,473,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0024, 'anger': 0.0008, 'anticipation': 0.0012, 'trust': 0.0004, 'surprise': 0.0009, 'sadness': 0.0021, 'disgust': 0.0037, 'joy': 0.0012, 'a_score': 0.291}",MLPClassifier()
MLPClassifier,0.8447,0.8583,0.8447,0.8221,0.8642,0.8834,0.8642,0.8561,0.8701,0.8877,0.8701,0.8629,0.9196,not-balanced,100,10,6,3,97,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0015, 'anger': 0.0008, 'anticipation': 0.0021, 'trust': 0.0003, 'surprise': 0.0011, 'sadness': 0.0017, 'disgust': 0.0006, 'joy': 0.0023, 'a_score': 0.2962}",MLPClassifier()
MLPClassifier,0.8553,0.8702,0.8553,0.8336,0.8565,0.8768,0.8565,0.8477,0.8701,0.8869,0.8701,0.8631,0.9255,not-balanced,100,10,1,3,299,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0016, 'anger': 0.001, 'anticipation': 0.0017, 'trust': 0.0005, 'surprise': 0.0008, 'sadness': 0.0028, 'disgust': 0.0013, 'joy': 0.0024, 'a_score': 0.3008}",MLPClassifier()
MLPClassifier,0.8473,0.8645,0.8473,0.8185,0.864,0.8859,0.864,0.8553,0.87,0.8896,0.87,0.8624,0.9153,not-balanced,100,10,5,1,182,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0003, 'anticipation': 0.0, 'trust': 0.0005, 'surprise': 0.0003, 'sadness': 0.0002, 'disgust': 0.0006, 'joy': 0.0002, 'a_score': 0.2952}",MLPClassifier()
MLPClassifier,0.8547,0.8701,0.8547,0.8321,0.8619,0.8833,0.8619,0.8529,0.8699,0.8893,0.8699,0.8624,0.9233,not-balanced,100,10,10,2,512,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0001, 'anticipation': 0.0007, 'trust': 0.001, 'surprise': 0.0003, 'sadness': 0.0003, 'disgust': -0.0002, 'joy': 0.001, 'a_score': 0.3013}",MLPClassifier()
MLPClassifier,0.8283,0.8446,0.8283,0.7959,0.8607,0.8827,0.8607,0.8523,0.8699,0.8889,0.8699,0.8624,0.9079,not-balanced,100,10,4,4,211,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0013, 'anger': 0.0008, 'anticipation': 0.001, 'trust': 0.0003, 'surprise': 0.0004, 'sadness': 0.0028, 'disgust': 0.0006, 'joy': 0.0017, 'a_score': 0.2982}",MLPClassifier()
MLPClassifier,0.8547,0.8707,0.8547,0.8315,0.8637,0.8853,0.8637,0.8556,0.8698,0.8895,0.8698,0.8622,0.9235,not-balanced,100,10,7,3,709,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0003, 'anger': 0.0012, 'anticipation': 0.0004, 'trust': 0.0009, 'surprise': 0.0001, 'sadness': 0.0007, 'disgust': 0.0012, 'joy': 0.0006, 'a_score': 0.2902}",MLPClassifier()
