Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.9125,0.9174,0.9125,0.9008,0.9114,0.9174,0.9114,0.9091,0.9146,0.9209,0.9146,0.9123,0.9756,not-balanced,100,10,1,3,161,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0039, 'anticipation': 0.0064, 'trust': 0.0036, 'surprise': 0.0031, 'sadness': 0.006, 'disgust': 0.0045, 'joy': 0.0039, 'a_score': 0.363}",RandomForestClassifier()
RandomForestClassifier,0.9101,0.9157,0.9101,0.898,0.9135,0.9188,0.9135,0.9113,0.9146,0.9204,0.9146,0.9124,0.9744,not-balanced,100,10,3,5,967,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0044, 'anticipation': 0.005, 'trust': 0.0054, 'surprise': 0.0058, 'sadness': 0.0065, 'disgust': 0.0074, 'joy': 0.0044, 'a_score': 0.3629}",RandomForestClassifier()
RandomForestClassifier,0.9141,0.9197,0.9141,0.9029,0.9127,0.9196,0.9127,0.9101,0.9145,0.9207,0.9145,0.9122,0.9756,not-balanced,100,10,8,1,812,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.007, 'anger': 0.0044, 'anticipation': 0.0051, 'trust': 0.004, 'surprise': 0.0048, 'sadness': 0.0068, 'disgust': 0.0042, 'joy': 0.0043, 'a_score': 0.3673}",RandomForestClassifier()
RandomForestClassifier,0.9129,0.9186,0.9129,0.901,0.9143,0.921,0.9143,0.912,0.9142,0.9205,0.9142,0.9118,0.9743,not-balanced,100,10,7,1,973,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0064, 'anger': 0.0034, 'anticipation': 0.0041, 'trust': 0.0051, 'surprise': 0.0047, 'sadness': 0.0062, 'disgust': 0.0047, 'joy': 0.0039, 'a_score': 0.3622}",RandomForestClassifier()
RandomForestClassifier,0.9144,0.9206,0.9144,0.903,0.914,0.9213,0.914,0.9114,0.9141,0.9206,0.9141,0.9117,0.975,not-balanced,100,10,6,3,139,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0045, 'anger': 0.0041, 'anticipation': 0.0045, 'trust': 0.0049, 'surprise': 0.0047, 'sadness': 0.0056, 'disgust': 0.0056, 'joy': 0.0053, 'a_score': 0.3685}",RandomForestClassifier()
RandomForestClassifier,0.9129,0.9185,0.9129,0.9014,0.9134,0.919,0.9134,0.9112,0.914,0.9197,0.914,0.9117,0.9746,not-balanced,100,10,2,4,361,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0034, 'anticipation': 0.0042, 'trust': 0.0043, 'surprise': 0.0044, 'sadness': 0.0057, 'disgust': 0.004, 'joy': 0.0043, 'a_score': 0.3677}",RandomForestClassifier()
RandomForestClassifier,0.9127,0.9191,0.9127,0.9012,0.9125,0.9182,0.9125,0.9102,0.9139,0.9202,0.9139,0.9115,0.9742,not-balanced,100,10,6,4,407,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.0042, 'anticipation': 0.0045, 'trust': 0.0042, 'surprise': 0.0045, 'sadness': 0.0066, 'disgust': 0.0052, 'joy': 0.005, 'a_score': 0.3673}",RandomForestClassifier()
RandomForestClassifier,0.9161,0.9219,0.9161,0.9046,0.9108,0.9173,0.9108,0.9083,0.9138,0.9198,0.9138,0.9114,0.9751,not-balanced,100,10,4,1,620,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0043, 'anticipation': 0.0054, 'trust': 0.0046, 'surprise': 0.0033, 'sadness': 0.0069, 'disgust': 0.0042, 'joy': 0.0047, 'a_score': 0.3634}",RandomForestClassifier()
RandomForestClassifier,0.9117,0.9178,0.9117,0.9003,0.9138,0.9206,0.9138,0.9112,0.9138,0.9203,0.9138,0.9113,0.9746,not-balanced,100,10,2,5,948,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0054, 'anger': 0.0032, 'anticipation': 0.0041, 'trust': 0.0046, 'surprise': 0.0044, 'sadness': 0.0057, 'disgust': 0.0032, 'joy': 0.0044, 'a_score': 0.3705}",RandomForestClassifier()
RandomForestClassifier,0.9121,0.9181,0.9121,0.901,0.9159,0.922,0.9159,0.9135,0.9136,0.9197,0.9136,0.9112,0.9746,not-balanced,100,10,4,5,982,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.006, 'anger': 0.0042, 'anticipation': 0.0042, 'trust': 0.0046, 'surprise': 0.004, 'sadness': 0.0051, 'disgust': 0.0045, 'joy': 0.0051, 'a_score': 0.3666}",RandomForestClassifier()
RandomForestClassifier,0.9123,0.9178,0.9123,0.901,0.9133,0.9195,0.9133,0.9109,0.9136,0.9197,0.9136,0.9112,0.9744,not-balanced,100,10,10,5,606,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0045, 'anticipation': 0.0046, 'trust': 0.005, 'surprise': 0.0038, 'sadness': 0.0051, 'disgust': 0.0043, 'joy': 0.0048, 'a_score': 0.3672}",RandomForestClassifier()
RandomForestClassifier,0.9145,0.9204,0.9145,0.9031,0.9112,0.9177,0.9112,0.9087,0.9135,0.9199,0.9135,0.9111,0.9751,not-balanced,100,10,1,2,300,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0059, 'anger': 0.0034, 'anticipation': 0.0024, 'trust': 0.0043, 'surprise': 0.0028, 'sadness': 0.0056, 'disgust': 0.0043, 'joy': 0.0041, 'a_score': 0.3676}",RandomForestClassifier()
RandomForestClassifier,0.9127,0.9184,0.9127,0.901,0.914,0.9214,0.914,0.9115,0.9135,0.9204,0.9135,0.911,0.9751,not-balanced,100,10,3,3,555,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.004, 'anticipation': 0.0036, 'trust': 0.0037, 'surprise': 0.005, 'sadness': 0.0057, 'disgust': 0.0055, 'joy': 0.0037, 'a_score': 0.3674}",RandomForestClassifier()
RandomForestClassifier,0.9121,0.9183,0.9121,0.9006,0.9127,0.9196,0.9127,0.9101,0.9135,0.9202,0.9135,0.9111,0.9748,not-balanced,100,10,10,4,948,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0039, 'anticipation': 0.0034, 'trust': 0.0045, 'surprise': 0.0044, 'sadness': 0.0048, 'disgust': 0.0039, 'joy': 0.0043, 'a_score': 0.3687}",RandomForestClassifier()
RandomForestClassifier,0.9151,0.9209,0.9151,0.9041,0.9112,0.9176,0.9112,0.9087,0.9135,0.9196,0.9135,0.9112,0.9753,not-balanced,100,10,5,5,634,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.0037, 'anticipation': 0.0045, 'trust': 0.0034, 'surprise': 0.0043, 'sadness': 0.0062, 'disgust': 0.0041, 'joy': 0.0049, 'a_score': 0.3725}",RandomForestClassifier()
RandomForestClassifier,0.9142,0.9201,0.9142,0.9024,0.9125,0.9189,0.9125,0.9102,0.9134,0.9193,0.9134,0.9111,0.9746,not-balanced,100,10,9,2,45,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0046, 'anger': 0.0042, 'anticipation': 0.0051, 'trust': 0.0042, 'surprise': 0.0048, 'sadness': 0.0066, 'disgust': 0.0041, 'joy': 0.0049, 'a_score': 0.3645}",RandomForestClassifier()
RandomForestClassifier,0.9107,0.9166,0.9107,0.8994,0.9149,0.9204,0.9149,0.9126,0.9134,0.919,0.9134,0.9112,0.9742,not-balanced,100,10,5,3,278,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0074, 'anger': 0.0045, 'anticipation': 0.0049, 'trust': 0.0049, 'surprise': 0.0042, 'sadness': 0.0077, 'disgust': 0.0042, 'joy': 0.0046, 'a_score': 0.365}",RandomForestClassifier()
RandomForestClassifier,0.9148,0.9201,0.9148,0.9036,0.9098,0.9153,0.9098,0.9074,0.9134,0.9186,0.9134,0.9111,0.9759,not-balanced,100,10,10,2,47,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0066, 'anger': 0.0045, 'anticipation': 0.0054, 'trust': 0.0051, 'surprise': 0.004, 'sadness': 0.0062, 'disgust': 0.0037, 'joy': 0.0078, 'a_score': 0.3691}",RandomForestClassifier()
RandomForestClassifier,0.9118,0.9179,0.9118,0.9001,0.9147,0.9197,0.9147,0.9125,0.9133,0.9187,0.9133,0.911,0.9739,not-balanced,100,10,1,1,376,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0055, 'anger': 0.0046, 'anticipation': 0.0047, 'trust': 0.006, 'surprise': 0.0046, 'sadness': 0.006, 'disgust': 0.0074, 'joy': 0.0045, 'a_score': 0.3654}",RandomForestClassifier()
RandomForestClassifier,0.9165,0.9221,0.9165,0.9053,0.9102,0.9177,0.9102,0.9076,0.9132,0.9193,0.9132,0.9108,0.9762,not-balanced,100,10,3,2,33,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0052, 'anger': 0.0035, 'anticipation': 0.0036, 'trust': 0.0049, 'surprise': 0.004, 'sadness': 0.0057, 'disgust': 0.0035, 'joy': 0.0037, 'a_score': 0.3663}",RandomForestClassifier()
RandomForestClassifier,0.9144,0.9197,0.9144,0.9025,0.911,0.9185,0.911,0.9084,0.9132,0.9194,0.9132,0.9108,0.9749,not-balanced,100,10,5,4,378,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0049, 'anger': 0.0037, 'anticipation': 0.0052, 'trust': 0.0048, 'surprise': 0.0046, 'sadness': 0.0056, 'disgust': 0.0035, 'joy': 0.0046, 'a_score': 0.3669}",RandomForestClassifier()
RandomForestClassifier,0.9111,0.9163,0.9111,0.9004,0.914,0.9181,0.914,0.9119,0.9132,0.9176,0.9132,0.9111,0.9751,not-balanced,100,10,8,3,193,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0057, 'anger': 0.0032, 'anticipation': 0.0053, 'trust': 0.0051, 'surprise': 0.0038, 'sadness': 0.0062, 'disgust': 0.0048, 'joy': 0.0071, 'a_score': 0.3714}",RandomForestClassifier()
RandomForestClassifier,0.9143,0.9198,0.9143,0.9031,0.9107,0.9162,0.9107,0.9084,0.9132,0.9184,0.9132,0.911,0.976,not-balanced,100,10,3,4,493,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0061, 'anger': 0.004, 'anticipation': 0.0047, 'trust': 0.0058, 'surprise': 0.0049, 'sadness': 0.0066, 'disgust': 0.0068, 'joy': 0.0042, 'a_score': 0.3681}",RandomForestClassifier()
RandomForestClassifier,0.9108,0.916,0.9108,0.8988,0.914,0.9194,0.914,0.9119,0.913,0.9186,0.913,0.9107,0.9747,not-balanced,100,10,6,1,595,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0068, 'anger': 0.0034, 'anticipation': 0.0073, 'trust': 0.0049, 'surprise': 0.004, 'sadness': 0.0068, 'disgust': 0.005, 'joy': 0.0046, 'a_score': 0.3644}",RandomForestClassifier()
RandomForestClassifier,0.9139,0.9193,0.9139,0.9028,0.91,0.9157,0.91,0.9075,0.9129,0.9183,0.9129,0.9106,0.9763,not-balanced,100,10,6,5,169,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.004, 'anticipation': 0.0045, 'trust': 0.0057, 'surprise': 0.0038, 'sadness': 0.0056, 'disgust': 0.0067, 'joy': 0.0045, 'a_score': 0.3686}",RandomForestClassifier()
RandomForestClassifier,0.9124,0.9173,0.9124,0.9011,0.913,0.9198,0.913,0.9105,0.9129,0.9189,0.9129,0.9105,0.9748,not-balanced,100,10,10,1,943,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0058, 'anger': 0.0043, 'anticipation': 0.0044, 'trust': 0.0055, 'surprise': 0.0047, 'sadness': 0.0066, 'disgust': 0.0046, 'joy': 0.0048, 'a_score': 0.3659}",RandomForestClassifier()
RandomForestClassifier,0.9127,0.9182,0.9127,0.9021,0.9135,0.9189,0.9135,0.9111,0.9128,0.9179,0.9128,0.9105,0.9746,not-balanced,100,10,4,3,900,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.005, 'anger': 0.004, 'anticipation': 0.0056, 'trust': 0.0043, 'surprise': 0.0035, 'sadness': 0.0059, 'disgust': 0.0044, 'joy': 0.008, 'a_score': 0.372}",RandomForestClassifier()
RandomForestClassifier,0.9156,0.9217,0.9156,0.9046,0.911,0.9178,0.911,0.9084,0.9128,0.9191,0.9128,0.9103,0.9753,not-balanced,100,10,4,2,429,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0062, 'anger': 0.0037, 'anticipation': 0.0044, 'trust': 0.0044, 'surprise': 0.0041, 'sadness': 0.0055, 'disgust': 0.005, 'joy': 0.0048, 'a_score': 0.3677}",RandomForestClassifier()
