Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,% of Features,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
SVC,0.8541,0.8782,0.8541,0.823,0.8608,0.8826,0.8608,0.8523,0.868,0.8879,0.868,0.8601,0.8772,not-balanced,100,10,6,3,384,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.001, 'anticipation': 0.0007, 'trust': 0.002, 'surprise': 0.0059, 'sadness': 0.0006, 'disgust': 0.0009, 'joy': 0.0016, 'a_score': 0.2908}",SVC(probability=True)
SVC,0.8592,0.8819,0.8592,0.8311,0.8577,0.8806,0.8577,0.8483,0.8676,0.8869,0.8676,0.8599,0.8649,not-balanced,100,10,1,4,266,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0011, 'anger': 0.0013, 'anticipation': 0.0007, 'trust': 0.0053, 'surprise': 0.0017, 'sadness': 0.001, 'disgust': 0.0013, 'joy': 0.0012, 'a_score': 0.2972}",SVC(probability=True)
SVC,0.8518,0.8771,0.8518,0.8194,0.8568,0.8812,0.8568,0.8475,0.8672,0.8879,0.8672,0.8592,0.8788,not-balanced,100,10,4,1,135,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0007, 'anger': 0.0009, 'anticipation': 0.0008, 'trust': 0.0026, 'surprise': 0.0009, 'sadness': 0.0009, 'disgust': 0.0029, 'joy': 0.0011, 'a_score': 0.2926}",SVC(probability=True)
SVC,0.8614,0.8826,0.8614,0.8341,0.8583,0.8802,0.8583,0.8493,0.8671,0.8856,0.8671,0.8595,0.8779,not-balanced,100,10,7,5,298,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0005, 'anger': 0.0007, 'anticipation': 0.004, 'trust': 0.005, 'surprise': 0.0033, 'sadness': 0.0008, 'disgust': 0.0007, 'joy': 0.0017, 'a_score': 0.2956}",SVC(probability=True)
SVC,0.8623,0.8833,0.8623,0.8353,0.8595,0.8806,0.8595,0.8508,0.867,0.8858,0.867,0.8593,0.8659,not-balanced,100,10,6,5,360,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0032, 'anticipation': 0.0043, 'trust': 0.005, 'surprise': 0.0036, 'sadness': 0.0009, 'disgust': 0.0013, 'joy': 0.0018, 'a_score': 0.294}",SVC(probability=True)
SVC,0.8534,0.8776,0.8534,0.8219,0.8626,0.8844,0.8626,0.8543,0.867,0.8865,0.867,0.8591,0.8819,not-balanced,100,10,10,4,68,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anger': 0.0011, 'anticipation': 0.0015, 'trust': 0.005, 'surprise': 0.0035, 'sadness': 0.0012, 'disgust': 0.0013, 'joy': 0.0012, 'a_score': 0.2904}",SVC(probability=True)
SVC,0.8541,0.8786,0.8541,0.8246,0.8605,0.8817,0.8605,0.8517,0.8668,0.886,0.8668,0.859,0.8817,not-balanced,100,10,8,2,14,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0005, 'anger': 0.0008, 'anticipation': 0.0016, 'trust': 0.0059, 'surprise': 0.0017, 'sadness': 0.0006, 'disgust': 0.0004, 'joy': 0.0017, 'a_score': 0.2955}",SVC(probability=True)
SVC,0.8537,0.8773,0.8537,0.8248,0.8651,0.8862,0.8651,0.8565,0.8666,0.8867,0.8666,0.8586,0.882,not-balanced,100,10,7,3,53,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0004, 'anger': 0.0008, 'anticipation': 0.0008, 'trust': 0.0016, 'surprise': 0.0006, 'sadness': 0.0017, 'disgust': 0.0018, 'joy': 0.0008, 'a_score': 0.2906}",SVC(probability=True)
SVC,0.8617,0.8823,0.8617,0.8339,0.8597,0.8804,0.8597,0.8514,0.8665,0.8851,0.8665,0.8588,0.8849,not-balanced,100,10,9,4,617,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0006, 'anger': 0.0006, 'anticipation': 0.0039, 'trust': 0.0054, 'surprise': 0.0038, 'sadness': 0.0005, 'disgust': 0.0008, 'joy': 0.0031, 'a_score': 0.288}",SVC(probability=True)
SVC,0.853,0.8769,0.853,0.8238,0.8642,0.8845,0.8642,0.8557,0.8665,0.886,0.8665,0.8586,0.8734,not-balanced,100,10,10,3,908,kbest,"['fear', 'anger', 'anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'joy', 'a_score']","{'fear': 0.0012, 'anger': 0.0008, 'anticipation': 0.0012, 'trust': 0.0058, 'surprise': 0.0031, 'sadness': 0.0009, 'disgust': 0.0003, 'joy': 0.0013, 'a_score': 0.2922}",SVC(probability=True)
