Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
DecisionTreeClassifier,0.8474,0.8523,0.8474,0.715,0.3673,0.842,0.8278,0.842,0.8263,0.8617,0.8531,0.8617,0.8493,0.9635,0.3205,not-balanced,60,30,10,4,2,718,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0013, 'sadness': 0.005, 'a_score': 0.3913}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8543,0.8872,0.8543,0.8047,0.3479,0.8473,0.882,0.8473,0.8464,0.8612,0.8909,0.8612,0.8609,0.9635,0.3159,not-balanced,60,20,10,8,1,160,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0014, 'surprise': 0.0017, 'a_score': 0.4318}",DecisionTreeClassifier()
DecisionTreeClassifier,0.845,0.8754,0.845,0.7785,0.3285,0.8559,0.8888,0.8559,0.8556,0.861,0.8913,0.861,0.8606,0.9614,0.3161,not-balanced,60,20,10,2,2,870,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0019, 'surprise': 0.0032, 'a_score': 0.4267}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8463,0.8731,0.8463,0.7936,0.3391,0.8479,0.8756,0.8479,0.8475,0.861,0.8858,0.861,0.861,0.9566,0.3123,not-balanced,70,20,10,5,1,715,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'a_score']","{'anticipation': 0.0078, 'trust': 0.0085, 'surprise': 0.0063, 'sadness': 0.0083, 'a_score': 0.4371}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8426,0.8621,0.8426,0.7413,0.3154,0.8574,0.8864,0.8574,0.8567,0.861,0.8906,0.861,0.8607,0.9617,0.3161,not-balanced,60,20,10,5,3,541,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0023, 'surprise': 0.0024, 'a_score': 0.4263}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8492,0.8849,0.8492,0.7966,0.3321,0.8536,0.8849,0.8536,0.8525,0.861,0.8912,0.861,0.8605,0.9621,0.3161,not-balanced,50,20,10,9,4,349,kbest,"['surprise', 'a_score']","{'surprise': 0.0013, 'a_score': 0.4291}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8471,0.884,0.8471,0.7949,0.3346,0.8552,0.8866,0.8552,0.8545,0.861,0.8913,0.861,0.8606,0.9614,0.3161,not-balanced,60,20,10,10,5,862,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0014, 'surprise': 0.0031, 'a_score': 0.4293}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8512,0.8855,0.8512,0.801,0.3495,0.8484,0.886,0.8484,0.8481,0.861,0.8915,0.861,0.8605,0.9612,0.3161,not-balanced,60,20,10,10,2,238,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0008, 'surprise': 0.0017, 'a_score': 0.4314}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8426,0.8621,0.8426,0.7413,0.3154,0.8574,0.8864,0.8574,0.8567,0.861,0.8906,0.861,0.8607,0.9617,0.3161,not-balanced,60,20,10,1,4,541,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0018, 'surprise': 0.0029, 'a_score': 0.4255}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8507,0.886,0.8507,0.7993,0.331,0.8493,0.8842,0.8493,0.8485,0.8608,0.8906,0.8608,0.8604,0.9617,0.3163,not-balanced,60,20,10,5,5,361,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0012, 'surprise': 0.0014, 'a_score': 0.43}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8528,0.8868,0.8528,0.8017,0.3586,0.8482,0.8823,0.8482,0.8476,0.8608,0.8909,0.8608,0.8603,0.9633,0.3163,not-balanced,50,20,10,7,1,832,kbest,"['surprise', 'a_score']","{'surprise': 0.0033, 'a_score': 0.4252}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8504,0.8442,0.8504,0.7113,0.3625,0.8436,0.8355,0.8436,0.8332,0.8608,0.8556,0.8608,0.8536,0.962,0.3231,not-balanced,60,30,10,5,1,519,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0018, 'sadness': 0.0057, 'a_score': 0.403}",DecisionTreeClassifier()
DecisionTreeClassifier,0.8488,0.8426,0.8488,0.7192,0.3629,0.8445,0.8348,0.8445,0.8341,0.8608,0.8542,0.8608,0.8533,0.9564,0.3243,not-balanced,80,30,10,5,1,519,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'anticipation': 0.0064, 'trust': 0.0069, 'surprise': 0.0045, 'sadness': 0.0097, 'joy': 0.0062, 'a_score': 0.4066}",DecisionTreeClassifier()
