Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
GaussianNB,0.6082,0.6117,0.6082,0.6194,0.5873,0.5997,0.6025,0.5997,0.5844,0.6137,0.6182,0.6137,0.5994,0.7252,0.5712,not-balanced,60,70,10,6,4,875,kbest,"['fear', 'surprise', 'a_score']","{'fear': -0.0002, 'surprise': 0.0035, 'a_score': 0.1911}",GaussianNB()
GaussianNB,0.6091,0.6126,0.6091,0.6203,0.5875,0.5996,0.6022,0.5996,0.5846,0.6133,0.6175,0.6133,0.5994,0.7274,0.5716,not-balanced,50,70,10,6,4,875,kbest,"['surprise', 'a_score']","{'surprise': 0.0028, 'a_score': 0.19}",GaussianNB()
GaussianNB,0.6079,0.6113,0.6079,0.623,0.5837,0.6017,0.6046,0.6017,0.5865,0.6133,0.6175,0.6133,0.5994,0.7299,0.5716,not-balanced,50,70,10,8,2,136,kbest,"['surprise', 'a_score']","{'surprise': 0.0029, 'a_score': 0.1927}",GaussianNB()
GaussianNB,0.6071,0.6111,0.6071,0.6199,0.5841,0.6026,0.6045,0.6026,0.5866,0.6133,0.6175,0.6133,0.5994,0.7293,0.5716,not-balanced,50,70,10,3,1,772,kbest,"['surprise', 'a_score']","{'surprise': 0.001, 'a_score': 0.1898}",GaussianNB()
GaussianNB,0.6014,0.6024,0.6014,0.6192,0.5865,0.6039,0.6069,0.6039,0.5929,0.6126,0.6156,0.6126,0.6027,0.7195,0.5723,not-balanced,50,70,10,7,1,968,kbest,"['joy', 'a_score']","{'joy': 0.0001, 'a_score': 0.189}",GaussianNB()
GaussianNB,0.5876,0.5907,0.5876,0.6049,0.5793,0.6006,0.6019,0.6006,0.5846,0.6123,0.6164,0.6123,0.5981,0.7223,0.5726,not-balanced,60,70,10,10,5,903,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0045, 'sadness': 0.0005, 'a_score': 0.189}",GaussianNB()
GaussianNB,0.593,0.5942,0.593,0.6092,0.5807,0.6048,0.6093,0.6048,0.5897,0.6123,0.6168,0.6123,0.5975,0.7186,0.5726,not-balanced,70,70,10,1,2,682,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': -0.0002, 'surprise': 0.0033, 'sadness': -0.0002, 'joy': -0.0007, 'a_score': 0.1866}",GaussianNB()
GaussianNB,0.6054,0.6097,0.6054,0.6162,0.5881,0.6086,0.6114,0.6086,0.5938,0.6122,0.6162,0.6122,0.5986,0.7335,0.5743,not-balanced,50,80,10,10,4,176,kbest,"['surprise', 'a_score']","{'surprise': 0.0014, 'a_score': 0.1894}",GaussianNB()
GaussianNB,0.5966,0.5987,0.5966,0.6155,0.5846,0.6008,0.6038,0.6008,0.5848,0.6122,0.6166,0.6122,0.5975,0.7264,0.5727,not-balanced,60,70,10,8,2,136,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0033, 'sadness': -0.0003, 'a_score': 0.1924}",GaussianNB()
GaussianNB,0.6018,0.6034,0.6018,0.6182,0.5798,0.6046,0.6071,0.6046,0.5934,0.6117,0.6147,0.6117,0.6017,0.7201,0.5732,not-balanced,50,70,10,7,3,759,kbest,"['sadness', 'a_score']","{'sadness': 0.0005, 'a_score': 0.1851}",GaussianNB()
GaussianNB,0.607,0.6091,0.607,0.6236,0.592,0.5959,0.5974,0.5959,0.5839,0.6117,0.6147,0.6117,0.6017,0.7235,0.5732,not-balanced,50,70,10,5,2,66,kbest,"['sadness', 'a_score']","{'sadness': 0.0008, 'a_score': 0.1941}",GaussianNB()
GaussianNB,0.6043,0.6075,0.6043,0.6191,0.5804,0.6011,0.6014,0.6011,0.5885,0.6116,0.6145,0.6116,0.601,0.7195,0.5734,not-balanced,50,70,10,10,2,718,kbest,"['sadness', 'a_score']","{'sadness': -0.0001, 'a_score': 0.189}",GaussianNB()
GaussianNB,0.6034,0.6062,0.6034,0.6178,0.5773,0.6026,0.6034,0.6026,0.5903,0.6116,0.6145,0.6116,0.601,0.7184,0.5734,not-balanced,50,70,10,10,5,903,kbest,"['sadness', 'a_score']","{'sadness': 0.0002, 'a_score': 0.1879}",GaussianNB()
GaussianNB,0.6029,0.6063,0.6029,0.6145,0.5815,0.6063,0.6094,0.6063,0.5906,0.6113,0.6153,0.6113,0.5975,0.7223,0.5752,not-balanced,50,80,10,2,4,497,kbest,"['surprise', 'a_score']","{'surprise': 0.0033, 'a_score': 0.1907}",GaussianNB()
GaussianNB,0.6037,0.6058,0.6037,0.6193,0.5915,0.6054,0.6106,0.6054,0.5903,0.6113,0.6153,0.6113,0.5975,0.7258,0.5752,not-balanced,50,80,10,8,4,346,kbest,"['surprise', 'a_score']","{'surprise': 0.0027, 'a_score': 0.1907}",GaussianNB()
GaussianNB,0.6025,0.6048,0.6025,0.6157,0.5821,0.6034,0.6075,0.6034,0.5884,0.611,0.6151,0.611,0.5965,0.7214,0.5739,not-balanced,60,70,10,1,2,682,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0032, 'joy': 0.0002, 'a_score': 0.1827}",GaussianNB()
GaussianNB,0.5571,0.5571,0.5571,0.5867,0.5881,0.5986,0.6,0.5986,0.5813,0.6109,0.6151,0.6109,0.5959,0.7261,0.574,not-balanced,60,70,10,3,1,772,kbest,"['fear', 'surprise', 'a_score']","{'fear': 0.001, 'surprise': 0.0017, 'a_score': 0.1893}",GaussianNB()
GaussianNB,0.6024,0.6046,0.6024,0.6211,0.5916,0.5984,0.5993,0.5984,0.5877,0.6108,0.6136,0.6108,0.6012,0.7189,0.5741,not-balanced,50,70,10,7,4,99,kbest,"['sadness', 'a_score']","{'sadness': -0.0005, 'a_score': 0.1911}",GaussianNB()
GaussianNB,0.6043,0.6084,0.6043,0.615,0.5755,0.6052,0.6078,0.6052,0.5895,0.6102,0.6141,0.6102,0.5962,0.727,0.5763,not-balanced,50,80,10,2,5,532,kbest,"['surprise', 'a_score']","{'surprise': 0.0025, 'a_score': 0.1909}",GaussianNB()
GaussianNB,0.6045,0.6071,0.6045,0.6194,0.5941,0.604,0.6086,0.604,0.5885,0.6102,0.6141,0.6102,0.5962,0.727,0.5763,not-balanced,50,80,10,4,3,750,kbest,"['surprise', 'a_score']","{'surprise': 0.0036, 'a_score': 0.1897}",GaussianNB()
GaussianNB,0.6028,0.6051,0.6028,0.6171,0.5909,0.5962,0.5993,0.5962,0.5805,0.6102,0.6142,0.6102,0.5955,0.7256,0.574,not-balanced,60,70,10,2,4,810,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.004, 'joy': 0.0001, 'a_score': 0.186}",GaussianNB()
GaussianNB,0.6075,0.6109,0.6075,0.6197,0.5915,0.6011,0.6051,0.6011,0.5864,0.6102,0.6141,0.6102,0.5962,0.726,0.5763,not-balanced,50,80,10,5,1,872,kbest,"['surprise', 'a_score']","{'surprise': 0.0031, 'a_score': 0.1935}",GaussianNB()
GaussianNB,0.5969,0.5974,0.5969,0.6153,0.5838,0.6041,0.6073,0.6041,0.5922,0.6101,0.613,0.6101,0.5993,0.716,0.5748,not-balanced,60,70,10,9,4,483,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0001, 'sadness': -0.0001, 'a_score': 0.1811}",GaussianNB()
GaussianNB,0.5974,0.5981,0.5974,0.6157,0.5837,0.6041,0.6073,0.6041,0.5923,0.6101,0.613,0.6101,0.5993,0.7179,0.5748,not-balanced,50,70,10,9,4,483,kbest,"['fear', 'a_score']","{'fear': 0.0, 'a_score': 0.1846}",GaussianNB()
GaussianNB,0.6003,0.6018,0.6003,0.6167,0.5859,0.5996,0.6017,0.5996,0.5878,0.6101,0.613,0.6101,0.5993,0.718,0.5748,not-balanced,50,70,10,8,1,244,kbest,"['fear', 'a_score']","{'fear': 0.0011, 'a_score': 0.1872}",GaussianNB()
GaussianNB,0.5977,0.5995,0.5977,0.6147,0.5759,0.6079,0.6099,0.6079,0.596,0.6101,0.6129,0.6101,0.5995,0.7198,0.5748,not-balanced,50,70,10,4,5,897,kbest,"['surprise', 'a_score']","{'surprise': 0.0011, 'a_score': 0.1822}",GaussianNB()
GaussianNB,0.5994,0.6,0.5994,0.6162,0.585,0.6019,0.6054,0.6019,0.5898,0.61,0.6127,0.61,0.5997,0.7191,0.5749,not-balanced,50,70,10,3,5,455,kbest,"['surprise', 'a_score']","{'surprise': 0.0014, 'a_score': 0.1864}",GaussianNB()
GaussianNB,0.5999,0.6009,0.5999,0.617,0.588,0.602,0.6049,0.602,0.5904,0.6099,0.6127,0.6099,0.5993,0.7179,0.575,not-balanced,60,70,10,7,1,968,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0011, 'joy': 0.0001, 'a_score': 0.186}",GaussianNB()
GaussianNB,0.6021,0.6059,0.6021,0.6133,0.5764,0.6042,0.607,0.6042,0.5878,0.6097,0.6138,0.6097,0.5949,0.7238,0.5768,not-balanced,60,80,10,2,5,532,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': 0.0021, 'sadness': 0.0003, 'a_score': 0.1874}",GaussianNB()
GaussianNB,0.5913,0.5922,0.5913,0.6099,0.576,0.6078,0.6097,0.6078,0.596,0.6097,0.6124,0.6097,0.5991,0.7171,0.5752,not-balanced,60,70,10,4,5,897,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0011, 'joy': 0.0003, 'a_score': 0.1817}",GaussianNB()
GaussianNB,0.5975,0.5989,0.5975,0.6132,0.581,0.6036,0.6057,0.6036,0.5912,0.6096,0.6124,0.6096,0.5986,0.7203,0.5753,not-balanced,50,70,10,2,5,285,kbest,"['fear', 'a_score']","{'fear': 0.0001, 'a_score': 0.1807}",GaussianNB()
GaussianNB,0.6055,0.6085,0.6055,0.6182,0.5923,0.6001,0.6039,0.6001,0.585,0.6095,0.6134,0.6095,0.5953,0.7233,0.5766,not-balanced,60,80,10,5,1,872,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0019, 'joy': -0.0002, 'a_score': 0.1907}",GaussianNB()
GaussianNB,0.6061,0.6094,0.6061,0.6227,0.5856,0.6055,0.6082,0.6055,0.594,0.6094,0.6122,0.6094,0.5974,0.7328,0.5734,not-balanced,50,20,10,6,4,982,kbest,"['disgust', 'a_score']","{'disgust': -0.0002, 'a_score': 0.1899}",GaussianNB()
GaussianNB,0.6015,0.603,0.6015,0.6177,0.5826,0.599,0.6009,0.599,0.5882,0.6094,0.6121,0.6094,0.599,0.7191,0.5755,not-balanced,50,70,10,8,3,104,kbest,"['joy', 'a_score']","{'joy': 0.0003, 'a_score': 0.1834}",GaussianNB()
GaussianNB,0.6032,0.6065,0.6032,0.6174,0.5879,0.598,0.5984,0.598,0.5855,0.6093,0.6124,0.6093,0.597,0.7241,0.5756,not-balanced,60,70,10,9,1,755,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0045, 'joy': 0.0005, 'a_score': 0.1872}",GaussianNB()
GaussianNB,0.5995,0.6007,0.5995,0.6184,0.5941,0.6006,0.6032,0.6006,0.5886,0.6092,0.612,0.6092,0.5977,0.7189,0.5757,not-balanced,50,70,10,6,3,508,kbest,"['trust', 'a_score']","{'trust': 0.0006, 'a_score': 0.1844}",GaussianNB()
GaussianNB,0.6053,0.6091,0.6053,0.6159,0.5795,0.6048,0.607,0.6048,0.5922,0.6092,0.612,0.6092,0.5972,0.7342,0.5736,not-balanced,50,20,10,5,3,509,kbest,"['disgust', 'a_score']","{'disgust': 0.002, 'a_score': 0.1826}",GaussianNB()
GaussianNB,0.603,0.6046,0.603,0.6197,0.5957,0.6003,0.6033,0.6003,0.5877,0.6091,0.6118,0.6091,0.5983,0.7212,0.5758,not-balanced,50,70,10,2,2,936,kbest,"['surprise', 'a_score']","{'surprise': 0.0036, 'a_score': 0.1826}",GaussianNB()
GaussianNB,0.5978,0.5985,0.5978,0.6153,0.5827,0.6028,0.6057,0.6028,0.5916,0.6091,0.6118,0.6091,0.5984,0.7162,0.5758,not-balanced,50,70,10,1,2,682,kbest,"['joy', 'a_score']","{'joy': -0.0009, 'a_score': 0.1822}",GaussianNB()
GaussianNB,0.5952,0.5974,0.5952,0.6131,0.5826,0.6059,0.6067,0.6059,0.5933,0.6091,0.6118,0.6091,0.5984,0.7182,0.5758,not-balanced,50,70,10,1,5,866,kbest,"['joy', 'a_score']","{'joy': 0.0001, 'a_score': 0.1823}",GaussianNB()
GaussianNB,0.6008,0.6028,0.6008,0.6188,0.5906,0.6014,0.6026,0.6014,0.589,0.6091,0.6118,0.6091,0.5983,0.7196,0.5758,not-balanced,50,70,10,1,3,553,kbest,"['surprise', 'a_score']","{'surprise': 0.003, 'a_score': 0.1849}",GaussianNB()
GaussianNB,0.5988,0.5997,0.5988,0.6159,0.5793,0.6005,0.603,0.6005,0.5884,0.6091,0.6118,0.6091,0.5984,0.7184,0.5758,not-balanced,50,70,10,6,1,814,kbest,"['joy', 'a_score']","{'joy': 0.0002, 'a_score': 0.1862}",GaussianNB()
GaussianNB,0.5992,0.601,0.5992,0.616,0.5812,0.6032,0.6047,0.6032,0.5914,0.6091,0.6118,0.6091,0.5983,0.7203,0.5758,not-balanced,50,70,10,10,3,798,kbest,"['surprise', 'a_score']","{'surprise': 0.0027, 'a_score': 0.1855}",GaussianNB()
GaussianNB,0.6024,0.6051,0.6024,0.6179,0.5904,0.5961,0.5963,0.5961,0.585,0.6091,0.6118,0.6091,0.5984,0.7225,0.5758,not-balanced,50,70,10,9,1,755,kbest,"['joy', 'a_score']","{'joy': -0.0003, 'a_score': 0.1863}",GaussianNB()
GaussianNB,0.6039,0.6059,0.6039,0.6205,0.5946,0.5933,0.5945,0.5933,0.5798,0.609,0.6117,0.609,0.5977,0.7218,0.5759,not-balanced,60,70,10,5,2,66,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0012, 'sadness': 0.001, 'a_score': 0.1886}",GaussianNB()
GaussianNB,0.599,0.6011,0.599,0.6178,0.5843,0.6055,0.608,0.6055,0.594,0.609,0.6117,0.609,0.5969,0.7288,0.5732,not-balanced,60,20,10,6,4,982,kbest,"['surprise', 'disgust', 'a_score']","{'surprise': 0.0001, 'disgust': 0.0001, 'a_score': 0.1923}",GaussianNB()
GaussianNB,0.6016,0.6033,0.6016,0.6169,0.581,0.6003,0.6024,0.6003,0.589,0.6087,0.6114,0.6087,0.5978,0.7177,0.5762,not-balanced,60,70,10,8,3,104,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0019, 'joy': -0.0001, 'a_score': 0.1857}",GaussianNB()
GaussianNB,0.6014,0.6043,0.6014,0.6163,0.5833,0.5981,0.5981,0.5981,0.5846,0.6087,0.6114,0.6087,0.5972,0.7185,0.5762,not-balanced,60,70,10,10,2,718,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0005, 'sadness': -0.0004, 'a_score': 0.1844}",GaussianNB()
GaussianNB,0.5667,0.566,0.5667,0.5925,0.5775,0.6063,0.6085,0.6063,0.5921,0.6086,0.6116,0.6086,0.596,0.7167,0.5763,not-balanced,70,70,10,4,5,897,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0006, 'trust': -0.0001, 'surprise': 0.0016, 'joy': 0.0007, 'a_score': 0.1758}",GaussianNB()
GaussianNB,0.6006,0.6026,0.6006,0.6181,0.5934,0.5999,0.6012,0.5999,0.5881,0.6086,0.6112,0.6086,0.5977,0.7278,0.5763,not-balanced,50,70,10,5,3,429,kbest,"['joy', 'a_score']","{'joy': 0.0001, 'a_score': 0.1823}",GaussianNB()
GaussianNB,0.6001,0.6009,0.6001,0.618,0.5924,0.5999,0.6029,0.5999,0.5874,0.6086,0.6112,0.6086,0.5977,0.7222,0.5763,not-balanced,50,70,10,9,2,941,kbest,"['joy', 'a_score']","{'joy': 0.0001, 'a_score': 0.1855}",GaussianNB()
GaussianNB,0.6013,0.603,0.6013,0.6169,0.5838,0.5965,0.5977,0.5965,0.5841,0.6086,0.6112,0.6086,0.5977,0.72,0.5763,not-balanced,50,70,10,3,3,530,kbest,"['joy', 'a_score']","{'joy': -0.0014, 'a_score': 0.1853}",GaussianNB()
GaussianNB,0.5945,0.5944,0.5945,0.6119,0.5866,0.6005,0.6038,0.6005,0.589,0.6085,0.6112,0.6085,0.5974,0.7232,0.5764,not-balanced,50,70,10,3,2,351,kbest,"['sadness', 'a_score']","{'sadness': 0.0014, 'a_score': 0.1819}",GaussianNB()
GaussianNB,0.5981,0.5991,0.5981,0.6176,0.5945,0.6001,0.6027,0.6001,0.5883,0.6085,0.6113,0.6085,0.5972,0.7181,0.5764,not-balanced,60,70,10,6,3,508,kbest,"['fear', 'trust', 'a_score']","{'fear': -0.0, 'trust': 0.0013, 'a_score': 0.1835}",GaussianNB()
GaussianNB,0.5912,0.592,0.5912,0.6086,0.583,0.601,0.6037,0.601,0.5863,0.6085,0.6117,0.6085,0.5951,0.7184,0.5764,not-balanced,70,70,10,7,3,759,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': -0.0012, 'trust': -0.0006, 'surprise': 0.002, 'sadness': -0.001, 'a_score': 0.181}",GaussianNB()
