Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
KNeighborsClassifier,0.8461,0.862,0.8461,0.7686,0.3255,0.8533,0.8803,0.8533,0.8523,0.8512,0.8788,0.8512,0.8506,0.9547,0.3394,not-balanced,70,100,10,4,3,881,kbest,"['fear', 'trust', 'sadness', 'joy', 'a_score']","{'fear': 0.0019, 'trust': 0.0023, 'sadness': 0.0037, 'joy': 0.0021, 'a_score': 0.4313}",KNeighborsClassifier()
KNeighborsClassifier,0.843,0.85,0.843,0.7444,0.3378,0.8497,0.8803,0.8497,0.849,0.8511,0.8821,0.8511,0.851,0.9598,0.3365,not-balanced,70,100,10,3,5,388,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'a_score']","{'anticipation': 0.0005, 'trust': 0.0018, 'surprise': 0.0019, 'sadness': 0.0031, 'a_score': 0.4318}",KNeighborsClassifier()
KNeighborsClassifier,0.8276,0.8319,0.8276,0.7038,0.3297,0.8558,0.8833,0.8558,0.8555,0.85,0.879,0.85,0.8497,0.9496,0.3406,not-balanced,70,100,10,6,1,691,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0049, 'trust': 0.003, 'surprise': 0.0036, 'sadness': 0.0061, 'a_score': 0.4322}",KNeighborsClassifier()
KNeighborsClassifier,0.8419,0.8507,0.8419,0.7428,0.3355,0.8502,0.8706,0.8502,0.8499,0.8498,0.8702,0.8498,0.8497,0.9531,0.3387,not-balanced,70,100,10,5,4,488,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0057, 'surprise': 0.0027, 'sadness': 0.0034, 'joy': 0.0031, 'a_score': 0.4278}",KNeighborsClassifier()
KNeighborsClassifier,0.8379,0.8488,0.8379,0.7438,0.3328,0.8528,0.8814,0.8528,0.8522,0.8498,0.881,0.8498,0.8498,0.9565,0.3426,not-balanced,70,100,10,9,3,620,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0048, 'trust': 0.0018, 'surprise': 0.0018, 'sadness': 0.0051, 'a_score': 0.4322}",KNeighborsClassifier()
KNeighborsClassifier,0.841,0.8496,0.841,0.7532,0.3352,0.8499,0.8677,0.8499,0.8491,0.8497,0.868,0.8497,0.8494,0.9511,0.3384,not-balanced,70,100,10,7,3,742,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0049, 'trust': 0.002, 'surprise': 0.0019, 'sadness': 0.0034, 'a_score': 0.4272}",KNeighborsClassifier()
KNeighborsClassifier,0.8194,0.8374,0.8194,0.7184,0.3412,0.8471,0.876,0.8471,0.8475,0.8489,0.878,0.8489,0.8494,0.9588,0.3387,not-balanced,70,100,10,7,2,237,kbest,"['anticipation', 'trust', 'surprise', 'joy', 'a_score']","{'anticipation': 0.0016, 'trust': 0.0025, 'surprise': 0.0012, 'joy': 0.006, 'a_score': 0.435}",KNeighborsClassifier()
KNeighborsClassifier,0.8194,0.8374,0.8194,0.7184,0.3412,0.8471,0.876,0.8471,0.8475,0.8489,0.878,0.8489,0.8494,0.9588,0.3387,not-balanced,70,100,10,3,1,237,kbest,"['anticipation', 'trust', 'surprise', 'joy', 'a_score']","{'anticipation': 0.0019, 'trust': 0.0028, 'surprise': 0.001, 'joy': 0.006, 'a_score': 0.4326}",KNeighborsClassifier()
KNeighborsClassifier,0.8431,0.8573,0.8431,0.7622,0.345,0.8498,0.8681,0.8498,0.8487,0.8488,0.8668,0.8488,0.8477,0.9486,0.3437,not-balanced,70,100,10,2,1,499,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0028, 'surprise': 0.0027, 'sadness': 0.0023, 'joy': 0.0027, 'a_score': 0.4243}",KNeighborsClassifier()
KNeighborsClassifier,0.8361,0.841,0.8361,0.7322,0.329,0.8542,0.8472,0.8542,0.846,0.8479,0.8412,0.8479,0.8397,0.9481,0.3436,not-balanced,70,100,10,10,5,965,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0034, 'trust': 0.0011, 'surprise': 0.0032, 'sadness': 0.0024, 'a_score': 0.398}",KNeighborsClassifier()
KNeighborsClassifier,0.8269,0.8433,0.8269,0.7532,0.3386,0.8481,0.8373,0.8481,0.8332,0.8473,0.8347,0.8473,0.832,0.958,0.3474,not-balanced,70,100,10,2,3,682,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0065, 'trust': 0.0027, 'surprise': 0.0025, 'sadness': 0.0062, 'a_score': 0.3941}",KNeighborsClassifier()
KNeighborsClassifier,0.8283,0.8407,0.8283,0.7239,0.3476,0.8441,0.8343,0.8441,0.8344,0.8468,0.8373,0.8468,0.8374,0.9574,0.3438,not-balanced,70,100,10,8,2,345,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0043, 'trust': 0.0024, 'surprise': 0.0035, 'sadness': 0.0073, 'a_score': 0.3966}",KNeighborsClassifier()
KNeighborsClassifier,0.8337,0.8399,0.8337,0.7231,0.3414,0.8452,0.8715,0.8452,0.8465,0.8467,0.8733,0.8467,0.8479,0.9569,0.3403,not-balanced,70,100,10,3,4,834,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.003, 'surprise': 0.0032, 'sadness': 0.0039, 'joy': 0.0053, 'a_score': 0.4315}",KNeighborsClassifier()
KNeighborsClassifier,0.841,0.8488,0.841,0.7444,0.3315,0.8492,0.8674,0.8492,0.8489,0.8465,0.8664,0.8465,0.8464,0.9445,0.3441,not-balanced,70,100,10,1,4,655,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.003, 'trust': 0.0015, 'surprise': 0.0028, 'sadness': 0.0035, 'a_score': 0.4264}",KNeighborsClassifier()
KNeighborsClassifier,0.8336,0.8482,0.8336,0.7595,0.3489,0.848,0.8378,0.848,0.8376,0.8463,0.8371,0.8463,0.8363,0.9552,0.344,not-balanced,70,100,10,9,4,338,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0071, 'trust': 0.0042, 'surprise': 0.0041, 'sadness': 0.0066, 'a_score': 0.3986}",KNeighborsClassifier()
KNeighborsClassifier,0.8352,0.845,0.8352,0.735,0.3434,0.8457,0.8674,0.8457,0.8459,0.8454,0.8658,0.8454,0.8455,0.9488,0.3445,not-balanced,70,100,10,9,2,512,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0046, 'trust': 0.0027, 'surprise': 0.0052, 'sadness': 0.006, 'a_score': 0.4284}",KNeighborsClassifier()
KNeighborsClassifier,0.8367,0.8397,0.8367,0.7188,0.3424,0.8457,0.8401,0.8457,0.8397,0.8452,0.8395,0.8452,0.8393,0.9246,0.346,not-balanced,70,100,10,9,5,402,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0008, 'trust': 0.0026, 'surprise': 0.0024, 'sadness': 0.001, 'a_score': 0.4005}",KNeighborsClassifier()
KNeighborsClassifier,0.8389,0.8436,0.8389,0.7238,0.3463,0.8436,0.8574,0.8436,0.8435,0.8449,0.8579,0.8449,0.8447,0.9489,0.3492,not-balanced,70,100,10,7,4,485,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0103, 'trust': 0.0024, 'surprise': 0.0011, 'sadness': 0.0106, 'a_score': 0.4217}",KNeighborsClassifier()
KNeighborsClassifier,0.8388,0.8557,0.8388,0.767,0.3357,0.848,0.8672,0.848,0.8488,0.8449,0.8651,0.8449,0.8458,0.9523,0.3467,not-balanced,70,100,10,5,1,936,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0028, 'surprise': 0.003, 'sadness': 0.0037, 'joy': 0.0042, 'a_score': 0.425}",KNeighborsClassifier()
KNeighborsClassifier,0.8433,0.8553,0.8433,0.7528,0.3449,0.8441,0.8351,0.8441,0.8337,0.8443,0.834,0.8443,0.8337,0.9509,0.351,not-balanced,70,100,10,4,4,387,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0017, 'surprise': 0.0019, 'sadness': 0.0044, 'joy': 0.0017, 'a_score': 0.3976}",KNeighborsClassifier()
KNeighborsClassifier,0.8306,0.8443,0.8306,0.7458,0.3435,0.8464,0.8349,0.8464,0.834,0.8439,0.8323,0.8439,0.8315,0.9523,0.3475,not-balanced,70,100,10,2,5,256,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0049, 'surprise': 0.0028, 'sadness': 0.0076, 'joy': 0.003, 'a_score': 0.3933}",KNeighborsClassifier()
KNeighborsClassifier,0.8378,0.8421,0.8378,0.7186,0.3437,0.8448,0.8696,0.8448,0.8457,0.8437,0.8665,0.8437,0.8448,0.9504,0.3444,not-balanced,70,100,10,7,1,614,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0049, 'trust': 0.0036, 'surprise': 0.0014, 'sadness': 0.0026, 'a_score': 0.429}",KNeighborsClassifier()
KNeighborsClassifier,0.8258,0.842,0.8258,0.7501,0.3425,0.8435,0.8365,0.8435,0.8365,0.8436,0.8364,0.8436,0.837,0.9581,0.3463,not-balanced,70,100,10,10,1,128,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0029, 'trust': 0.0049, 'surprise': 0.0015, 'sadness': 0.0043, 'a_score': 0.4017}",KNeighborsClassifier()
KNeighborsClassifier,0.8306,0.839,0.8306,0.7282,0.3452,0.8454,0.8345,0.8454,0.8347,0.8433,0.8317,0.8433,0.832,0.9601,0.3507,not-balanced,70,100,10,4,2,852,kbest,"['fear', 'trust', 'surprise', 'joy', 'a_score']","{'fear': 0.0032, 'trust': 0.0024, 'surprise': 0.001, 'joy': 0.0015, 'a_score': 0.3917}",KNeighborsClassifier()
KNeighborsClassifier,0.8405,0.8455,0.8405,0.7215,0.3496,0.8432,0.8528,0.8432,0.8423,0.843,0.8535,0.843,0.8427,0.9604,0.3492,not-balanced,70,100,10,1,2,333,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'a_score']","{'anticipation': 0.0024, 'trust': 0.0037, 'surprise': 0.0018, 'sadness': 0.0008, 'a_score': 0.4156}",KNeighborsClassifier()
KNeighborsClassifier,0.8385,0.8589,0.8385,0.7638,0.3538,0.8433,0.8299,0.8433,0.8278,0.8429,0.8268,0.8429,0.827,0.9573,0.3609,not-balanced,70,100,10,8,5,553,kbest,"['fear', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0018, 'surprise': 0.0024, 'sadness': 0.0018, 'joy': 0.0019, 'a_score': 0.3895}",KNeighborsClassifier()
KNeighborsClassifier,0.8446,0.8479,0.8446,0.7302,0.3536,0.8394,0.8516,0.8394,0.8405,0.8414,0.8532,0.8414,0.8423,0.9543,0.3491,not-balanced,70,100,10,4,5,501,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0063, 'trust': 0.0042, 'surprise': 0.0018, 'sadness': 0.0054, 'a_score': 0.4184}",KNeighborsClassifier()
KNeighborsClassifier,0.837,0.8515,0.837,0.7525,0.3454,0.8445,0.8358,0.8445,0.8362,0.8405,0.8314,0.8405,0.8326,0.9596,0.3514,not-balanced,70,100,10,8,1,233,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0016, 'trust': 0.004, 'surprise': 0.0042, 'sadness': 0.0037, 'a_score': 0.3946}",KNeighborsClassifier()
KNeighborsClassifier,0.8392,0.8555,0.8392,0.761,0.3596,0.8397,0.8256,0.8397,0.8226,0.8389,0.8254,0.8389,0.8218,0.9593,0.3578,not-balanced,70,100,10,2,2,996,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0038, 'surprise': 0.0018, 'sadness': 0.003, 'joy': 0.0041, 'a_score': 0.3805}",KNeighborsClassifier()
KNeighborsClassifier,0.8439,0.8631,0.8439,0.7707,0.3639,0.8337,0.8483,0.8337,0.8361,0.8364,0.8508,0.8364,0.8386,0.9552,0.3579,not-balanced,70,100,10,6,3,520,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.007, 'trust': 0.004, 'surprise': 0.0041, 'sadness': 0.0075, 'a_score': 0.4147}",KNeighborsClassifier()
KNeighborsClassifier,0.84,0.8475,0.84,0.7397,0.3681,0.8174,0.8394,0.8174,0.8226,0.8163,0.8386,0.8163,0.8216,0.9532,0.3734,not-balanced,70,100,10,7,5,728,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0, 'trust': -0.0024, 'surprise': -0.0011, 'sadness': -0.0001, 'a_score': 0.396}",KNeighborsClassifier()
KNeighborsClassifier,0.8379,0.846,0.8379,0.7274,0.3632,0.817,0.8379,0.817,0.8219,0.8158,0.837,0.8158,0.8211,0.9509,0.3749,not-balanced,70,100,10,6,2,308,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0021, 'trust': -0.0, 'surprise': 0.0009, 'sadness': 0.0012, 'a_score': 0.3998}",KNeighborsClassifier()
