Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
MLPClassifier,0.649,0.7383,0.649,0.5673,0.3753,0.8159,0.8112,0.8159,0.7994,0.8163,0.8139,0.8163,0.8001,0.7868,0.3709,not-balanced,50,90,10,7,2,465,kbest,"['sadness', 'a_score']","{'sadness': 0.0024, 'a_score': 0.3525}",MLPClassifier()
MLPClassifier,0.626,0.7104,0.626,0.5142,0.3908,0.8101,0.8037,0.8101,0.7819,0.8099,0.8029,0.8099,0.7809,0.7912,0.3921,not-balanced,50,100,10,10,5,176,kbest,"['trust', 'a_score']","{'trust': 0.0016, 'a_score': 0.3419}",MLPClassifier()
MLPClassifier,0.6581,0.6997,0.6581,0.5498,0.3706,0.8106,0.8527,0.8106,0.8039,0.8089,0.8506,0.8089,0.8028,0.8339,0.3802,not-balanced,70,100,10,4,1,134,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0124, 'trust': 0.0046, 'surprise': 0.0041, 'sadness': 0.0126, 'a_score': 0.3885}",MLPClassifier()
MLPClassifier,0.6629,0.7063,0.6629,0.5612,0.385,0.8016,0.7962,0.8016,0.7892,0.8019,0.7952,0.8019,0.7882,0.8008,0.3886,not-balanced,70,90,10,10,4,140,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0153, 'trust': 0.0054, 'surprise': 0.0017, 'sadness': 0.0106, 'a_score': 0.3417}",MLPClassifier()
MLPClassifier,0.6393,0.7009,0.6393,0.5715,0.3942,0.7928,0.8413,0.7928,0.7836,0.7961,0.844,0.7961,0.787,0.7943,0.3907,not-balanced,60,100,10,9,4,675,kbest,"['surprise', 'joy', 'a_score']","{'surprise': 0.0024, 'joy': 0.0023, 'a_score': 0.3708}",MLPClassifier()
MLPClassifier,0.635,0.71,0.635,0.533,0.3984,0.7915,0.8422,0.7915,0.7816,0.7952,0.8454,0.7952,0.7855,0.8074,0.3845,not-balanced,60,90,10,10,3,60,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0007, 'sadness': 0.0014, 'a_score': 0.3734}",MLPClassifier()
MLPClassifier,0.6152,0.6218,0.6152,0.4457,0.399,0.7892,0.8549,0.7892,0.7781,0.7952,0.8574,0.7952,0.7847,0.7636,0.3865,not-balanced,50,60,10,6,1,91,kbest,"['sadness', 'a_score']","{'sadness': -0.0, 'a_score': 0.377}",MLPClassifier()
MLPClassifier,0.5899,0.6455,0.5899,0.4573,0.3909,0.796,0.8587,0.796,0.7862,0.7946,0.8572,0.7946,0.784,0.7702,0.389,not-balanced,50,90,10,7,1,184,kbest,"['trust', 'a_score']","{'trust': -0.0, 'a_score': 0.3758}",MLPClassifier()
MLPClassifier,0.6375,0.6843,0.6375,0.5426,0.3996,0.7915,0.7941,0.7915,0.7742,0.794,0.7946,0.794,0.777,0.7998,0.3971,not-balanced,70,100,10,2,4,636,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0008, 'trust': 0.0012, 'surprise': 0.0012, 'sadness': 0.0029, 'a_score': 0.3339}",MLPClassifier()
MLPClassifier,0.6472,0.7255,0.6472,0.5513,0.3966,0.7914,0.8525,0.7914,0.7808,0.7937,0.8545,0.7937,0.7833,0.8018,0.3899,not-balanced,50,90,10,10,3,60,kbest,"['trust', 'a_score']","{'trust': 0.0002, 'a_score': 0.377}",MLPClassifier()
MLPClassifier,0.6516,0.7252,0.6516,0.5747,0.3939,0.7945,0.7953,0.7945,0.7775,0.7934,0.7958,0.7934,0.7757,0.7901,0.3938,not-balanced,50,90,10,5,3,518,kbest,"['sadness', 'a_score']","{'sadness': 0.0053, 'a_score': 0.3336}",MLPClassifier()
MLPClassifier,0.6539,0.7152,0.6539,0.5586,0.4195,0.7889,0.7734,0.7889,0.7602,0.7924,0.7862,0.7924,0.7639,0.7958,0.4104,not-balanced,70,90,10,3,4,825,kbest,"['trust', 'surprise', 'sadness', 'joy', 'a_score']","{'trust': 0.0085, 'surprise': 0.0085, 'sadness': 0.0026, 'joy': 0.0057, 'a_score': 0.3252}",MLPClassifier()
MLPClassifier,0.6417,0.6833,0.6417,0.472,0.3892,0.7897,0.8511,0.7897,0.7782,0.7923,0.8536,0.7923,0.7817,0.7872,0.3913,not-balanced,50,90,10,3,1,88,kbest,"['trust', 'a_score']","{'trust': 0.0059, 'a_score': 0.3749}",MLPClassifier()
MLPClassifier,0.6785,0.7343,0.6785,0.5704,0.3964,0.7902,0.8315,0.7902,0.783,0.7907,0.8315,0.7907,0.7841,0.8151,0.3981,not-balanced,60,100,10,3,5,174,kbest,"['trust', 'surprise', 'a_score']","{'trust': -0.0018, 'surprise': -0.0029, 'a_score': 0.373}",MLPClassifier()
MLPClassifier,0.6095,0.6618,0.6095,0.4752,0.4082,0.7877,0.8548,0.7877,0.7765,0.79,0.8544,0.79,0.7784,0.7628,0.3917,not-balanced,50,60,10,7,1,317,kbest,"['sadness', 'a_score']","{'sadness': -0.0003, 'a_score': 0.3692}",MLPClassifier()
MLPClassifier,0.6655,0.7202,0.6655,0.6229,0.3948,0.7892,0.8281,0.7892,0.7797,0.7892,0.829,0.7892,0.7803,0.8239,0.4001,not-balanced,70,100,10,6,4,748,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0043, 'trust': 0.0033, 'surprise': 0.0017, 'sadness': 0.0044, 'a_score': 0.3615}",MLPClassifier()
MLPClassifier,0.6395,0.6231,0.6395,0.4402,0.421,0.7902,0.7886,0.7902,0.7595,0.789,0.7831,0.789,0.7585,0.7756,0.4141,not-balanced,50,60,10,5,2,872,kbest,"['sadness', 'a_score']","{'sadness': 0.0006, 'a_score': 0.3206}",MLPClassifier()
MLPClassifier,0.6441,0.7662,0.6441,0.5944,0.4009,0.7848,0.8514,0.7848,0.7722,0.7889,0.8543,0.7889,0.7774,0.8121,0.4004,not-balanced,50,100,10,2,3,89,kbest,"['trust', 'a_score']","{'trust': 0.007, 'a_score': 0.3706}",MLPClassifier()
MLPClassifier,0.6267,0.6699,0.6267,0.5296,0.3875,0.7862,0.8382,0.7862,0.7748,0.7884,0.8414,0.7884,0.7777,0.7944,0.3909,not-balanced,80,90,10,3,1,88,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': -0.0026, 'trust': 0.0108, 'surprise': 0.0033, 'sadness': -0.0011, 'joy': 0.0065, 'a_score': 0.3688}",MLPClassifier()
MLPClassifier,0.6815,0.698,0.6815,0.5793,0.402,0.7826,0.8337,0.7826,0.7725,0.788,0.8388,0.788,0.7783,0.8206,0.3961,not-balanced,80,100,10,4,4,313,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0036, 'trust': 0.0047, 'surprise': 0.0026, 'sadness': 0.0054, 'joy': 0.0062, 'a_score': 0.3718}",MLPClassifier()
MLPClassifier,0.6345,0.6986,0.6345,0.5532,0.4134,0.7911,0.7815,0.7911,0.7603,0.7879,0.7912,0.7879,0.7583,0.7911,0.4112,not-balanced,60,80,10,4,5,217,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0015, 'surprise': 0.0011, 'a_score': 0.3211}",MLPClassifier()
MLPClassifier,0.631,0.6723,0.631,0.5268,0.4226,0.7866,0.7708,0.7866,0.7554,0.7868,0.7757,0.7868,0.7558,0.7792,0.4181,not-balanced,50,80,10,4,1,415,kbest,"['joy', 'a_score']","{'joy': 0.0034, 'a_score': 0.3197}",MLPClassifier()
MLPClassifier,0.636,0.7308,0.636,0.5405,0.4167,0.7833,0.7864,0.7833,0.753,0.7846,0.786,0.7846,0.7538,0.7893,0.4165,not-balanced,50,90,10,4,1,298,kbest,"['trust', 'a_score']","{'trust': 0.0069, 'a_score': 0.3168}",MLPClassifier()
MLPClassifier,0.5935,0.5926,0.5935,0.4332,0.42,0.7801,0.7325,0.7801,0.7472,0.7846,0.7344,0.7846,0.7514,0.7449,0.4209,not-balanced,60,50,10,7,3,981,kbest,"['sadness', 'joy', 'a_score']","{'sadness': 0.0015, 'joy': 0.0007, 'a_score': 0.3201}",MLPClassifier()
MLPClassifier,0.6202,0.6886,0.6202,0.5183,0.3866,0.798,0.8005,0.798,0.7764,0.7823,0.7826,0.7823,0.7583,0.7641,0.4125,not-balanced,60,70,10,9,2,726,kbest,"['fear', 'sadness', 'a_score']","{'fear': 0.0054, 'sadness': 0.0044, 'a_score': 0.3268}",MLPClassifier()
MLPClassifier,0.6643,0.7006,0.6643,0.5428,0.4161,0.7835,0.7807,0.7835,0.7549,0.7815,0.7803,0.7815,0.7534,0.7871,0.4178,not-balanced,60,60,10,2,1,182,kbest,"['trust', 'sadness', 'a_score']","{'trust': 0.0037, 'sadness': 0.0008, 'a_score': 0.3163}",MLPClassifier()
MLPClassifier,0.6484,0.7251,0.6484,0.5819,0.4078,0.7787,0.7768,0.7787,0.7608,0.781,0.7795,0.781,0.7624,0.831,0.4064,not-balanced,70,90,10,8,1,677,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0039, 'trust': 0.0142, 'surprise': 0.008, 'sadness': 0.0025, 'a_score': 0.3213}",MLPClassifier()
MLPClassifier,0.6463,0.6857,0.6463,0.5454,0.4021,0.7783,0.7961,0.7783,0.775,0.7805,0.7996,0.7805,0.7777,0.8347,0.4024,not-balanced,80,100,10,4,1,134,kbest,"['fear', 'trust', 'surprise', 'sadness', 'joy', 'a_score']","{'fear': 0.0056, 'trust': 0.0027, 'surprise': 0.005, 'sadness': 0.0046, 'joy': 0.0017, 'a_score': 0.3612}",MLPClassifier()
MLPClassifier,0.6209,0.7026,0.6209,0.5264,0.4133,0.7754,0.8259,0.7754,0.7654,0.7783,0.8261,0.7783,0.769,0.7833,0.4114,not-balanced,50,100,10,4,4,313,kbest,"['surprise', 'a_score']","{'surprise': 0.0014, 'a_score': 0.3633}",MLPClassifier()
MLPClassifier,0.6657,0.7299,0.6657,0.5866,0.413,0.7788,0.7749,0.7788,0.7606,0.7778,0.7739,0.7778,0.7602,0.8327,0.4158,not-balanced,60,100,10,4,1,134,kbest,"['surprise', 'sadness', 'a_score']","{'surprise': -0.0006, 'sadness': 0.0039, 'a_score': 0.3167}",MLPClassifier()
