Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train MSE,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Val. MSE,Bal. Strategy,% of Features,% of Dataset,Folds,Fold,Execution,Random State,Feat. Selec. Strategy,Features,Features Importance,Model
RandomForestClassifier,0.8537,0.8813,0.8537,0.7993,0.354,0.8452,0.8761,0.8452,0.8449,0.8631,0.8883,0.8631,0.8627,0.9634,0.3077,not-balanced,70,20,10,8,4,42,kbest,"['anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'anticipation': 0.0042, 'trust': 0.0048, 'surprise': 0.0035, 'disgust': 0.0045, 'a_score': 0.439}",RandomForestClassifier()
RandomForestClassifier,0.8447,0.8517,0.8447,0.7071,0.359,0.8466,0.8338,0.8466,0.8309,0.8631,0.8547,0.8631,0.8506,0.9632,0.3196,not-balanced,50,30,10,3,5,9,kbest,"['sadness', 'a_score']","{'sadness': 0.0061, 'a_score': 0.3942}",RandomForestClassifier()
RandomForestClassifier,0.8477,0.8426,0.8477,0.7152,0.3518,0.8503,0.8403,0.8503,0.8388,0.8622,0.8555,0.8622,0.8535,0.9622,0.32,not-balanced,60,30,10,7,4,736,kbest,"['fear', 'trust', 'a_score']","{'fear': 0.0041, 'trust': 0.0042, 'a_score': 0.3928}",RandomForestClassifier()
RandomForestClassifier,0.8439,0.8627,0.8439,0.7587,0.3536,0.8484,0.8739,0.8484,0.8479,0.8617,0.8836,0.8617,0.8612,0.9635,0.3104,not-balanced,80,20,10,6,3,207,kbest,"['anger', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'anger': 0.0066, 'anticipation': 0.0059, 'trust': 0.0057, 'surprise': 0.0068, 'disgust': 0.0059, 'a_score': 0.435}",RandomForestClassifier()
RandomForestClassifier,0.8402,0.8369,0.8402,0.7091,0.3522,0.8494,0.8379,0.8494,0.8369,0.8614,0.8538,0.8614,0.8522,0.9619,0.3208,not-balanced,70,30,10,7,4,736,kbest,"['fear', 'trust', 'surprise', 'sadness', 'a_score']","{'fear': 0.0068, 'trust': 0.0073, 'surprise': 0.0048, 'sadness': 0.0048, 'a_score': 0.393}",RandomForestClassifier()
RandomForestClassifier,0.8466,0.8704,0.8466,0.7827,0.3362,0.8468,0.8678,0.8468,0.8458,0.8612,0.88,0.8612,0.8606,0.9618,0.3134,not-balanced,80,20,10,3,3,520,kbest,"['anticipation', 'trust', 'surprise', 'sadness', 'disgust', 'a_score']","{'anticipation': 0.0073, 'trust': 0.0091, 'surprise': 0.008, 'sadness': 0.0115, 'disgust': 0.0078, 'a_score': 0.432}",RandomForestClassifier()
RandomForestClassifier,0.8414,0.8753,0.8414,0.776,0.3154,0.8601,0.8895,0.8601,0.8595,0.861,0.891,0.861,0.8606,0.9607,0.3161,not-balanced,60,20,10,9,5,173,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0025, 'surprise': 0.0032, 'a_score': 0.4287}",RandomForestClassifier()
RandomForestClassifier,0.8465,0.8528,0.8465,0.7289,0.34,0.8498,0.8758,0.8498,0.8486,0.861,0.8847,0.861,0.8606,0.9632,0.3117,not-balanced,70,20,10,3,2,314,kbest,"['anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'anticipation': 0.0056, 'trust': 0.0066, 'surprise': 0.0042, 'disgust': 0.0044, 'a_score': 0.4343}",RandomForestClassifier()
RandomForestClassifier,0.8521,0.8844,0.8521,0.802,0.3473,0.8473,0.8831,0.8473,0.8465,0.8608,0.8912,0.8608,0.8603,0.9636,0.3163,not-balanced,60,20,10,4,1,449,kbest,"['trust', 'surprise', 'a_score']","{'trust': 0.0013, 'surprise': 0.0036, 'a_score': 0.4333}",RandomForestClassifier()
RandomForestClassifier,0.8516,0.8778,0.8516,0.7981,0.3572,0.8434,0.8689,0.8434,0.843,0.8608,0.8821,0.8608,0.8603,0.964,0.3151,not-balanced,80,20,10,4,1,449,kbest,"['anger', 'anticipation', 'trust', 'surprise', 'disgust', 'a_score']","{'anger': 0.0064, 'anticipation': 0.0054, 'trust': 0.0072, 'surprise': 0.0055, 'disgust': 0.0053, 'a_score': 0.4303}",RandomForestClassifier()
